RANDOM SEQUENCES
lengthS,lengthT,MinCost;
1149,1098,575;
1020,1388,690;
1041,1408,718;
1176,1298,651;
1298,1000,650;
1136,1265,629;
1010,1408,709;
1449,1149,736;
1063,1754,943;
1086,1351,680;
1515,1111,766;
1666,1562,848;
1149,1265,637;
1020,1149,586;
1149,2777,1732;
1075,1470,746;
1030,1219,611;
1219,1470,734;
2000,1587,1003;
1075,1886,1031;
1282,1449,723;
1851,1515,921;
1052,2500,1556;
1234,1754,884;
4000,1041,2962;
1923,1234,1016;
1886,1176,995;
1204,3225,2096;
1587,1408,798;
1818,1086,980;
1298,1111,648;
1149,1369,679;
1694,1428,852;
1123,3030,1969;
1190,2777,1707;
1176,2631,1592;
1351,1428,736;
1538,2272,1169;
1639,2380,1215;
1333,2222,1186;
1470,2857,1619;
3448,1388,2174;
1190,1428,720;
1315,1492,753;
2173,1960,1099;
1176,3571,2435;
1190,2439,1420;
6250,1063,5187;
1754,1282,885;
2000,1562,995;
2857,1470,1621;
1666,1111,863;
3333,1351,2093;
1612,1388,810;
1818,2500,1269;
1052,1538,794;
1428,1075,709;
1063,1369,686;
1470,3333,2014;
1724,2857,1519;
2272,1075,1334;
1136,1111,593;
1851,1052,1012;
3703,1369,2411;
3571,1754,2074;
1010,1250,612;
4347,1470,2929;
2439,3125,1564;
1818,2564,1292;
1234,2380,1347;
1851,1219,968;
1250,2272,1264;
1724,1265,869;
2127,3333,1749;
1190,2272,1287;
2173,1136,1225;
1587,4166,2685;
1666,1136,863;
3030,1162,1946;
2439,3703,1915;
2439,1408,1330;
4347,1408,2981;
1204,6666,5462;
1111,3333,2257;
1098,2500,1525;
1724,1492,857;
1351,5555,4204;
1538,1666,839;
2564,1250,1492;
1515,4347,2900;
3846,1724,2331;
3030,3333,1676;
2702,1694,1433;
3125,1098,2077;
2083,1041,1197;
2631,1886,1311;
1724,2500,1280;
1388,5882,4494;
2325,3448,1759;
1666,1408,828;
1010,1694,908;
6250,1234,5016;
2380,3448,1765;
1785,1851,954;
4545,1724,2928;
1562,3703,2279;
1923,1724,957;
1052,2857,1876;
1960,2000,1024;
2222,5000,3017;
2439,1000,1520;
2857,1408,1658;
1250,4000,2778;
1315,10000,8685;
7142,1724,5418;
4166,1923,2483;
5263,1851,3486;
2439,1234,1397;
1010,2564,1623;
5555,2083,3590;
11111,1136,9975;
2631,2857,1438;
3846,2564,1970;
2380,1923,1184;
2380,1041,1450;
1562,2500,1318;
4347,1111,3238;
1250,1162,635;
2564,2325,1294;
1428,1250,711;
1886,1086,1025;
1098,1449,724;
1612,3703,2253;
1098,1449,731;
1388,3125,1891;
1219,1754,896;
1282,2083,1105;
4545,3571,2256;
14285,1190,13095;
1282,3703,2472;
11111,1086,10025;
7142,1149,5993;
1075,1123,571;
3333,5555,2967;
1234,7142,5908;
1449,1886,943;
1250,8333,7083;
1315,4166,2881;
4347,2941,2232;
1694,1639,875;
1041,3125,2112;
2857,4545,2372;
1250,3030,1899;
1136,5882,4746;
8333,2325,6022;
1086,1136,591;
1041,3703,2671;
1492,5263,3780;
9090,1960,7130;
1351,7142,5791;
1176,1923,1023;
1886,1315,955;
1428,1282,724;
5000,4000,2474;
3703,1041,2668;
6666,1282,5384;
1333,1265,688;
1176,8333,7157;
2702,1176,1641;
10000,1587,8413;
6666,2222,4522;
1219,1562,781;
5555,1369,4187;
3703,1587,2277;
10000,1282,8718;
12500,1020,11480;
1204,5000,3796;
2702,8333,5700;
1075,3125,2099;
2702,1785,1383;
1694,1587,862;
4545,5000,2524;
2631,1020,1682;
1428,1282,714;
1428,2173,1123;
1351,1063,675;
2000,1449,1003;
1052,5000,3948;
2500,1639,1317;
2941,1190,1845;
1204,1265,651;
3571,4166,2066;
