RANDOM SEQUENCES
lengthS,lengthT,MinCost;
1694,3225,1820;
7142,1075,6067;
4000,6250,3267;
1162,1923,1026;
1724,2083,1043;
1408,1265,712;
2272,7142,4929;
7692,1030,6662;
1408,1818,913;
7692,3703,4475;
1388,1075,694;
1063,2083,1187;
1754,1388,877;
1960,1886,1010;
1020,1000,540;
2439,4545,2527;
1298,2941,1776;
3225,5555,2996;
1818,3333,1840;
7142,3703,4041;
1923,4166,2481;
2702,1851,1378;
6250,3703,3352;
1075,2941,1921;
1666,2380,1209;
1408,8333,6925;
5882,1265,4617;
1449,5555,4106;
5882,3846,3035;
1785,1538,895;
1449,1492,766;
1136,1492,745;
3846,1333,2568;
2127,4347,2520;
10000,1694,8306;
1515,1136,772;
5882,1754,4154;
1333,8333,7000;
1136,2702,1667;
2439,4545,2527;
1162,1052,581;
1000,2325,1427;
8333,1886,6447;
7692,1190,6502;
2083,6666,4624;
1694,12500,10806;
2777,3703,1858;
1041,3571,2541;
1562,1149,776;
2631,1538,1414;
5263,1851,3488;
4761,1639,3190;
1000,6250,5250;
2857,3846,1953;
1923,1785,967;
1724,12500,10776;
2702,16666,13964;
12500,1010,11490;
1851,1612,944;
1612,16666,15054;
11111,1333,9778;
2173,2325,1162;
1470,1785,883;
2857,4545,2400;
2439,1492,1293;
11111,2083,9028;
1098,2040,1156;
8333,2941,5516;
5000,1851,3262;
5263,2173,3279;
2631,5555,3269;
3703,6250,3346;
2127,1694,1050;
1098,1265,643;
1333,3448,2207;
2083,1666,1024;
1388,1075,704;
1176,1162,601;
2380,1176,1377;
2380,1428,1283;
1075,5555,4480;
1020,1098,574;
1075,1265,635;
20000,2325,17675;
50000,1020,48980;
1639,7142,5503;
1162,11111,9949;
1923,1470,958;
20000,2500,17500;
1250,3703,2499;
2564,10000,7441;
1492,3225,1916;
1388,1639,811;
2702,7692,5113;
1298,1136,654;
5882,2857,3411;
20000,1369,18631;
4545,1388,3196;
2631,1190,1580;
2325,7142,4884;
1250,2564,1481;
2040,1149,1127;
1041,3030,2036;
1315,33333,32018;
2631,5000,2809;
25000,2222,22778;
12500,4761,8024;
2222,1587,1127;
1020,2000,1143;
16666,3846,12820;
1694,2380,1203;
1298,2173,1167;
1428,2941,1701;
1136,1470,742;
1333,1923,987;
1369,3448,2178;
3225,3448,1743;
1785,1538,890;
1190,25000,23810;
2500,20000,17500;
5000,14285,9489;
2083,11111,9028;
1886,33333,31447;
1010,1052,543;
1282,7692,6410;
1960,25000,23040;
1388,1694,852;
4166,4166,2168;
1754,50000,48246;
1136,2631,1609;
1851,2500,1248;
50000,1612,48388;
2380,1030,1456;
25000,3125,21875;
3703,1639,2244;
25000,4166,20834;
4545,1923,2794;
1587,1086,830;
1265,2500,1433;
2631,2857,1455;
4000,20000,16000;
1136,1960,1068;
1162,3448,2326;
1785,16666,14881;
3333,33333,30000;
25000,1886,23114;
3571,1785,2035;
1515,1818,898;
2857,1265,1727;
4545,2040,2732;
50000,2439,47561;
1075,1282,648;
2127,1204,1174;
3225,1515,1904;
2000,1041,1143;
2702,2500,1369;
1639,1000,876;
14285,1086,13199;
1136,2857,1806;
2000,1538,998;
4166,11111,7186;
3448,1030,2437;
1250,1000,622;
2222,1538,1130;
2777,1562,1506;
2702,1204,1633;
1149,100000,98851;
1149,1694,862;
3333,1562,1962;
100000,1470,98530;
1449,1020,750;
5263,1538,3743;
33333,5555,27778;
1408,2941,1720;
14285,12500,7079;
6666,1333,5333;
1408,3125,1879;
1010,1562,820;
100000,1204,98796;
1886,100000,98114;
2631,1923,1336;
16666,12500,8328;
1428,1098,719;
1886,1538,943;
11111,25000,15039;
3125,1030,2127;
1851,2777,1420;
1612,50000,48388;
25000,11111,15064;
9090,1666,7424;
1204,8333,7129;
1315,2380,1303;
1204,1724,887;
4347,2439,2363;
100000,3333,96667;
1265,1408,712;
3333,100000,96667;
100000,1562,98438;
2777,2222,1380;
1351,1449,738;
25000,12500,14330;
1388,1265,696;
6666,16666,10497;
1428,1923,961;
1219,1176,630;
12500,33333,21530;
5555,4545,2752;
100000,2272,97728;
task took 285.730000 seconds
----------------
COMPARE SET SEQUENCE WITH RANDOM SEQUENCES
lengthS,lengthT,MinCost;
10000,1030,8970;
10000,1075,8925;
10000,1265,8735;
10000,1063,8937;
10000,1075,8925;
10000,1162,8838;
10000,1086,8914;
10000,1250,8750;
10000,1149,8851;
10000,1176,8824;
10000,1250,8750;
10000,1315,8685;
10000,1351,8649;
10000,1515,8485;
10000,1351,8649;
10000,1351,8649;
10000,1449,8551;
10000,1449,8551;
10000,1449,8551;
10000,1470,8530;
10000,1851,8149;
10000,1587,8413;
10000,1538,8462;
10000,1612,8388;
10000,1587,8413;
10000,1666,8334;
10000,1639,8361;
10000,1724,8276;
10000,1785,8215;
10000,1587,8413;
10000,1538,8462;
10000,1818,8182;
10000,1851,8149;
10000,1851,8149;
10000,1960,8040;
10000,2000,8000;
10000,1020,8980;
10000,1136,8864;
10000,1190,8810;
10000,2173,7827;
10000,2173,7827;
10000,2325,7675;
10000,2325,7675;
10000,2173,7827;
10000,2222,7778;
10000,2380,7620;
10000,1123,8877;
10000,2500,7500;
10000,2500,7500;
10000,2631,7373;
10000,1136,8864;
10000,1282,8718;
10000,2631,7374;
10000,1086,8914;
10000,2702,7306;
10000,2777,7237;
10000,2857,7163;
10000,1075,8925;
10000,2941,7094;
10000,2941,7093;
10000,1923,8077;
10000,1063,8937;
10000,1886,8114;
10000,1724,8276;
10000,1020,8980;
10000,1020,8980;
10000,2272,7728;
10000,3225,6858;
10000,1234,8766;
10000,2500,7501;
10000,1818,8182;
10000,1785,8215;
10000,3571,6595;
10000,1562,8438;
10000,2380,7620;
10000,1219,8781;
10000,2083,7917;
10000,2631,7372;
10000,3846,6395;
10000,2564,7439;
10000,2325,7675;
10000,2083,7917;
10000,2439,7561;
10000,1010,8990;
10000,1149,8851;
10000,2040,7960;
10000,4166,6191;
10000,1587,8413;
10000,1010,8990;
10000,1785,8215;
10000,4166,6187;
10000,3030,7011;
10000,4166,6184;
10000,1219,8781;
10000,2500,7500;
10000,1111,8889;
10000,1754,8246;
10000,1369,8631;
10000,1315,8685;
10000,2631,7376;
10000,1785,8215;
10000,1176,8824;
10000,1041,8959;
10000,2941,7096;
10000,1666,8334;
10000,4761,5851;
10000,1250,8750;
10000,4761,5850;
10000,1010,8990;
10000,2857,7168;
10000,5000,5725;
10000,1149,8851;
10000,2272,7728;
10000,1086,8914;
10000,1111,8889;
10000,1086,8914;
10000,1282,8718;
10000,1587,8413;
10000,1315,8685;
10000,1052,8948;
10000,5555,5488;
10000,1886,8114;
10000,4347,6086;
10000,1754,8246;
10000,2941,7090;
10000,1315,8685;
10000,1754,8246;
10000,1219,8781;
10000,1052,8948;
10000,4347,6075;
10000,3448,6682;
10000,3225,6864;
10000,1851,8149;
10000,2777,7238;
10000,5263,5605;
10000,1666,8334;
10000,1282,8718;
10000,2631,7374;
10000,1063,8937;
10000,6250,5220;
10000,1086,8914;
10000,2380,7620;
10000,1639,8361;
10000,2173,7827;
10000,1000,9000;
10000,1492,8508;
10000,3225,6856;
10000,1492,8508;
10000,2702,7307;
10000,2564,7438;
10000,6666,5122;
10000,2439,7561;
10000,1075,8925;
10000,1886,8114;
10000,1234,8766;
10000,1176,8824;
10000,1369,8631;
10000,1190,8810;
10000,2173,7827;
10000,1851,8149;
10000,1086,8914;
10000,2000,8000;
10000,1369,8631;
10000,1098,8902;
10000,1136,8864;
10000,6250,5245;
10000,1428,8572;
10000,1234,8766;
10000,2439,7561;
10000,1851,8149;
10000,2439,7561;
10000,4166,6188;
10000,1041,8959;
10000,1063,8937;
10000,1369,8631;
10000,1449,8551;
10000,1063,8937;
10000,1470,8530;
10000,2222,7778;
10000,5882,5343;
10000,2500,7500;
10000,5882,5353;
10000,8333,4916;
10000,1694,8306;
10000,7692,4964;
10000,5000,5727;
10000,1851,8149;
10000,5000,5725;
10000,2127,7873;
10000,1052,8948;
10000,1785,8215;
10000,4347,6088;
10000,2702,7307;
10000,2272,7728;
10000,2325,7675;
10000,7692,4953;
10000,9090,5011;
10000,3846,6399;
10000,3448,6686;
10000,5263,5609;
10000,1333,8667;
10000,5000,5735;
10000,1408,8592;
10000,6666,5132;
10000,7692,4958;
10000,7692,4943;
10000,1754,8246;
10000,1851,8149;
10000,2777,7239;
10000,2631,7374;
10000,4000,6287;
10000,1010,8990;
10000,3448,6680;
10000,1265,8735;
10000,6666,5120;
10000,1818,8182;
10000,1149,8851;
10000,1282,8718;
10000,1000,9000;
10000,1351,8649;
10000,1388,8612;
10000,2631,7372;
10000,5000,5723;
10000,1538,8462;
10000,1020,8980;
10000,4166,6192;
10000,3030,7017;
10000,2702,7308;
10000,1562,8438;
10000,1562,8438;
10000,2083,7917;
10000,3571,6586;
10000,1724,8276;
10000,1086,8914;
10000,1851,8149;
10000,2325,7675;
10000,5000,5726;
10000,4761,5851;
10000,3333,6766;
10000,1666,8334;
10000,1234,8766;
10000,3571,6593;
10000,3225,6853;
10000,1250,8750;
10000,2631,7372;
10000,1041,8959;
10000,1298,8702;
10000,1724,8276;
10000,11111,5513;
10000,9090,4999;
10000,1818,8182;
10000,12500,6189;
10000,2325,7675;
10000,1098,8902;
10000,4545,5960;
10000,5555,5482;
10000,9090,4997;
10000,7692,4962;
10000,3030,7015;
10000,4761,5845;
10000,12500,6177;
10000,1960,8040;
10000,1204,8796;
10000,2272,7728;
10000,6666,5144;
10000,2702,7306;
10000,1369,8631;
10000,2857,7164;
10000,3448,6686;
10000,1250,8750;
10000,3448,6686;
10000,1515,8485;
10000,2040,7960;
10000,1612,8388;
10000,5882,5366;
10000,1149,8851;
10000,1190,8810;
10000,3846,6391;
10000,1388,8612;
10000,11111,5519;
10000,1515,8485;
10000,1282,8718;
10000,1470,8530;
10000,5263,5606;
10000,2500,7500;
10000,3846,6390;
10000,1538,8462;
10000,2500,7500;
10000,14285,7218;
10000,1265,8735;
10000,4545,5973;
10000,14285,7220;
10000,1123,8877;
10000,1515,8485;
10000,1030,8970;
10000,1666,8334;
10000,4000,6301;
10000,3333,6762;
10000,1818,8182;
10000,1587,8413;
10000,8333,4943;
10000,2777,7238;
10000,1562,8438;
10000,1666,8334;
10000,1010,8990;
10000,12500,6180;
10000,14285,7224;
10000,6666,5112;
10000,1315,8685;
10000,11111,5522;
10000,1388,8612;
10000,20000,11438;
10000,1315,8685;
10000,1052,8948;
10000,1960,8040;
10000,14285,7258;
10000,20000,11448;
10000,2000,8000;
10000,6250,5234;
10000,16666,8861;
10000,2857,7163;
10000,11111,5543;
10000,25000,15718;
10000,3333,6772;
10000,25000,15736;
10000,1030,8970;
10000,5555,5485;
10000,1612,8388;
10000,7142,5027;
10000,25000,15732;
10000,1162,8838;
10000,14285,7232;
10000,16666,8827;
10000,1470,8530;
10000,1818,8182;
10000,2439,7561;
10000,4545,5965;
10000,5263,5607;
10000,25000,15732;
10000,7142,5008;
10000,2272,7728;
10000,1162,8838;
10000,1369,8631;
10000,3030,7020;
10000,6666,5117;
10000,20000,11477;
10000,4545,5972;
10000,1250,8750;
10000,10000,5173;
10000,8333,4954;
10000,3703,6492;
10000,1351,8649;
10000,33333,23473;
10000,1282,8718;
10000,3571,6593;
10000,2631,7374;
10000,33333,23469;
10000,11111,5517;
10000,1219,8781;
10000,2173,7827;
10000,1098,8902;
10000,33333,23461;
10000,3125,6937;
10000,2564,7437;
10000,6666,5123;
10000,1204,8796;
10000,1204,8796;
10000,1098,8902;
10000,14285,7239;
10000,25000,15738;
10000,1818,8182;
10000,1041,8959;
10000,33333,23464;
10000,50000,40000;
10000,1162,8838;
10000,50000,40000;
10000,2222,7778;
10000,20000,11464;
10000,25000,15706;
10000,11111,5538;
10000,2777,7237;
10000,3225,6859;
10000,3225,6858;
10000,5555,5490;
10000,12500,6149;
10000,100000,90000;
10000,1666,8334;
10000,100000,90000;
10000,1587,8413;
10000,2777,7235;
10000,1030,8970;
10000,4000,6313;
10000,100000,90000;
10000,1098,8902;
10000,1515,8485;
10000,1052,8948;
10000,3846,6402;
10000,3030,7015;
10000,2000,8000;
10000,50000,40000;
task took 788.510000 seconds
