RANDOM SEQUENCES
lengthS,lengthT,MinCost;
3225,9090,6012;
2222,1587,1133;
1149,5000,3851;
2173,1333,1160;
1351,1052,671;
2040,1063,1164;
1333,7692,6359;
1724,1515,873;
2941,2222,1491;
1315,2777,1640;
1063,3225,2192;
1111,50000,48889;
1923,1351,977;
2564,50000,47436;
20000,1538,18462;
2777,1639,1491;
1052,1020,533;
1020,1612,836;
2040,1470,1015;
2325,2000,1167;
3703,1136,2588;
1086,6250,5164;
100000,1052,98948;
2439,7692,5319;
1754,2857,1510;
3030,33333,30303;
1587,1190,807;
1923,1123,1040;
16666,2127,14539;
3125,2380,1556;
2500,3448,1724;
9090,7142,4496;
2777,1923,1422;
1538,1000,812;
2173,1408,1135;
3703,5000,2522;
1333,1754,882;
1075,1754,932;
1000,20000,19000;
2083,1041,1188;
1694,1960,999;
1470,1063,740;
1960,1063,1094;
1562,1282,793;
1282,1492,748;
1851,1351,929;
1098,2000,1098;
12500,4545,8185;
1639,1923,960;
1587,1694,847;
1388,1369,716;
5882,3125,3285;
2083,1000,1223;
1388,1470,751;
1000,1886,1059;
1000,1960,1113;
1754,3846,2293;
25000,2222,22778;
1428,2857,1628;
5882,6250,3160;
3125,1149,2039;
1818,1515,910;
4347,2173,2491;
4347,20000,15653;
5263,2222,3234;
1020,3225,2229;
3225,1785,1776;
3225,1250,2057;
1315,1052,666;
1612,3703,2254;
2702,1315,1567;
1612,2272,1145;
1041,2272,1357;
5263,33333,28070;
6250,1136,5114;
task took 196.670000 seconds
COMPARE SET SEQUENCE WITH RANDOM SEQUENCES
----------------
lengthS,lengthT,MinCost;
10000,5000,5713;
10000,1428,8572;
10000,2564,7437;
10000,1886,8114;
10000,25000,15731;
10000,2222,7778;
10000,2941,7090;
10000,1818,8182;
10000,1234,8766;
10000,3703,6494;
10000,2222,7778;
10000,2941,7093;
10000,1851,8149;
10000,1470,8530;
10000,4545,5962;
10000,1086,8914;
10000,1030,8970;
10000,1123,8877;
10000,1851,8149;
10000,4000,6283;
10000,2380,7620;
10000,1886,8114;
10000,1052,8948;
10000,1219,8781;
10000,10000,5160;
10000,2777,7238;
10000,14285,7212;
10000,3333,6766;
10000,2173,7827;
10000,3225,6851;
10000,5882,5365;
10000,2272,7728;
10000,1515,8485;
10000,9090,4975;
10000,1190,8810;
10000,1724,8276;
10000,1204,8796;
10000,1785,8215;
10000,1923,8077;
10000,10000,5156;
10000,1492,8508;
10000,1098,8902;
10000,1219,8781;
10000,1851,8149;
10000,1250,8750;
10000,1298,8702;
10000,2777,7237;
10000,100000,90000;
10000,1010,8990;
10000,12500,6207;
10000,6666,5101;
10000,1428,8572;
10000,1666,8334;
10000,2040,7960;
10000,1333,8667;
10000,3225,6855;
10000,2325,7675;
10000,1123,8877;
10000,6666,5141;
10000,1020,8980;
10000,1041,8959;
10000,4347,6089;
10000,1428,8572;
10000,1010,8990;
10000,1639,8361;
10000,1388,8612;
10000,1449,8551;
10000,4000,6298;
10000,1250,8750;
10000,1315,8685;
10000,2083,7917;
10000,1219,8781;
10000,3333,6772;
10000,1075,8925;
10000,100000,90000;
10000,2173,7827;
10000,1666,8334;
10000,1075,8925;
10000,7692,4961;
10000,2857,7165;
10000,1052,8948;
10000,2631,7371;
10000,2083,7917;
10000,8333,4928;
10000,1265,8735;
10000,1111,8889;
10000,3125,6936;
10000,1333,8667;
10000,1204,8796;
10000,1449,8551;
10000,1030,8970;
10000,1010,8990;
10000,2564,7437;
10000,1886,8114;
10000,25000,15728;
10000,1010,8990;
10000,1492,8508;
10000,5000,5745;
10000,1492,8508;
10000,2564,7438;
10000,1960,8040;
10000,1639,8361;
10000,12500,6181;
10000,10000,5173;
10000,3333,6767;
10000,2439,7561;
10000,1149,8851;
10000,20000,11454;
10000,1075,8925;
10000,1098,8902;
10000,50000,40000;
10000,1351,8649;
10000,2272,7728;
10000,3030,7015;
10000,1724,8276;
10000,2325,7675;
10000,50000,40000;
10000,1086,8914;
10000,2439,7561;
10000,1265,8735;
10000,1562,8438;
10000,1149,8851;
10000,1020,8980;
10000,1428,8572;
10000,4545,5974;
10000,2941,7095;
10000,1351,8649;
10000,1075,8925;
10000,2564,7439;
10000,1282,8718;
10000,3030,7015;
10000,1851,8149;
10000,2083,7917;
10000,3333,6775;
10000,1204,8796;
10000,1333,8667;
10000,5000,5735;
10000,1315,8685;
10000,1234,8766;
10000,1449,8551;
10000,5263,5610;
10000,1333,8667;
10000,2040,7960;
10000,1020,8980;
10000,1694,8306;
10000,1388,8612;
10000,1030,8970;
10000,1694,8306;
10000,1923,8077;
10000,6250,5251;
10000,1136,8864;
