RANDOM SEQUENCES
lengthS,lengthT,MinCost;
10000,3225,6856;
10000,4000,6284;
10000,2439,7561;
10000,3448,6680;
10000,2702,7309;
10000,3571,6591;
10000,2631,7373;
10000,1123,8877;
10000,3703,6496;
10000,1538,8462;
10000,3225,6855;
10000,3571,6585;
10000,4166,6198;
10000,1923,8077;
10000,1333,8667;
10000,3448,6691;
10000,3571,6596;
10000,3703,6489;
10000,2857,7167;
10000,2500,7502;
10000,3571,6588;
10000,1075,8925;
10000,2631,7377;
10000,2325,7675;
10000,4166,6185;
10000,1818,8182;
10000,3125,6934;
10000,3125,6936;
10000,2439,7561;
10000,1428,8572;
10000,5882,5356;
10000,1351,8649;
10000,2564,7438;
10000,1886,8114;
10000,7692,4965;
10000,2500,7500;
10000,1694,8306;
10000,5000,5724;
10000,2380,7620;
10000,1694,8306;
10000,6666,5120;
10000,2941,7091;
10000,8333,4945;
10000,1639,8361;
10000,1960,8040;
10000,1388,8612;
10000,5555,5482;
10000,6666,5128;
10000,11111,5538;
10000,8333,4958;
10000,1369,8631;
10000,5555,5474;
10000,12500,6166;
10000,10000,5164;
10000,1086,8914;
10000,14285,7196;
10000,12500,6175;
10000,2564,7438;
10000,14285,7217;
10000,16666,8829;
10000,20000,11460;
10000,20000,11458;
10000,20000,11473;
10000,33333,23469;
10000,33333,23467;
10000,2083,7917;
10000,2325,7675;
10000,1086,8914;
10000,50000,40000;
10000,2777,7237;
10000,50000,40000;
10000,2000,8000;
10000,50000,40000;
10000,4761,5853;
10000,100000,90000;
10000,100000,90000;
10000,1190,8810;
10000,100000,90000;
10000,100000,90000;
10000,1960,8040;
10000,12500,6184;
10000,1282,8718;
10000,14285,7206;
10000,100000,90000;
10000,1123,8877;
task took 443.250000 seconds
