RANDOM SEQUENCES
n,threadId,lengthS,lengthT,MinCost
0,0,300,3,1190,11491282,6250200,2,100,1,1515,142855000,4000,609;
1,0,1351,1515,763;
2,0,20000,7142,4968;
301,3,1030,1612,842;
302,3,1136,2040,1118;
303,3,4761,1149,3612;
304,3,1428,2702,1513;
305,3,20000,1923,2498;
101,1,100000,1694,12770;
201,2,20000,1250,18750;
202,2,1960,1515,18077;
306,3,1754,4545,979;
203,2,20000,14285,2910;
307,3,1162,2941,1866;
308,3,2941,4000,1996;
309,3,1818,1010,1006;
310,3,2272,2040,1141;
311,3,8333,9090,13188;
3,0,5263,2000,4538;
312,3,1351,1612,811;
313,3,1470,2173,1122;
314,3,2380,3030,3389;
4,0,3030,2272,1509;
315,3,4166,2127,1527;
5,0,1639,1020,98306;
102,1,4000,4545,866;
6,0,16666,50000,2377;
316,3,1030,1219,608;
317,3,4000,1886,2373;
318,3,2439,50000,2278;
103,1,1250,11111,9861;
104,1,1754,1408,880;
105,1,1351,12500,11149;
106,1,3703,1470,2350;
107,1,1052,1020,533;
108,1,5882,2325,3722;
109,1,3571,1063,2522;
110,1,1851,12500,10649;
111,1,1754,1250,896;
112,1,8333,5263,47561;
319,3,2941,3448,1722;
320,3,2040,1886,1037;
321,3,1428,6250,4356;
113,1,3448,3333,4822;
322,3,2941,5000,1759;
114,1,2500,1428,1371;
115,1,10000,1612,2689;
323,3,1219,3571,2400;
324,3,50000,1428,8388;
116,1,3846,1515,2449;
117,1,1470,2857,1621;
118,1,3846,1176,10058;
204,2,1666,1136,852;
205,2,2222,2631,2692;
119,1,1265,1754,894;
120,1,7692,2380,1319;
206,2,2272,12500,5359;
121,1,1265,1282,667;
122,1,6666,2083,10228;
207,2,33333,1162,4632;
123,1,1298,2380,1321;
124,1,3448,4545,48572;
325,3,1785,4545,2272;
125,1,1315,1250,2885;
326,3,2777,1515,687;
126,1,1041,2777,1799;
127,1,1754,3225,1534;
327,3,1234,6250,1796;
128,1,3125,3333,5016;
328,3,2222,1851,1097;
329,3,6250,4000,32171;
208,2,4545,1250,1676;
129,1,1666,2083,3303;
209,2,3030,9090,1033;
130,1,1030,5263,4233;
131,1,4347,1041,3306;
132,1,1538,1010,798;
133,1,2222,9090,3258;
330,3,3030,33333,6165;
210,2,1694,7692,6868;
134,1,1250,5555,4305;
135,1,2857,2127,5998;
211,2,2272,1351,1438;
136,1,2500,6666,1216;
212,2,2564,5882,3573;
213,2,2631,33333,4313;
137,1,1010,5263,4253;
138,1,3225,2857,1610;
139,1,10000,2222,7778;
140,1,4000,3333,1990;
141,1,2564,2702,30303;
331,3,2631,4545,1374;
142,1,1234,1449,722;
143,1,1428,2000,988;
144,1,4347,10000,2438;
332,3,1052,1204,600;
333,3,2439,1075,1472;
334,3,3030,4347,2205;
335,3,1724,1041,924;
336,3,5000,3448,30702;
214,2,1010,5263,4253;
215,2,4761,11111,2542;
337,3,1470,2380,6087;
145,1,1587,3030,1269;
338,3,1234,12500,1703;
146,1,1282,2702,1593;
147,1,2380,1851,1186;
148,1,1587,1562,845;
149,1,1818,1886,11266;
339,3,1960,2777,964;
150,1,1052,12500,1411;
340,3,1333,1123,664;
341,3,1282,1265,680;
342,3,1428,1694,848;
343,3,1063,1408,708;
344,3,33333,11111,11448;
151,1,2083,1428,1071;
152,1,1333,1694,864;
153,1,2380,2380,1238;
154,1,1204,1388,6814;
216,2,1234,1063,700;
155,1,1851,1960,623;
217,2,1176,3225,1008;
156,1,1010,2325,2113;
218,2,1666,4166,1420;
157,1,1333,1000,675;
158,1,1538,1315,774;
159,1,1515,3571,2622;
219,2,9090,16666,2206;
160,1,1010,1351,679;
161,1,33333,3571,29762;
162,1,7142,1052,6090;
163,1,2857,3125,1575;
164,1,1063,2439,1488;
165,1,8333,1639,6694;
166,1,4000,2631,9218;
220,2,1315,1041,667;
221,2,16666,16666,2054;
167,1,1298,1041,648;
168,1,1136,5000,3864;
169,1,2941,1052,1943;
170,1,1492,6250,4758;
171,1,3571,1587,2162;
172,1,2222,1086,1300;
173,1,3225,6666,3872;
174,1,1086,1960,1077;
175,1,1020,4000,2981;
176,1,1123,1724,892;
177,1,1123,8333,7210;
178,1,1408,1538,790;
179,1,1538,4761,3270;
180,1,1408,1136,700;
181,1,11111,2777,8334;
182,1,1063,3125,2100;
183,1,1754,1369,876;
184,1,2500,20000,17500;
185,1,3571,3333,1817;
186,1,4347,33333,22545;
345,3,4000,1562,2547;
346,3,11111,6250,33827;
7,0,7692,1086,6606;
8,0,1204,1098,601;
9,0,1449,1428,759;
10,0,5000,4761,2551;
11,0,6250,1369,4881;
12,0,1694,1754,896;
13,0,1265,8333,6065;
347,3,2857,1162,7068;
14,0,1315,16666,1794;
348,3,2631,1075,1639;
349,3,1785,1754,928;
350,3,1063,2040,1148;
351,3,25000,1063,15351;
15,0,1123,1041,577;
16,0,4545,16666,8645;
222,2,1724,50000,23937;
352,3,4545,2083,2704;
353,3,12500,1923,28986;
187,1,2380,1136,1395;
188,1,1886,9090,10577;
354,3,1219,1190,7204;
189,1,1923,2325,623;
355,3,1785,2702,1157;
190,1,4166,7142,1373;
356,3,2272,1234,1252;
357,3,5555,5263,12136;
17,0,1369,1265,689;
18,0,1063,1041,560;
19,0,3571,1960,3845;
191,1,2702,2439,2813;
358,3,3333,3448,1981;
20,0,3448,1315,1347;
192,1,12500,20000,2220;
21,0,4347,1000,48276;
223,2,3333,1111,3347;
22,0,3030,2000,1754;
359,3,14285,7692,2260;
224,2,1111,33333,1558;
23,0,1098,3225,2168;
24,0,3333,2380,1683;
25,0,20000,2222,32222;
225,2,4545,1408,3162;
226,2,1190,3448,2310;
227,2,1960,1041,1105;
228,2,1030,12500,17778;
26,0,1176,1020,11470;
229,2,5882,2500,594;
27,0,1176,1010,593;
28,0,1960,2127,1076;
29,0,1063,1923,1050;
30,0,3703,1851,3612;
230,2,1282,1111,2129;
31,0,1030,3030,638;
231,2,1052,2083,2037;
32,0,6666,4166,1192;
232,2,1785,5882,4128;
233,2,33333,1428,3509;
33,0,2173,1075,7923;
360,3,2439,12500,1256;
34,0,2325,1111,1364;
35,0,1369,1754,882;
36,0,2631,4761,2607;
37,0,1639,1492,828;
38,0,1190,1030,598;
39,0,4761,1298,31905;
234,2,2272,1111,3469;
40,0,1162,5263,10061;
361,3,1694,7142,1318;
235,2,5000,1449,4101;
41,0,1204,1086,612;
42,0,1886,1351,3570;
236,2,50000,8333,939;
43,0,2380,1515,5448;
362,3,7692,1449,1245;
44,0,9090,1408,6243;
363,3,12500,5555,7682;
45,0,3703,1162,2571;
