RANDOM SEQUENCES
n,threadId,lengthS,lengthT,MinCost;
65,5,104,8,26,2,0,0,176,14,13,1,128,10,52,4,152,12,39,3,78,6,164,13,188,15,140,11,116,9,91,7,1149,1075,587;
1,0,1190,1149,624;
66,5,1098,1666,879;
129,10,1063,2777,1789;
27,2,1204,3225,2091;
189,15,1369,2702,1531;
40,3,1470,2777,1568;
117,9,2083,1612,1056;
67,5,1470,3333,2027;
165,13,2500,1666,1278;
2,0,1587,3571,2154;
14,1,1562,3703,2277;
53,4,1315,1960,1019;
190,15,1492,1785,893;
41,3,1587,4166,2683;
141,11,1886,1075,1030;
68,5,1041,1369,696;
191,15,1333,2173,1157;
166,13,1282,6250,4968;
105,8,1098,1000,552;
167,13,2000,4545,2755;
177,14,2439,3703,1918;
153,12,2777,1612,1498;
3,0,1886,2222,1103;
54,4,1923,3448,1898;
118,9,1515,2941,1671;
42,3,1724,1754,913;
106,8,8333,1449,6884;
79,6,1960,4761,2970;
28,2,6250,1694,4564;
130,10,1785,1282,912;
119,9,1282,1298,672;
131,10,1020,2325,1405;
29,2,2941,1052,1944;
80,6,2941,3703,1842;
15,1,7142,1075,6067;
178,14,1408,1639,822;
132,10,3846,2325,2055;
192,15,2083,5263,3325;
142,11,6250,1724,4537;
69,5,2040,1754,1014;
30,2,1388,1408,732;
179,14,1351,5882,4531;
43,3,1219,1234,633;
70,5,1724,1470,869;
193,15,1111,2439,1456;
133,10,2500,1010,1568;
143,11,1086,1149,590;
134,10,2040,2127,1093;
16,1,4545,2564,2484;
154,12,1052,1149,589;
144,11,2173,1030,1276;
71,5,2083,1149,1157;
194,15,3846,2272,2075;
120,9,1851,2631,1341;
31,2,3125,1020,2136;
155,12,2857,1250,1738;
17,1,3846,3703,1963;
55,4,4000,3703,2013;
4,0,1086,1923,1052;
32,2,1098,1639,836;
18,1,1176,3448,2326;
121,9,1111,1204,612;
33,2,1000,3030,2064;
5,0,1923,1086,1070;
6,0,1923,3125,1659;
19,1,3703,2857,1869;
72,5,1785,10000,8215;
81,6,1818,8333,6515;
180,14,4166,1162,3017;
7,0,4347,2380,2418;
156,12,2380,5000,2925;
56,4,5555,2083,3592;
34,2,1000,20000,19000;
135,10,2040,2500,1248;
8,0,1333,5555,4222;
157,12,6250,1000,5250;
57,4,2173,4545,2659;
181,14,4347,1282,3084;
35,2,1538,1818,906;
182,14,2702,5263,2980;
20,1,1785,4000,2399;
136,10,1694,9090,7396;
82,6,5555,2777,3183;
73,5,4545,5882,2935;
145,11,5882,1111,4771;
58,4,2777,8333,5646;
122,9,1851,1639,931;
137,10,1538,1123,783;
59,4,1785,3333,1871;
183,14,1111,11111,10000;
9,0,1000,5555,4555;
83,6,2564,1086,1581;
60,4,2127,3571,1904;
21,1,1333,1562,791;
10,0,1063,1587,823;
61,4,1111,1149,599;
22,1,3703,1282,2476;
184,14,2127,1333,1119;
11,0,3703,1785,2168;
84,6,5000,10000,5704;
107,8,1960,2702,1355;
185,14,1538,1785,889;
85,6,5263,3030,2855;
146,11,1515,2222,1150;
86,6,2564,2857,1431;
108,8,3030,4000,1992;
12,0,1666,3448,2011;
147,11,2325,10000,7675;
138,10,14285,1333,12952;
62,4,1298,3125,1952;
139,10,4347,1515,2901;
148,11,1694,1030,910;
149,11,2631,4545,2458;
109,8,25000,1538,23462;
36,2,33333,1052,32281;
74,5,1075,1333,666;
37,2,14285,1315,12970;
87,6,3333,1639,1939;
38,2,1515,1000,778;
2564,4347,2333;
110,8,5000,2941,2675;
150,11,10000,2500,7500;
33333,2272,31061;
195,15,1639,1960,984;
111,8,4545,3030,2327;
75,5,1030,1923,1075;
151,11,1724,14285,12561;
63,4,1694,1176,871;
76,5,20000,2325,17675;
23,1,3125,1000,2152;
64,4,2500,1020,1575;
77,5,1000,1851,1029;
8333,1098,7235;
112,8,2083,2127,1095;
24,1,2173,1234,1198;
113,8,2040,50000,47960;
168,13,3333,33333,30000;
92,7,1041,3030,2028;
25,1,1298,1219,670;
169,13,1075,12500,11425;
1136,1612,817;
93,7,1204,2439,1415;
114,8,2173,1030,1286;
1298,2127,1135;
170,13,1369,1388,717;
94,7,1369,1098,688;
171,13,1369,14285,12916;
196,15,3571,3571,1870;
1515,2702,1483;
172,13,1000,1538,807;
173,13,20000,2173,17827;
2173,3448,1793;
95,7,5882,1694,4206;
115,8,5882,1098,4784;
197,15,1612,1818,908;
174,13,10000,7142,5046;
123,9,1162,5555,4393;
96,7,25000,2777,22223;
186,14,1315,9090,7775;
4761,10000,5858;
88,6,1818,4347,2681;
97,7,1886,1190,983;
89,6,3703,3448,1873;
175,13,1075,1785,956;
98,7,1136,1960,1059;
90,6,1694,1010,909;
2702,3333,1656;
187,14,1851,1492,928;
99,7,2500,1785,1290;
9090,2000,7090;
5882,25000,19118;
44,3,1351,1149,671;
45,3,1428,1851,926;
46,3,1176,2173,1205;
47,3,25000,1724,23276;
100,7,1449,5000,3572;
48,3,16666,1886,14780;
101,7,2325,1785,1154;
102,7,2631,1351,1506;
103,7,12500,8333,6401;
124,9,2173,2857,1423;
125,9,1960,5555,3685;
1492,33333,31841;
49,3,1234,1219,638;
126,9,2857,1075,1852;
127,9,100000,2127,97873;
158,12,1666,2173,1094;
50,3,1250,100000,98750;
198,15,1818,2222,1118;
51,3,2272,6250,4099;
3703,4545,2253;
199,15,1351,1428,712;
9090,2000,7090;
10000,3125,6935;
159,12,1000,1052,533;
160,12,7692,2173,5532;
161,12,1724,1694,900;
162,12,1724,1063,915;
163,12,1041,3571,2543;
task took 76.610000 seconds
----------------
COMPARE SET SEQUENCE WITH RANDOM SEQUENCES
n,threadId,lengthS,lengthT,MinCost;
188,15,65,5,0,0,78,6,140,11,164,13,116,9,176,14,52,4,91,7,152,12,26,2,104,8,128,10,39,3,13,1,1035,1176,588;
117,9,1035,1020,543;
53,4,1035,1562,820;
189,15,1035,1724,926;
1,0,1035,1818,993;
177,14,1035,1886,1051;
141,11,1035,1075,555;
54,4,1035,2040,1170;
40,3,1035,1250,620;
55,4,1035,1265,641;
41,3,1035,3703,2678;
79,6,1035,3703,2677;
105,8,1035,2325,1404;
14,1,1035,2127,1232;
92,7,1035,1298,642;
56,4,1035,4761,3726;
27,2,1035,1123,579;
15,1,1035,4000,2967;
178,14,1035,1020,536;
57,4,1035,2272,1367;
42,3,1035,5263,4228;
118,9,1035,1250,616;
28,2,1035,2941,1952;
106,8,1035,1149,574;
58,4,1035,1333,669;
179,14,1035,1298,652;
43,3,1035,1298,645;
119,9,1035,1176,586;
107,8,1035,1785,967;
29,2,1035,6250,5215;
142,11,1035,1428,724;
59,4,1035,11111,10076;
153,12,1035,1818,989;
180,14,1035,1020,547;
143,11,1035,7692,6657;
190,15,1035,1265,630;
30,2,1035,1408,714;
60,4,1035,1351,671;
181,14,1035,1298,650;
144,11,1035,5555,4520;
16,1,1035,1515,776;
61,4,1035,1162,584;
