RANDOM SEQUENCES
n,threadId,lengthS,lengthT,MinCost;
17,1,1035,3846,2815;
108,8,1035,4000,2969;
154,12,1035,1063,558;
62,4,1035,1086,565;
18,1,1035,2380,1464;
145,11,1035,1250,621;
109,8,1035,7142,6107;
120,9,1035,1176,589;
63,4,1035,1265,624;
146,11,1035,1492,758;
19,1,1035,4166,3131;
182,14,1035,3846,2814;
155,12,1035,2439,1506;
64,4,1035,1724,929;
156,12,1035,3846,2814;
110,8,1035,3030,2038;
183,14,1035,4761,3726;
121,9,1035,11111,10076;
44,3,1035,14285,13250;
93,7,1035,3125,2118;
1035,2631,1675;
157,12,1035,2272,1358;
122,9,1035,1123,572;
94,7,1035,11111,10076;
31,2,1035,1136,577;
123,9,1035,1204,594;
32,2,1035,2173,1273;
158,12,1035,1612,846;
95,7,1035,1265,623;
124,9,1035,1098,563;
159,12,1035,2040,1171;
33,2,1035,2040,1170;
96,7,1035,1000,544;
97,7,1035,2857,1881;
34,2,1035,1694,899;
98,7,1035,4545,3510;
160,12,1035,12500,11465;
20,1,1035,1298,648;
99,7,1035,20000,18965;
191,15,1035,1041,532;
192,15,1035,9090,8055;
45,3,1035,16666,15631;
147,11,1035,3225,2218;
161,12,1035,4000,2967;
35,2,1035,1666,875;
193,15,1035,2941,1949;
100,7,1035,1136,581;
46,3,1035,1538,793;
148,11,1035,1162,586;
36,2,1035,1333,666;
47,3,1035,2127,1237;
194,15,1035,33333,32298;
66,5,1035,2702,1727;
101,7,1035,33333,32298;
2,0,1035,1176,598;
48,3,1035,16666,15631;
184,14,1035,1333,661;
195,15,1035,1176,589;
185,14,1035,1754,939;
3,0,1035,1408,709;
196,15,1035,33333,32298;
80,6,1035,4347,3312;
37,2,1035,1000,528;
186,14,1035,9090,8055;
21,1,1035,1075,554;
197,15,1035,1219,611;
81,6,1035,1030,543;
38,2,1035,6666,5631;
149,11,1035,3846,2815;
49,3,1035,2000,1141;
187,14,1035,3125,2128;
4,0,1035,2564,1609;
22,1,1035,2040,1162;
150,11,1035,1265,639;
5,0,1035,2941,1949;
1035,1449,747;
6,0,1035,4545,3510;
82,6,1035,7142,6107;
102,7,1035,1020,542;
83,6,1035,4761,3726;
50,3,1035,1694,892;
7,0,1035,12500,11465;
162,12,1035,1111,567;
51,3,1035,3125,2127;
103,7,1035,1923,1071;
163,12,1035,2857,1867;
84,6,1035,2083,1199;
1035,1315,644;
1035,1315,659;
1035,1265,636;
85,6,1035,1315,656;
86,6,1035,10000,8965;
1035,7142,6107;
8,0,1035,50000,48965;
129,10,1035,16666,15631;
67,5,1035,14285,13250;
198,15,1035,1428,721;
130,10,1035,2040,1164;
9,0,1035,2325,1409;
199,15,1035,1190,598;
10,0,1035,1428,719;
131,10,1035,33333,32298;
125,9,1035,1470,753;
132,10,1035,1886,1053;
11,0,1035,1052,552;
12,0,1035,16666,15631;
23,1,1035,2380,1453;
126,9,1035,10000,8965;
87,6,1035,3030,2035;
133,10,1035,2083,1206;
24,1,1035,1818,998;
127,9,1035,1086,552;
134,10,1035,1639,866;
88,6,1035,2000,1138;
25,1,1035,2380,1446;
1035,2127,1255;
135,10,1035,2325,1401;
89,6,1035,1333,676;
90,6,1035,5882,4847;
1035,1960,1098;
1035,14285,13250;
1035,6666,5631;
136,10,1035,7692,6657;
1035,33333,32298;
151,11,1035,33333,32298;
68,5,1035,1492,772;
69,5,1035,1265,619;
70,5,1035,12500,11465;
1035,2857,1878;
71,5,1035,1234,610;
72,5,1035,1428,713;
73,5,1035,1639,862;
74,5,1035,100000,98965;
165,13,1035,25000,23965;
137,10,1035,1818,991;
138,10,1035,4761,3726;
166,13,1035,2941,1951;
139,10,1035,2564,1622;
1035,5263,4228;
167,13,1035,2702,1733;
168,13,1035,100000,98965;
111,8,1035,1754,942;
112,8,1035,1818,989;
113,8,1035,1052,557;
114,8,1035,1041,549;
115,8,1035,12500,11465;
169,13,1035,33333,32298;
75,5,1035,2173,1279;
170,13,1035,2857,1882;
171,13,1035,3846,2813;
1035,1010,538;
172,13,1035,6250,5215;
173,13,1035,11111,10076;
76,5,1035,1428,730;
174,13,1035,2127,1243;
77,5,1035,1886,1062;
175,13,1035,1298,647;
1035,1515,778;
task took 35.670000 seconds
