RANDOM SEQUENCES
n,threadId,lengthS,lengthT,MinCost;
0,0,300,6,150,3,200,4,100,2,350,7,50,1,250,5,1190,1149,617;
1,0,2777,1149,1735;
151,3,1298,2702,1582;
51,1,3030,1298,1861;
201,4,1449,2083,1053;
2,0,1041,1315,655;
52,1,1020,5555,4535;
101,2,1666,1086,866;
53,1,1282,6250,4968;
301,6,3225,1587,1875;
152,3,1162,2439,1435;
153,3,1111,6666,5555;
102,2,3125,2857,1566;
202,4,1666,1666,874;
154,3,1408,5555,4148;
54,1,1030,2000,1147;
155,3,2631,2127,1309;
103,2,4000,2631,2066;
302,6,2439,1086,1474;
156,3,1162,5555,4393;
203,4,1176,1075,606;
104,2,1886,1298,966;
157,3,4545,1886,2830;
55,1,1818,1315,929;
56,1,3333,1369,2089;
158,3,4166,1754,2576;
303,6,1694,1351,844;
159,3,2083,1369,1096;
57,1,8333,1063,7270;
204,4,1030,3846,2823;
58,1,6666,4545,3403;
3,0,9090,1111,7979;
205,4,2631,1010,1690;
4,0,1886,4761,3010;
59,1,1449,11111,9662;
160,3,7142,1020,6122;
161,3,1123,1449,726;
162,3,4166,3703,2075;
5,0,2500,1250,1434;
6,0,1449,1000,753;
7,0,1428,2857,1650;
8,0,1470,50000,48530;
351,7,4166,3125,2088;
9,0,3333,8333,5251;
163,3,16666,2500,14166;
60,1,2941,1204,1845;
164,3,4347,3225,2173;
352,7,1923,5000,3205;
61,1,3125,2500,1557;
165,3,1052,2439,1490;
62,1,1886,50000,48114;
251,5,1098,4761,3663;
252,5,1333,1063,662;
253,5,16666,4545,12134;
304,6,1428,12500,11072;
63,1,2564,7142,4709;
254,5,1351,1219,684;
255,5,1298,1612,815;
256,5,2857,16666,13809;
10,0,1351,2631,1487;
257,5,1369,1123,681;
258,5,1204,5000,3796;
11,0,25000,1041,23959;
64,1,2777,3448,1720;
65,1,1369,100000,98631;
105,2,3703,3448,1868;
66,1,1333,12500,11167;
106,2,7142,1492,5650;
67,1,20000,2222,17778;
12,0,3571,2500,1816;
68,1,1369,4000,2684;
69,1,1886,1449,947;
70,1,33333,3030,30303;
166,3,12500,1136,11364;
13,0,50000,1265,48735;
259,5,1250,1234,646;
14,0,3333,1515,1992;
167,3,1449,5555,4110;
71,1,1190,2631,1585;
15,0,1388,1388,723;
72,1,9090,1538,7552;
16,0,3703,4761,2361;
168,3,1265,1785,912;
169,3,1000,50000,49000;
107,2,16666,1470,15196;
260,5,1298,2325,1274;
261,5,1388,5882,4494;
108,2,4347,1111,3237;
262,5,1149,1851,985;
109,2,1515,1587,799;
263,5,1587,4166,2685;
264,5,2777,50000,47223;
305,6,1388,1298,702;
306,6,20000,1538,18462;
17,0,1754,1369,875;
18,0,2857,5263,2918;
19,0,2702,3846,1938;
20,0,1250,1369,694;
21,0,2857,1098,1826;
22,0,50000,1818,48182;
73,1,9090,5263,4916;
307,6,2127,1000,1250;
308,6,1086,1470,751;
309,6,1351,7142,5791;
74,1,1369,14285,12916;
23,0,1234,1724,890;
24,0,1265,1388,703;
25,0,2500,5000,2868;
310,6,2000,2272,1145;
26,0,1639,1204,823;
311,6,11111,1149,9962;
27,0,5000,2127,3070;
28,0,4000,1515,2568;
29,0,3225,1136,2138;
30,0,33333,1052,32281;
312,6,1219,3225,2081;
31,0,2564,4166,2220;
32,0,1851,4761,3035;
33,0,1612,1754,880;
34,0,5882,1162,4720;
35,0,3030,11111,8088;
313,6,1587,1075,818;
36,0,1333,1149,682;
314,6,1428,4000,2643;
37,0,1369,3225,1991;
38,0,100000,1538,98462;
265,5,1298,1265,669;
39,0,1020,1265,627;
266,5,2222,1020,1327;
267,5,5263,1694,3612;
268,5,1666,1612,855;
269,5,1612,14285,12673;
40,0,12500,14285,7072;
110,2,1219,1010,621;
41,0,1136,1818,957;
42,0,1204,33333,32129;
315,6,2857,3703,1836;
43,0,7142,3703,4030;
270,5,1515,14285,12770;
316,6,1351,4166,2856;
271,5,1020,1724,929;
317,6,3448,1369,2184;
318,6,1234,10000,8766;
319,6,1960,1785,991;
320,6,1612,1149,810;
321,6,5882,4000,3003;
272,5,20000,20000,10360;
206,4,1234,3703,2509;
322,6,1818,1123,963;
323,6,50000,1204,48796;
111,2,3703,2439,1925;
273,5,1408,33333,31925;
44,0,1075,3333,2286;
112,2,1351,1470,763;
274,5,4545,1562,3049;
324,6,1428,1449,761;
113,2,100000,2702,97298;
170,3,1785,1190,929;
275,5,2702,1818,1390;
45,0,1666,1470,832;
171,3,1369,2631,1498;
172,3,1492,1298,741;
173,3,9090,1282,7808;
46,0,1250,1851,947;
47,0,3703,2325,1964;
174,3,1052,2222,1315;
48,0,1587,1818,904;
49,0,2222,1515,1141;
6666,5263,3311;
207,4,1538,2702,1465;
208,4,25000,1265,23735;
276,5,1428,1190,720;
209,4,10000,3333,6774;
325,6,1351,1282,688;
277,5,3030,1020,2050;
278,5,1000,1086,564;
279,5,20000,1086,18914;
175,3,1250,33333,32083;
114,2,5555,1333,4222;
210,4,3703,1315,2449;
280,5,12500,33333,21532;
353,7,1639,1724,883;
354,7,4761,1428,3359;
115,2,1204,1388,704;
116,2,1265,4761,3502;
281,5,1851,3225,1761;
117,2,1136,1298,662;
118,2,3571,4761,2397;
176,3,3125,1149,2039;
119,2,11111,1492,9619;
282,5,2631,6250,3857;
177,3,1639,1162,836;
178,3,16666,1785,14881;
355,7,1219,4761,3543;
179,3,3448,1369,2182;
356,7,1282,1176,645;
180,3,14285,3703,10586;
326,6,2083,3448,1838;
357,7,2040,2272,1147;
327,6,1190,2439,1414;
328,6,2325,2272,1203;
329,6,1639,1408,822;
330,6,11111,1851,9260;
181,3,1298,11111,9813;
182,3,1886,33333,31447;
283,5,14285,2777,11508;
358,7,1190,1923,1018;
359,7,1515,1785,885;
360,7,14285,1219,13066;
284,5,1428,1063,723;
285,5,1190,1818,946;
286,5,2127,2000,1088;
287,5,2500,1724,1279;
288,5,2083,1282,1108;
289,5,2173,2083,1113;
290,5,2325,1666,1170;
