RANDOM SEQUENCES
n,threadId,lengthS,lengthT,MinCost;
291,5,1136,1149,596;
292,5,1111,2040,1135;
293,5,33333,1234,32099;
361,7,1818,1428,914;
362,7,2631,4000,2056;
363,7,2380,1515,1260;
364,7,3030,6250,3637;
294,5,1052,2941,1938;
295,5,1923,2439,1220;
365,7,1333,2857,1684;
296,5,11111,1724,9387;
297,5,4000,1449,2623;
298,5,100000,1190,98810;
331,6,7692,6666,3830;
366,7,3030,3448,1746;
332,6,2083,2272,1136;
367,7,2500,1265,1440;
333,6,12500,11111,6209;
183,3,2777,3571,1777;
368,7,1562,2857,1579;
369,7,1063,1351,676;
370,7,1086,20000,18914;
334,6,2777,7142,4554;
184,3,2564,3703,1892;
335,6,3225,1052,2202;
336,6,2702,1666,1431;
337,6,2702,11111,8409;
371,7,1428,16666,15238;
185,3,4545,1886,2826;
338,6,1123,2702,1676;
186,3,7692,1030,6662;
372,7,2173,2222,1152;
339,6,1666,2040,1017;
187,3,1785,1098,959;
340,6,1086,1470,750;
188,3,1086,6250,5164;
373,7,1754,1923,963;
189,3,3333,2173,1719;
190,3,3448,2272,1768;
374,7,1538,1265,769;
191,3,1136,1612,829;
375,7,1388,1075,692;
192,3,14285,20000,10083;
211,4,1694,1282,860;
212,4,1075,1724,901;
213,4,2777,2500,1382;
214,4,5882,50000,44118;
120,2,1428,2040,1028;
121,2,5882,4545,2923;
376,7,7142,3846,3973;
193,3,100000,1369,98631;
299,5,1886,1086,1023;
194,3,1063,1923,1058;
1562,4761,3246;
195,3,4347,2631,2319;
377,7,2702,1388,1541;
196,3,1851,1408,933;
378,7,1063,1694,895;
379,7,1123,2325,1352;
197,3,1785,1162,930;
198,3,1724,14285,12561;
122,2,1562,1351,777;
123,2,1851,1923,984;
199,3,2380,3333,1712;
380,7,2000,1041,1137;
4761,3333,2424;
124,2,10000,4000,6314;
381,7,1388,25000,23612;
125,2,1694,6666,4972;
382,7,5882,1219,4663;
383,7,3125,1111,2068;
384,7,2325,2380,1217;
385,7,14285,1515,12770;
126,2,2941,1123,1889;
127,2,1219,1190,629;
128,2,1538,1754,876;
129,2,2702,3703,1857;
386,7,1086,1449,724;
387,7,2272,2631,1318;
130,2,2127,4000,2251;
131,2,9090,2272,6818;
132,2,2325,1162,1338;
133,2,1111,1190,597;
134,2,4166,9090,5415;
388,7,2083,3846,2131;
389,7,1176,20000,18824;
135,2,5263,2941,2877;
390,7,1492,1923,962;
391,7,1492,2777,1552;
392,7,2040,7142,5121;
136,2,5263,1136,4127;
393,7,1190,1369,699;
137,2,4347,1369,3007;
394,7,3225,2564,1605;
138,2,2941,4347,2221;
395,7,11111,1428,9683;
139,2,7692,1694,5998;
396,7,3333,1428,2036;
397,7,5555,2127,3559;
140,2,2083,1204,1130;
398,7,2564,1149,1544;
141,2,1515,1176,758;
142,2,14285,16666,8265;
341,6,1298,3333,2128;
342,6,7142,1265,5877;
143,2,6666,1818,4855;
399,7,1282,2777,1651;
343,6,2631,1724,1359;
144,2,1492,1612,817;
145,2,4000,2777,2029;
1818,11111,9293;
146,2,7142,3448,4151;
344,6,1369,1265,688;
345,6,5263,1923,3446;
147,2,1333,2000,1029;
148,2,1694,2702,1422;
346,6,1190,1785,919;
149,2,2941,2272,1463;
347,6,1030,1315,647;
348,6,2272,3030,1527;
4545,7142,3709;
349,6,4347,100000,95653;
215,4,3125,2173,1593;
216,4,1041,1000,528;
217,4,5000,2500,2875;
218,4,2127,2564,1276;
219,4,3571,1333,2317;
220,4,3448,1123,2357;
221,4,50000,2380,47620;
1234,11111,9877;
222,4,3030,1754,1631;
223,4,11111,1219,9892;
224,4,33333,10000,23472;
225,4,4347,2173,2501;
226,4,3846,2500,1999;
227,4,1052,5882,4830;
228,4,1162,1149,614;
229,4,2857,7142,4503;
230,4,1960,1204,1038;
231,4,1724,7692,5968;
232,4,2702,1219,1627;
233,4,3225,1075,2185;
234,4,16666,3846,12820;
235,4,1333,3703,2436;
236,4,2083,1063,1186;
237,4,1960,1265,1022;
238,4,1408,2173,1134;
239,4,1562,2000,1007;
240,4,1298,1960,1023;
241,4,2439,1470,1292;
242,4,1724,4166,2589;
243,4,1428,33333,31905;
244,4,3571,1538,2183;
245,4,3448,33333,29885;
246,4,1562,100000,98438;
2
