RANDOM SEQUENCES
n,threadId,lengthS,lengthT,MinCost;
155,6,1035,3846,2813;
28,1,1035,1162,582;
180,7,1035,2040,1181;
103,4,1035,1851,1026;
5,0,1035,2040,1171;
156,6,1035,1785,980;
29,1,1035,1282,638;
104,4,1035,4761,3726;
129,5,1035,2439,1501;
181,7,1035,1515,784;
105,4,1035,1694,900;
157,6,1035,1388,702;
130,5,1035,1428,721;
182,7,1035,2173,1281;
30,1,1035,2083,1214;
106,4,1035,2500,1560;
131,5,1035,2941,1957;
31,1,1035,1639,867;
32,1,1035,3225,2223;
132,5,1035,5263,4228;
158,6,1035,1086,547;
33,1,1035,9090,8055;
6,0,1035,1388,688;
133,5,1035,1010,536;
7,0,1035,20000,18965;
51,2,1035,20000,18965;
79,3,1035,7692,6657;
183,7,1035,2040,1165;
34,1,1035,1063,549;
8,0,1035,1098,563;
184,7,1035,1449,741;
80,3,1035,1190,590;
9,0,1035,1492,762;
185,7,1035,1265,634;
10,0,1035,4166,3131;
52,2,1035,4000,2966;
159,6,1035,3448,2431;
35,1,1035,2777,1799;
81,3,1035,1162,598;
53,2,1035,1470,760;
11,0,1035,1030,540;
36,1,1035,11111,10076;
107,4,1035,5882,4847;
134,5,1035,1052,546;
82,3,1035,1052,568;
12,0,1035,2857,1876;
186,7,1035,2857,1881;
54,2,1035,2857,1874;
160,6,1035,2127,1238;
135,5,1035,1724,934;
187,7,1035,2040,1168;
13,0,1035,3571,2544;
83,3,1035,3448,2432;
108,4,1035,1162,589;
161,6,1035,2040,1162;
55,2,1035,4166,3131;
37,1,1035,1562,810;
84,3,1035,1149,572;
56,2,1035,2702,1734;
188,7,1035,3571,2548;
136,5,1035,3703,2677;
14,0,1035,1111,579;
189,7,1035,3225,2225;
109,4,1035,1265,633;
137,5,1035,2439,1508;
85,3,1035,2173,1273;
57,2,1035,1449,735;
110,4,1035,1136,574;
86,3,1035,1960,1101;
15,0,1035,1538,790;
58,2,1035,1515,779;
138,5,1035,3571,2549;
38,1,1035,1204,604;
87,3,1035,1204,599;
16,0,1035,1298,635;
139,5,1035,1587,832;
59,2,1035,2631,1664;
111,4,1035,1204,606;
140,5,1035,1470,737;
60,2,1035,2857,1868;
88,3,1035,1265,633;
61,2,1035,1923,1075;
141,5,1035,2631,1675;
