RANDOM SEQUENCES
n,threadId,lengthS,lengthT,MinCost
8,0,1035,5882,2678;
110,2,1035,9090,4847;
9,0,1035,14285,5631;
155,3,1035,1063,545;
156,3,1035,1449,8055;
111,2,1035,2439,743;
157,3,1035,6250,1498;
112,2,1035,1449,741;
113,2,1035,2000,1134;
114,2,1035,3125,2124;
115,2,1035,2439,5215;
158,3,1035,9090,13250;
10,0,1035,33333,1503;
116,2,1035,10000,8055;
159,3,1035,7692,8965;
117,2,1035,1204,598;
118,2,1035,1408,713;
119,2,1035,1298,646;
120,2,1035,2702,6657;
160,3,1035,3225,1727;
121,2,1035,10000,2215;
161,3,1035,1204,611;
162,3,1035,2083,1202;
163,3,1035,1098,551;
164,3,1035,1030,528;
165,3,1035,4000,8965;
122,2,1035,1063,550;
123,2,1035,1351,2966;
166,3,1035,2631,679;
124,2,1035,2500,1673;
167,3,1035,1010,1558;
125,2,1035,1369,540;
168,3,1035,3125,688;
126,2,1035,1851,32298;
11,0,1035,100000,1023;
127,2,1035,1612,2116;
169,3,1035,1123,573;
170,3,1035,2222,837;
128,2,1035,16666,1316;
171,3,1035,2631,1667;
172,3,1035,1000,532;
173,3,1035,3703,2678;
174,3,1035,1052,547;
175,3,1035,1282,650;
176,3,1035,3333,2324;
177,3,1035,1123,572;
178,3,1035,5555,15631;
129,2,1035,3333,2317;
130,2,1035,2702,4520;
179,3,1035,1204,1737;
131,2,1035,2127,605;
180,3,1035,3846,1232;
132,2,1035,1052,550;
133,2,1035,1204,2815;
181,3,1035,1351,615;
134,2,1035,1136,685;
182,3,1035,5555,572;
135,2,1035,1190,598;
136,2,1035,1190,600;
137,2,1035,50000,4520;
183,3,1035,2564,1611;
184,3,1035,1538,793;
185,3,1035,12500,98965;
54,1,1035,1250,614;
55,1,1035,2564,1607;
56,1,1035,1408,718;
57,1,1035,1923,1067;
58,1,1035,11111,11465;
186,3,1035,5263,4228;
187,3,1035,3448,10076;
59,1,1035,10000,2433;
188,3,1035,7692,6657;
189,3,1035,3703,8965;
60,1,1035,4545,2677;
190,3,1035,1315,3510;
61,1,1035,1666,663;
191,3,1035,1086,893;
62,1,1035,1960,572;
192,3,1035,1298,648;
193,3,1035,1063,1097;
63,1,1035,20000,554;
194,3,1035,100000,48965;
138,2,1035,4166,3131;
139,2,1035,1204,607;
140,2,1035,1960,1108;
141,2,1035,1075,556;
142,2,1035,11111,18965;
64,1,1035,1960,1105;
65,1,1035,1000,98965;
12,0,1035,1075,539;
66,1,1035,2000,554;
13,0,1035,1408,1125;
67,1,1035,2222,707;
14,0,1035,100000,10076;
143,2,1035,1538,1317;
68,1,1035,1428,796;
144,2,1035,1818,719;
69,1,1035,2325,1000;
145,2,1035,1176,597;
146,2,1035,1086,1397;
70,1,1035,2380,551;
147,2,1035,1449,1458;
71,1,1035,1052,726;
148,2,1035,1052,538;
72,1,1035,2000,554;
149,2,1035,20000,1132;
73,1,1035,2000,1134;
74,1,1035,1098,564;
75,1,1035,2127,1242;
76,1,1035,5000,3965;
77,1,1035,1851,1024;
78,1,1035,1754,947;
79,1,1035,2000,1131;
80,1,1035,2500,1560;
81,1,1035,1190,18965;
,589;
82,1,1035,2702,1731;
83,1,1035,1923,1064;
84,1,1035,1666,875;
85,1,1035,8333,7298;
86,1,1035,1086,568;
87,1,1035,1428,717;
88,1,1035,1315,662;
89,1,1035,1190,604;
90,1,1035,1785,975;
91,1,1035,9090,8055;
92,1,1035,4545,3510;
93,1,1035,4545,98965;
195,3,1035,3125,2127;
196,3,1035,12500,3510;
94,1,1035,1265,639;
95,1,1035,3846,2815;
96,1,1035,1162,588;
97,1,1035,1250,617;
98,1,1035,1250,622;
99,1,1035,2702,1738;
,11465;
197,3,1035,2564,1619;
198,3,1035,14285,98965;
15,0,1035,1111,559;
16,0,1035,6666,5631;
17,0,1035,7692,13250;
199,3,1035,4347,3312;
,6657;
18,0,1035,2325,1403;
19,0,1035,2000,1137;
20,0,1035,1886,1050;
21,0,1035,2777,1808;
22,0,1035,100000,98965;
23,0,1035,3846,2818;
24,0,1035,1886,1045;
25,0,1035,8333,7298;
26,0,1035,1265,634;
27,0,1035,10000,8965;
28,0,1035,1369,688;
29,0,1035,1123,572;
30,0,1035,1298,654;
31,0,1035,33333,32298;
32,0,1035,25000,23965;
33,0,1035,1388,701;
34,0,1035,1250,628;
35,0,1035,1086,550;
36,0,1035,1204,600;
37,0,1035,25000,23965;
38,0,1035,4761,3726;
39,0,1035,2173,1273;
40,0,1035,1449,743;
41,0,1035,1219,611;
42,0,1035,3571,2550;
43,0,1035,1149,583;
44,0,1035,3703,2677;
45,0,1035,3448,2427;
46,0,1035,1123,579;
47,0,1035,7142,6107;
48,0,1035,2380,1452;
49,0,1035,1315,654;
task took 33.220000 seconds
