RANDOM SEQUENCES
n,threadId,lengthS,lengthT,MinCost
118,0,3225,25000,21775;
312,1,25000,1449,23551;
313,1,1369,20000,18631;
314,1,5882,4545,2903;
315,1,1063,1176,607;
316,1,2222,1785,1113;
317,1,1204,33333,32129;
318,1,1010,2173,1286;
319,1,33333,5555,27778;
119,0,2127,4166,2374;
120,0,1020,12500,11480;
121,0,1282,1960,1027;
122,0,2127,3703,2024;
123,0,1538,1176,769;
124,0,1408,1612,815;
125,0,1562,1190,779;
126,0,1724,1369,866;
127,0,1351,1639,803;
128,0,1111,3448,2368;
129,0,1818,3448,1931;
130,0,1612,1265,797;
131,0,7142,1470,5672;
132,0,1639,1162,850;
133,0,2272,2857,1416;
134,0,1265,1020,632;
135,0,1075,20000,18925;
136,0,1470,1333,741;
137,0,1176,2439,1424;
138,0,1785,100000,98215;
320,1,1075,2631,1647;
321,1,1123,12500,11377;
322,1,2222,2272,1164;
323,1,5263,3448,2731;
324,1,1612,3225,1859;
325,1,2173,1315,1167;
326,1,2777,1190,1713;
327,1,1587,8333,6746;
328,1,2272,4545,2612;
329,1,1020,12500,11480;
330,1,9090,5263,4904;
331,1,5000,1470,3549;
332,1,3571,3125,1785;
333,1,6250,33333,27083;
139,0,1265,2941,1797;
140,0,1587,9090,7503;
334,1,1351,2000,1023;
335,1,2380,1123,1404;
336,1,1111,1204,621;
337,1,7142,4545,3723;
141,0,12500,1333,11167;
142,0,33333,1388,31945;
338,1,1149,1492,745;
339,1,1052,4000,2951;
340,1,14285,1020,13265;
341,1,2083,3571,1934;
342,1,33333,1075,32258;
143,0,2272,1369,1219;
343,1,1515,1176,749;
344,1,3225,1351,2005;
144,0,2380,1041,1449;
145,0,4545,2631,2459;
345,1,3125,5555,3048;
346,1,5882,1086,4796;
347,1,5000,1041,3959;
348,1,1538,25000,23462;
146,0,1190,8333,7143;
147,0,5263,1176,4087;
148,0,2564,1538,1375;
149,0,1010,1785,991;
150,0,4761,6666,3361;
151,0,1250,1449,725;
152,0,1960,4761,2975;
153,0,1333,1086,670;
154,0,1369,3846,2551;
155,0,1010,2941,1973;
156,0,6666,1369,5297;
157,0,25000,2702,22298;
158,0,1351,1694,848;
159,0,1010,1562,823;
160,0,14285,11111,7095;
349,1,5000,1123,3877;
161,0,1123,1265,634;
162,0,3703,1020,2690;
163,0,1204,1219,635;
164,0,1030,20000,18970;
165,0,16666,1020,15646;
166,0,2127,2857,1440;
167,0,25000,2173,22827;
350,1,2702,1492,1493;
351,1,1234,4761,3531;
168,0,1063,1960,1090;
169,0,1204,1204,628;
170,0,1219,3846,2658;
171,0,3703,2564,1880;
352,1,1639,1020,863;
353,1,1149,10000,8851;
