RANDOM SEQUENCES
n,threadId,lengthS,lengthT,MinCost;
143,11,78,6,13,1,130,10,104,8,52,4,195,15,182,14,280,22,117,9,169,13,39,3,268,21,256,20,26,2,376,30,220,17,232,18,328,26,304,24,388,31,352,28,244,19,208,16,65,5,0,0,156,12,91,7,340,27,364,29,316,25,292,23,1149,1075,582;
131,10,1030,1219,621;
365,29,1190,1149,603;
144,11,1086,1234,617;
157,12,1098,1666,859;
196,15,1063,1754,937;
329,26,1428,1470,762;
233,18,1587,1408,793;
341,27,1754,1351,881;
92,7,1063,2777,1772;
14,1,1111,1754,918;
145,11,1176,2631,1579;
245,19,2173,1282,1174;
132,10,1369,2702,1548;
118,9,1204,3225,2085;
269,21,1470,2777,1562;
27,2,1010,4000,2993;
209,16,1176,3571,2433;
293,23,3333,1351,2088;
389,31,1369,1123,700;
246,19,1149,2272,1304;
342,27,1470,3333,2022;
40,3,2173,1818,1095;
158,12,1098,1265,635;
119,9,1587,3571,2153;
53,4,1562,3703,2294;
183,14,1010,2380,1466;
210,16,5555,1052,4503;
366,29,1176,1298,651;
343,27,1587,4166,2681;
257,20,2380,1176,1374;
294,23,1562,2500,1323;
133,10,1851,1098,1001;
159,12,4347,1694,2769;
221,17,1204,1538,779;
184,14,1075,1123,574;
367,29,1282,6250,4968;
79,6,1063,5882,4819;
234,18,1162,1388,701;
211,16,1190,2380,1370;
54,4,1408,2631,1470;
247,19,6250,1408,4842;
66,5,2000,4545,2752;
105,8,1162,1408,703;
160,12,2439,3703,1920;
281,22,1724,2272,1152;
41,3,1369,1098,680;
368,29,6250,1333,4917;
197,15,1666,1086,870;
42,3,2380,4000,2155;
330,26,1851,2564,1308;
344,27,1086,2777,1766;
248,19,1063,1851,1014;
369,29,1063,3225,2201;
212,16,3333,2272,1690;
270,21,2222,1041,1319;
198,15,8333,1449,6884;
170,13,1063,1020,555;
213,16,1000,1886,1054;
43,3,1162,1063,580;
271,21,1587,3703,2272;
134,10,1960,2564,1280;
67,5,3448,1562,2055;
106,8,1098,1538,783;
44,3,1351,1470,751;
272,21,10000,1176,8824;
28,2,1694,5263,3612;
258,20,6250,1351,4899;
235,18,3225,1086,2175;
135,10,7142,1111,6031;
282,22,1086,5000,3914;
171,13,1075,5882,4807;
345,27,4347,2083,2548;
55,4,6666,1923,4762;
120,9,1315,2631,1502;
273,21,2564,4347,2353;
185,14,3703,1369,2407;
68,5,5263,2083,3320;
80,6,1694,1351,854;
236,18,10000,1754,8246;
93,7,8333,2325,6020;
305,24,1063,1315,658;
186,14,1612,8333,6721;
222,17,1538,1234,759;
69,5,1449,1428,746;
237,18,2439,4166,2256;
249,19,1086,2777,1779;
81,6,1666,1298,829;
187,14,1428,1098,716;
238,18,1075,1250,628;
250,19,4545,5000,2513;
353,28,2777,3030,1521;
107,8,2000,4166,2434;
259,20,3571,1234,2381;
306,24,1265,1315,657;
108,8,1408,1333,723;
354,28,1315,5882,4567;
274,21,1162,1492,763;
355,28,1666,1204,846;
109,8,1282,2500,1416;
260,20,4761,3030,2474;
214,16,1098,1388,695;
275,21,1851,4545,2850;
94,7,9090,1098,7992;
121,9,7142,3703,4032;
1,0,6250,1428,4822;
223,17,2040,1470,1048;
261,20,1612,1219,807;
2,0,1123,7692,6569;
188,14,3846,1098,2761;
110,8,1041,3571,2545;
215,16,1176,1587,808;
224,17,1492,3333,2019;
276,21,8333,2564,5818;
331,26,2500,5882,3618;
56,4,2500,2272,1248;
95,7,1351,2222,1196;
3,0,2564,1204,1506;
189,14,2702,1587,1454;
262,20,2631,6666,4215;
346,27,1351,25000,23649;
146,11,2040,1428,1035;
57,4,2127,1162,1179;
4,0,2777,5263,2960;
82,6,1851,11111,9260;
136,10,1851,2040,1025;
96,7,6250,1000,5250;
277,21,2941,2500,1476;
111,8,1149,1886,999;
137,10,2083,1694,1048;
147,11,2702,1315,1566;
58,4,1111,2222,1285;
83,6,7692,3448,4630;
199,15,1724,6666,4944;
122,9,12500,1851,10649;
172,13,1176,1351,680;
112,8,1408,4347,2979;
347,27,1492,1724,862;
278,21,1666,1052,874;
200,15,2631,12500,9869;
161,12,1250,1052,618;
348,27,1111,2631,1624;
148,11,4347,2380,2401;
225,17,3333,1408,2056;
97,7,1428,2222,1163;
173,13,2380,1492,1250;
123,9,1960,1063,1094;
349,27,2222,1694,1120;
279,21,1538,3030,1730;
113,8,2631,2325,1324;
59,4,2222,4166,2325;
5,0,1000,1724,939;
350,27,2222,2272,1169;
201,15,2000,2083,1071;
98,7,1176,6666,5490;
138,10,1052,1428,723;
351,27,16666,2222,14444;
370,29,1369,1612,805;
99,7,2702,2439,1356;
226,17,1041,1162,584;
371,29,1562,1515,806;
139,10,1098,3571,2499;
60,4,6666,3846,3611;
239,18,4761,4545,2422;
356,28,5882,1408,4474;
162,12,1886,2040,1038;
6,0,2439,1075,1479;
2083,2702,1354;
1190,1369,679;
240,18,2702,1851,1392;
202,15,1785,1515,886;
372,29,1694,1694,899;
140,10,1818,1785,941;
61,4,1298,2325,1286;
7,0,2500,1111,1509;
203,15,14285,2380,11905;
70,5,3333,1515,1995;
357,28,1515,1351,752;
8,0,1204,1851,962;
62,4,2272,10000,7728;
332,26,3225,1041,2213;
141,10,5263,1219,4044;
163,12,3703,3703,1926;
149,11,1219,1612,810;
9,0,1298,33333,32035;
45,3,2127,1149,1194;
71,5,14285,1000,13285;
174,13,3333,2564,1644;
227,17,1694,1250,858;
164,12,1408,2857,1653;
204,15,2564,1333,1451;
333,26,1086,1234,623;
228,17,2702,1111,1684;
10,0,1515,1075,771;
205,15,1190,4347,3161;
63,4,1098,1449,730;
334,26,1162,4347,3189;
150,11,2173,2083,1124;
72,5,1538,25000,23462;
307,24,1204,1369,681;
64,4,1041,3571,2541;
165,12,2857,5882,3428;
114,8,1020,1470,756;
11,0,14285,3846,10451;
295,23,1162,3125,2029;
229,17,2439,1351,1344;
206,15,1515,1219,761;
115,8,16666,3846,12820;
317,25,1388,1694,831;
230,17,2040,1000,1182;
207,15,4347,5882,2927;
84,6,1149,3846,2713;
151,11,1219,2564,1506;
12,0,3125,4761,2455;
241,18,1639,2857,1559;
296,23,1030,5882,4852;
1282,1492,747;
152,11,4545,2777,2409;
142,10,4761,1694,3144;
335,26,1086,1086,580;
153,11,2272,1204,1275;
242,18,2777,1333,1632;
1136,1041,576;
243,18,1408,50000,48592;
15,1,1960,3846,2196;
318,25,5263,1333,3933;
85,6,1369,3448,2176;
3571,16666,13095;
29,2,1052,9090,8038;
8333,2777,5640;
373,29,2380,2325,1208;
7142,2631,4653;
46,3,1282,9090,7808;
231,17,1639,1470,827;
374,29,2631,2380,1323;
86,6,1250,2040,1080;
375,29,1960,2040,1047;
2500,5000,2867;
154,11,1960,25000,23040;
190,14,2000,2325,1173;
87,6,1785,16666,14881;
358,28,2857,5263,2925;
336,26,3571,10000,6600;
100,7,2564,9090,6542;
308,24,1250,1369,707;
101,7,3333,3030,1667;
47,3,1960,1333,1007;
309,24,1234,3571,2387;
88,6,1234,1923,1005;
48,3,4761,5263,2632;
116,8,1369,1190,678;
49,3,4166,1960,2449;
359,28,3448,1388,2165;
12500,5555,7522;
251,19,6666,1492,5174;
102,7,1351,50000,48649;
216,16,4166,1136,3039;
360,28,3703,6250,3331;
30,2,10000,1388,8612;
337,26,4347,3448,2176;
191,14,1030,1190,591;
217,16,1190,1886,995;
103,7,4761,2173,2844;
89,6,1818,1098,971;
361,28,1388,6666,5278;
50,3,7692,7142,3844;
124,9,1818,1960,1004;
218,16,1123,3030,1977;
362,28,12500,2439,10061;
16,1,3571,10000,6590;
297,23,1333,1136,673;
219,16,1265,1851,961;
363,28,1298,1369,703;
2631,7692,5151;
310,24,3448,7692,4614;
155,11,10000,1052,8948;
3333,33333,30000;
377,30,1538,1075,786;
2564,2777,1398;
298,23,7692,1562,6130;
90,6,9090,1219,7871;
51,3,5882,2222,3793;
192,14,1136,1041,581;
378,30,1388,1176,690;
1515,1333,753;
1515,2380,1237;
299,23,1612,1694,867;
193,14,1041,1562,799;
194,14,2127,1388,1115;
300,23,1923,9090,7167;
125,9,3448,1369,2175;
9090,1408,7682;
311,24,1250,1123,631;
312,24,1818,50000,48182;
263,20,100000,1234,98766;
390,31,1492,1449,771;
313,24,2272,11111,8839;
17,1,4166,1075,3091;
391,31,5263,2564,3064;
379,30,1851,1315,956;
18,1,1010,2380,1462;
380,30,1136,1315,662;
19,1,1098,1785,947;
381,30,1111,1724,906;
20,1,1149,1754,910;
382,30,1587,1234,801;
21,1,1923,1204,1022;
22,1,1204,50000,48796;
2083,1075,1178;
23,1,1408,12500,11092;
314,24,1388,33333,31945;
252,19,1265,1818,929;
315,24,3448,1666,2013;
24,1,1111,3571,2487;
253,19,2040,1428,1042;
25,1,33333,1052,32281;
301,23,4347,1694,2779;
11111,7142,5779;
319,25,1587,4545,3025;
1449,3125,1852;
320,25,1282,1250,657;
321,25,2631,1010,1693;
322,25,14285,1020,13265;
302,23,1785,10000,8215;
254,19,4000,1086,2918;
323,25,1063,3703,2654;
303,23,33333,1298,32035;
392,31,1639,3225,1842;
255,19,2173,1785,1070;
2127,25000,22873;
264,20,1785,3846,2288;
265,20,5000,2083,3102;
393,31,3030,1250,1881;
394,31,1562,12500,10938;
324,25,2000,1369,1018;
395,31,14285,1282,13003;
1351,2631,1495;
325,25,1111,1886,1016;
326,25,1408,1190,697;
327,25,4761,1388,3391;
396,31,1960,5000,3179;
397,31,3125,1724,1733;
398,31,1176,2083,1143;
399,31,9090,16666,9218;
166,12,1666,50000,48334;
383,30,1052,2000,1120;
384,30,1724,25000,23276;
1098,50000,48902;
266,20,1123,20000,18877;
167,12,1562,1265,779;
267,20,1724,1515,854;
168,12,2702,4347,2290;
50000,4761,45239;
283,22,1666,9090,7424;
14285,3125,11160;
3703,4000,2012;
284,22,33333,5263,28070;
31,2,100000,2272,97728;
175,13,1612,2702,1448;
32,2,1010,3333,2338;
33,2,100000,2000,98000;
338,26,
