RANDOM SEQUENCES
n,threadId,lengthS,lengthT,MinCost;
0,0,200,2,100,1,300,3,1190,1149,613;
1,0,1030,1587,829;
2,0,1333,1075,673;
3,0,4000,1470,2612;
101,1,7142,1041,6101;
201,2,2000,1075,1126;
102,1,1149,1234,618;
202,2,1315,2564,1453;
203,2,2173,6666,4558;
301,3,1724,1639,891;
204,2,2941,2777,1486;
103,1,1818,1315,929;
104,1,2631,1587,1406;
105,1,9090,2702,6422;
302,3,1041,2272,1351;
303,3,1851,1666,938;
304,3,1298,16666,15368;
106,1,1030,9090,8060;
305,3,1515,11111,9596;
107,1,1562,2857,1592;
108,1,2777,1136,1733;
109,1,1190,1587,801;
110,1,25000,2631,22369;
205,2,1754,5263,3568;
111,1,1694,10000,8306;
112,1,1000,1666,879;
113,1,6666,1020,5646;
114,1,1538,1666,840;
115,1,1694,1960,984;
116,1,5555,7692,3867;
206,2,1123,1666,856;
207,2,2500,1315,1407;
208,2,1086,2631,1645;
209,2,1298,20000,18702;
117,1,14285,1020,13265;
210,2,1010,1265,637;
211,2,1886,1562,953;
118,1,1041,1234,625;
119,1,1515,4000,2579;
212,2,1515,1351,771;
213,2,1020,1086,563;
214,2,1204,1176,631;
215,2,3125,1010,2141;
216,2,5882,2222,3799;
120,1,2083,1282,1096;
121,1,1190,7692,6502;
217,2,3030,1960,1583;
122,1,1086,7142,6056;
123,1,1086,1149,576;
124,1,3225,2222,1655;
125,1,4000,1219,2803;
126,1,25000,1754,23246;
127,1,3225,1234,2065;
128,1,1515,1086,768;
129,1,1315,5882,4567;
130,1,1123,3333,2250;
131,1,4166,1818,2535;
132,1,1219,1219,641;
133,1,5555,16666,11285;
218,2,20000,12500,10465;
4,0,33333,6666,26667;
306,3,2272,6250,4099;
5,0,1694,2222,1118;
6,0,2173,1086,1257;
7,0,2941,3703,1826;
307,3,1020,1075,540;
308,3,3125,1369,1897;
8,0,1562,1282,772;
309,3,1851,1515,938;
310,3,1612,4761,3206;
9,0,1562,2631,1406;
10,0,1612,1449,810;
11,0,2083,1428,1074;
12,0,1639,1428,830;
13,0,33333,1515,31818;
219,2,33333,1562,31771;
134,1,1923,1851,989;
14,0,1315,1923,987;
220,2,6250,3125,3581;
311,3,2564,1111,1571;
221,2,2000,2439,1222;
135,1,1851,1190,960;
136,1,1754,4347,2734;
312,3,1388,2272,1212;
137,1,1123,2000,1091;
138,1,8333,1315,7018;
222,2,2083,1052,1195;
223,2,1333,1086,672;
224,2,5555,2325,3431;
139,1,1587,1190,793;
140,1,3333,3846,1938;
225,2,20000,1587,18413;
15,0,1612,1851,917;
226,2,1351,3125,1910;
16,0,1149,2272,1294;
17,0,1449,11111,9662;
141,1,1785,3225,1777;
18,0,1612,1785,869;
142,1,20000,1851,18149;
227,2,1315,20000,18685;
143,1,2941,2564,1476;
144,1,1449,5555,4111;
145,1,3703,11111,7522;
228,2,5263,1250,4013;
229,2,1265,3333,2150;
230,2,1639,50000,48361;
19,0,1010,2564,1630;
231,2,2564,3846,1988;
20,0,1428,14285,12857;
232,2,1449,4166,2775;
233,2,1234,2439,1406;
234,2,3571,2777,1761;
235,2,4545,6666,3417;
21,0,4166,2173,2361;
22,0,8333,1960,6373;
236,2,1162,5000,3838;
23,0,1587,2040,1025;
237,2,2272,1098,1327;
238,2,1010,8333,7323;
24,0,1063,9090,8027;
25,0,2000,1886,1006;
26,0,2857,1063,1864;
27,0,2777,11111,8334;
28,0,2272,1020,1371;
29,0,33333,1754,31579;
239,2,1428,2439,1314;
30,0,1204,1123,605;
31,0,1176,3448,2315;
240,2,3448,1265,2255;
32,0,2439,2380,1270;
241,2,2380,1123,1416;
242,2,1785,100000,98215;
146,1,4000,1562,2545;
243,2,3448,1000,2462;
147,1,2857,3030,1537;
148,1,6666,2380,4400;
244,2,2083,2040,1079;
245,2,1075,9090,8015;
149,1,1538,1265,776;
246,2,1123,9090,7967;
150,1,1190,1538,760;
151,1,3448,2000,1865;
152,1,1639,1250,822;
153,1,16666,3333,13333;
33,0,1000,5882,4882;
34,0,1075,4761,3686;
35,0,20000,1754,18246;
247,2,1020,33333,32313;
36,0,1515,2500,1338;
37,0,2777,7142,4547;
38,0,2631,25000,22369;
248,2,9090,1369,7721;
39,0,2941,2702,1460;
249,2,2000,1694,999;
250,2,12500,1075,11425;
40,0,1204,1754,915;
41,0,11111,1639,9472;
42,0,1234,1724,877;
43,0,1010,7692,6682;
44,0,1538,1587,813;
45,0,4545,10000,5983;
251,2,1818,1449,906;
252,2,25000,1020,23980;
46,0,1886,14285,12399;
253,2,1298,2564,1476;
254,2,1388,5555,4167;
255,2,1333,4545,3234;
256,2,1470,10000,8530;
257,2,9090,4761,5110;
47,0,1000,1075,551;
48,0,2325,1818,1162;
258,2,1785,1515,883;
259,2,2702,1369,1547;
260,2,1724,6250,4538;
49,0,1923,2857,1465;
50,0,2083,1785,1040;
51,0,12500,1204,11296;
52,0,1818,1075,980;
53,0,1190,2777,1706;
54,0,1369,1000,691;
55,0,3703,10000,6499;
261,2,1282,1086,647;
262,2,14285,3333,10952;
263,2,1010,4347,3337;
264,2,3571,2631,1786;
265,2,5555,12500,7547;
56,0,1333,7142,5809;
266,2,1098,1162,594;
267,2,2857,1470,1624;
268,2,1333,1010,675;
269,2,1010,3703,2701;
270,2,4000,7142,3901;
57,0,1754,2857,1499;
58,0,1315,1052,655;
59,0,50000,1052,48948;
271,2,1428,4000,2645;
272,2,9090,6250,4632;
60,0,1298,2000,1040;
61,0,14285,50000,35824;
313,3,50000,8333,41667;
154,1,4347,1219,3140;
155,1,2857,2564,1437;
314,3,1149,1063,568;
156,1,1265,1492,736;
157,1,3125,4166,2081;
62,0,1149,4761,3612;
63,0,1219,1265,652;
64,0,1136,1123,584;
65,0,1030,2040,1170;
66,0,3333,1666,1914;
67,0,2000,1234,1059;
68,0,1666,16666,15000;
315,3,1886,2439,1221;
316,3,7692,3571,4563;
317,3,1136,9090,7954;
318,3,5000,2439,2902;
319,3,4761,14285,9664;
69,0,1388,100000,98612;
273,2,1282,1754,886;
274,2,12500,1265,11235;
70,0,1020,1149,584;
71,0,5263,2083,3331;
72,0,1041,1428,731;
73,0,14285,1515,12770;
275,2,1470,1666,823;
276,2,1851,1886,969;
74,0,2272,20000,17728;
320,3,1250,3571,2385;
277,2,1587,2631,1399;
321,3,11111,1428,9683;
75,0,11111,2631,8480;
322,3,6250,10000,5242;
278,2,1470,1149,737;
279,2,2127,2040,1086;
280,2,1492,8333,6841;
281,2,2702,20000,17298;
323,3,1204,1639,820;
324,3,1960,1492,970;
325,3,2000,1470,1004;
326,3,5263,1333,3932;
327,3,1694,1075,882;
328,3,1162,1000,575;
329,3,4761,3030,2484;
330,3,16666,2777,13889;
282,2,1075,10000,8925;
331,3,1041,1785,978;
332,3,4545,1562,3040;
333,3,2702,1408,1529;
334,3,1136,1204,615;
335,3,1960,8333,6373;
283,2,1204,1785,920;
336,3,3333,1010,2346;
284,2,6666,5263,3298;
285,2,9090,7142,4512;
337,3,1960,7692,5733;
338,3,1149,1492,752;
339,3,1315,12500,11185;
340,3,1030,5882,4852;
341,3,1190,25000,23810;
342,3,1492,1960,988;
343,3,1538,1075,789;
344,3,5263,1010,4253;
345,3,1666,1388,835;
346,3,1298,4545,3262;
