RANDOM SEQUENCES
n,threadId,lengthS,lengthT,MinCost;
347,3,1149,1923,1030;
348,3,1123,1000,573;
349,3,2777,1449,1565;
350,3,2127,1428,1095;
351,3,1851,1000,1035;
352,3,1250,5263,4013;
353,3,2631,1149,1601;
354,3,1694,3571,2094;
355,3,1219,33333,32114;
356,3,5263,100000,94737;
158,1,1851,2702,1376;
357,3,1562,2272,1160;
358,3,1020,1694,915;
359,3,1639,11111,9472;
360,3,1136,1639,841;
361,3,9090,1123,7967;
362,3,50000,1333,48667;
159,1,8333,1219,7114;
160,1,4000,2272,2191;
161,1,2325,2380,1204;
162,1,1219,3030,1899;
163,1,1754,50000,48246;
363,3,2777,1052,1792;
364,3,1063,1538,782;
365,3,1052,1030,553;
366,3,1818,33333,31515;
164,1,1724,5263,3587;
165,1,1408,1886,954;
166,1,1111,1639,843;
167,1,2777,14285,11508;
367,3,2439,1694,1244;
168,1,1149,1369,681;
169,1,3125,1851,1674;
170,1,2564,2702,1381;
171,1,2325,11111,8786;
368,3,2272,1960,1127;
369,3,1111,2941,1910;
370,3,2222,1265,1217;
371,3,1162,2272,1300;
372,3,4000,2439,2124;
373,3,50000,12500,37500;
76,0,1234,1190,646;
77,0,3225,1851,1746;
78,0,2380,4347,2408;
79,0,1612,11111,9499;
80,0,14285,1515,12770;
81,0,2222,50000,47778;
374,3,1000,1000,518;
375,3,9090,1282,7808;
376,3,2564,8333,5816;
377,3,3571,1333,2312;
378,3,1176,50000,48824;
379,3,1098,1162,601;
380,3,1886,3846,2236;
381,3,1785,1030,966;
382,3,3448,1030,2435;
383,3,1020,2439,1511;
384,3,50000,12500,37500;
286,2,100000,1388,98612;
82,0,2631,1492,1431;
287,2,1234,3448,2267;
83,0,1190,1754,908;
84,0,1149,4347,3201;
288,2,1639,1098,848;
289,2,4166,1000,3166;
290,2,33333,1587,31746;
385,3,3125,11111,8003;
291,2,1315,2380,1315;
292,2,11111,4166,7182;
85,0,2222,11111,8889;
386,3,5263,3448,2714;
387,3,2941,2631,1448;
388,3,2500,1388,1383;
389,3,1149,1724,892;
390,3,14285,3225,11060;
293,2,1282,1562,780;
391,3,1282,3703,2474;
392,3,100000,4166,95834;
172,1,9090,3333,5931;
393,3,3846,7692,4404;
173,1,2702,25000,22298;
294,2,1449,2941,1700;
174,1,33333,1000,32333;
394,3,1886,1333,966;
175,1,4761,25000,20239;
86,0,2380,1724,1211;
395,3,1666,1204,857;
87,0,1960,1470,988;
396,3,1851,1408,929;
397,3,9090,1851,7239;
295,2,1960,1250,1031;
296,2,7692,1250,6442;
398,3,2631,1315,1520;
399,3,2777,2941,1499;
297,2,1123,1282,635;
1785,25000,23215;
88,0,3571,1470,2235;
89,0,2127,1052,1228;
90,0,1298,2777,1641;
91,0,2439,2500,1297;
92,0,1149,4761,3612;
93,0,5555,2439,3367;
94,0,1449,1041,732;
95,0,12500,5555,7525;
298,2,1265,1111,643;
299,2,3225,1694,1828;
50000,2325,47675;
176,1,1351,1694,847;
177,1,5555,3571,2896;
178,1,2439,5263,3128;
179,1,1351,1562,791;
180,1,8333,1098,7235;
181,1,1219,1785,912;
182,1,7692,12500,6565;
96,0,1408,7142,5734;
97,0,1063,4166,3106;
98,0,1098,1851,987;
99,0,1408,3333,2058;
3571,33333,29762;
183,1,1086,2702,1707;
184,1,1492,4347,2919;
185,1,1298,5263,3965;
186,1,12500,4761,8028;
187,1,1923,2173,1091;
188,1,1282,1020,634;
189,1,12500,2272,10228;
190,1,5263,1190,4073;
191,1,3225,1162,2129;
192,1,1098,4347,3249;
193,1,6666,1724,4945;
194,1,4000,25000,21000;
195,1,2083,2702,1342;
196,1,1388,1960,995;
197,1,1010,2173,1287;
198,1,8333,2564,5809;
199,1,5263,16666,11523;
task took 228.970000 seconds
----------------
COMPARE SET SEQUENCE WITH RANDOM SEQUENCES
n,threadId,lengthS,lengthT,MinCost;
200,2,300,3,0,0,100,1,1035,1020,538;
201,2,1035,1041,545;
1,0,1035,5000,3965;
101,1,1035,1694,898;
2,0,1035,1282,647;
102,1,1035,1176,587;
3,0,1035,4761,3726;
301,3,1035,2564,1610;
103,1,1035,4000,2966;
202,2,1035,1724,930;
4,0,1035,1265,638;
302,3,1035,1851,1012;
104,1,1035,1010,528;
303,3,1035,2941,1950;
105,1,1035,1149,574;
106,1,1035,1818,997;
304,3,1035,1754,941;
305,3,1035,6250,5215;
107,1,1035,9090,8055;
5,0,1035,3571,2547;
108,1,1035,5263,4228;
306,3,1035,12500,11465;
203,2,1035,1250,627;
307,3,1035,1333,662;
308,3,1035,1538,793;
204,2,1035,1515,777;
309,3,1035,1960,1105;
310,3,1035,8333,7298;
109,1,1035,6250,5215;
311,3,1035,1351,675;
312,3,1035,1041,549;
313,3,1035,12500,11465;
205,2,1035,1449,726;
314,3,1035,2000,1130;
206,2,1035,1282,639;
315,3,1035,20000,18965;
6,0,1035,2000,1127;
316,3,1035,2380,1451;
317,3,1035,5882,4847;
207,2,1035,16666,15631;
110,1,1035,1666,881;
318,3,1035,1250,618;
208,2,1035,1219,619;
319,3,1035,1408,703;
209,2,1035,1886,1045;
111,1,1035,2272,1357;
112,1,1035,3571,2547;
210,2,1035,1470,761;
211,2,1035,3571,2549;
113,1,1035,1075,551;
212,2,1035,1960,1099;
213,2,1035,1315,659;
214,2,1035,10000,8965;
320,3,1035,1204,601;
215,2,1035,1136,594;
321,3,1035,1315,651;
216,2,1035,6666,5631;
114,1,1035,1219,615;
322,3,1035,1111,562;
323,3,1035,2173,1274;
115,1,1035,1265,630;
324,3,1035,1587,813;
325,3,1035,2272,1357;
116,1,1035,2380,1457;
326,3,1035,1136,580;
327,3,1035,10000,8965;
217,2,1035,5555,4520;
117,1,1035,4761,3726;
328,3,1035,12500,11465;
118,1,1035,1470,748;
119,1,1035,16666,15631;
218,2,1035,2941,1954;
120,1,1035,1960,1110;
121,1,1035,2325,1398;
122,1,1035,50000,48965;
7,0,1035,1315,653;
123,1,1035,1086,569;
8,0,1035,8333,7298;
124,1,1035,3030,2034;
125,1,1035,12500,11465;
9,0,1035,2564,1619;
126,1,1035,4761,3726;
127,1,1035,1388,716;
128,1,1035,6250,5215;
10,0,1035,1030,535;
129,1,1035,3333,2323;
11,0,1035,1785,975;
12,0,1035,33333,32298;
219,2,1035,1176,593;
220,2,1035,4000,2967;
13,0,1035,5263,4228;
221,2,1035,12500,11465;
130,1,1035,1428,723;
131,1,1035,2127,1241;
132,1,1035,1351,678;
133,1,1035,1010,534;
134,1,1035,1562,803;
135,1,1035,2777,1808;
136,1,1035,12500,11465;
222,2,1035,1063,553;
223,2,1035,2500,1554;
224,2,1035,1724,914;
225,2,1035,20000,18965;
14,0,1035,1000,535;
226,2,1035,1010,534;
227,2,1035,1923,1077;
15,0,1035,1492,766;
228,2,1035,1190,601;
16,0,1035,1282,644;
229,2,1035,4347,3312;
17,0,1035,4545,3510;
230,2,1035,1052,553;
231,2,1035,2941,1951;
232,2,1035,5555,4520;
18,0,1035,1754,949;
233,2,1035,4000,2966;
19,0,1035,25000,23965;
137,1,1035,1666,874;
138,1,1035,1960,1108;
139,1,1035,7692,6657;
234,2,1035,1123,573;
140,1,1035,1639,854;
141,1,1035,5000,3965;
235,2,1035,3125,2124;
142,1,1035,10000,8965;
20,0,1035,1086,559;
143,1,1035,1098,564;
144,1,1035,4347,3312;
236,2,1035,1149,580;
237,2,1035,100000,98965;
329,3,1035,1492,759;
238,2,1035,2439,1493;
330,3,1035,2439,1500;
239,2,1035,1587,836;
240,2,1035,10000,8965;
145,1,1035,4347,3313;
331,3,1035,1265,641;
332,3,1035,1449,738;
333,3,1035,16666,15631;
334,3,1035,1923,1078;
335,3,1035,1666,882;
336,3,1035,2000,1139;
337,3,1035,3030,2037;
338,3,1035,1282,634;
339,3,1035,1492,753;
340,3,1035,2000,1134;
341,3,1035,1190,591;
342,3,1035,2857,1885;
343,3,1035,1538,789;
344,3,1035,6666,5631;
345,3,1035,1351,683;
346,3,1035,2631,1674;
347,3,1035,1315,657;
348,3,1035,50000,48965;
146,1,1035,1754,945;
349,3,1035,1098,573;
147,1,1035,1960,1112;
148,1,1035,6250,5215;
149,1,1035,3333,2323;
150,1,1035,12500,11465;
350,3,1035,7692,6657;
351,3,1035,7142,6107;
352,3,1035,16666,15631;
151,1,1035,2040,1166;
353,3,1035,1030,548;
354,3,1035,1176,596;
152,1,1035,1020,537;
153,1,1035,3846,2814;
355,3,1035,1098,564;
356,3,1035,100000,98965;
21,0,1035,1020,539;
22,0,1035,5263,4228;
357,3,1035,1428,719;
358,3,1035,1333,660;
359,3,1035,100000,98965;
241,2,1035,1282,643;
360,3,1035,5555,4520;
23,0,1035,1538,792;
242,2,1035,1123,562;
243,2,1035,1388,695;
244,2,1035,3703,2677;
24,0,1035,1923,1066;
245,2,1035,12500,11465;
25,0,1035,1315,658;
26,0,1035,2777,1805;
27,0,1035,2040,1171;
28,0,1035,20000,18965;
246,2,1035,2222,1316;
29,0,1035,1030,537;
30,0,1035,1098,557;
31,0,1035,33333,32298;
361,3,1035,7142,6107;
32,0,1035,1000,548;
33,0,1035,1149,582;
34,0,1035,50000,48965;
154,1,1035,5000,3965;
362,3,1035,12500,11465;
247,2,1035,1136,585;
363,3,1035,1369,686;
248,2,1035,1612,842;
249,2,1035,2777,1807;
364,3,1035,4545,3510;
155,1,1035,1041,542;
250,2,1035,5000,3965;
35,0,1035,1111,556;
365,3,1035,1010,528;
156,1,1035,1851,1024;
36,0,1035,1282,643;
157,1,1035,2439,1501;
251,2,1035,1020,538;
37,0,1035,1010,543;
252,2,1035,3030,2039;
366,3,1035,2439,1515;
38,0,1035,3571,2550;
158,1,1035,3571,2548;
253,2,1035,1086,567;
159,1,1035,1250,634;
160,1,1035,2564,1612;
254,2,1035,1351,681;
161,1,1035,1282,638;
162,1,1035,3571,2548;
255,2,1035,8333,7298;
39,0,1035,2631,1669;
256,2,1035,2173,1276;
257,2,1035,1219,608;
258,2,1035,6666,5631;
40,0,1035,3125,2119;
259,2,1035,20000,18965;
367,3,1035,2564,1611;
41,0,1035,1098,568;
368,3,1035,1204,604;
42,0,1035,1204,596;
369,3,1035,1098,559;
43,0,1035,1041,547;
44,0,1035,1818,1001;
370,3,1035,1162,580;
45,0,1035,2222,1325;
46,0,1035,2777,1801;
47,0,1035,25000,23965;
163,1,1035,3225,2219;
48,0,1035,11111,10076;
371,3,1035,3225,2222;
164,1,1035,1666,871;
165,1,1035,20000,18965;
260,2,1035,5555,4520;
49,0,1035,1587,829;
166,1,1035,1030,545;
167,1,1035,2777,1799;
261,2,1035,1098,559;
262,2,1035,1515,792;
168,1,1035,4000,2968;
50,0,1035,1052,544;
169,1,1035,2000,1133;
170,1,1035,3846,2815;
263,2,1035,3030,2041;
51,0,1035,1282,645;
264,2,1035,1123,579;
52,0,1035,12500,11465;
372,3,1035,1063,548;
53,0,1035,1282,639;
373,3,1035,1162,590;
374,3,1035,1176,583;
375,3,1035,4545,3510;
265,2,1035,1282,647;
266,2,1035,5263,4228;
54,0,1035,4000,2967;
55,0,1035,1851,1024;
56,0,1035,1587,810;
57,0,1035,1369,700;
58,0,1035,1666,872;
59,0,1035,12500,11465;
267,2,1035,1063,557;
60,0,1035,1063,560;
61,0,1035,2000,1130;
268,2,1035,2083,1200;
269,2,1035,1724,924;
270,2,1035,6666,5631;
62,0,1035,2777,1803;
271,2,1035,1408,710;
63,0,1035,4347,3313;
272,2,1035,1315,644;
273,2,1035,5882,4847;
64,0,1035,33333,32298;
376,3,1035,1562,805;
377,3,1035,1000,536;
378,3,1035,1369,688;
379,3,1035,7142,6107;
65,0,1035,1351,676;
380,3,1035,1063,547;
381,3,1035,11111,10076;
274,2,1035,1010,538;
275,2,1035,3125,2118;
276,2,1035,50000,48965;
171,1,1035,6666,5631;
382,3,1035,2857,1874;
277,2,1035,1176,589;
278,2,1035,1587,838;
279,2,1035,3703,2678;
383,3,1035,5000,3965;
172,1,1035,2325,1413;
173,1,1035,3846,2812;
384,3,1035,16666,15631;
66,0,1035,1612,848;
385,3,1035,1408,718;
67,0,1035,3571,2548;
174,1,1035,1219,609;
386,3,1035,1149,579;
68,0,1035,2173,1272;
387,3,1035,2325,1403;
69,0,1035,1298,645;
70,0,1035,1694,907;
388,3,1035,1162,591;
389,3,1035,1234,617;
71,0,1035,1754,930;
72,0,1035,2439,1497;
390,3,1035,10000,8965;
175,1,1035,2941,1957;
73,0,1035,1030,544;
74,0,1035,3846,2815;
391,3,1035,2127,1240;
176,1,1035,20000,18965;
280,2,1035,1449,740;
75,0,1035,1086,552;
281,2,1035,2222,1319;
392,3,1035,1190,601;
76,0,1035,1149,583;
393,3,1035,3225,2224;
177,1,1035,1666,880;
77,0,1035,1351,684;
178,1,1035,1123,575;
179,1,1035,4000,2968;
180,1,1035,1612,838;
181,1,1035,8333,7298;
78,0,1035,1369,683;
182,1,1035,10000,8965;
394,3,1035,1388,702;
79,0,1035,1234,619;
183,1,1035,1428,721;
395,3,1035,1190,598;
80,0,1035,1724,919;
184,1,1035,1470,745;
396,3,1035,1470,755;
81,0,1035,1162,590;
82,0,1035,2040,1161;
397,3,1035,2040,1168;
398,3,1035,3030,2033;
83,0,1035,5263,4228;
185,1,1035,1562,817;
84,0,1035,1369,694;
85,0,1035,4000,2967;
186,1,1035,1020,550;
86,0,1035,1162,572;
87,0,1035,1538,790;
187,1,1035,7142,6107;
399,3,1035,2380,1457;
188,1,1035,1086,566;
189,1,1035,2439,1505;
1035,1851,1020;
190,1,1035,6250,5215;
88,0,1035,3703,2673;
191,1,1035,3703,2682;
89,0,1035,3333,2322;
192,1,1035,3030,2036;
90,0,1035,1063,553;
193,1,1035,1470,755;
91,0,1035,1538,798;
194,1,1035,2702,1734;
92,0,1035,11111,10076;
93,0,1035,6250,5215;
94,0,1035,1123,575;
95,0,1035,20000,18965;
195,1,1035,2127,1246;
196,1,1035,4761,3726;
197,1,1035,5000,3965;
198,1,1035,3448,2428;
199,1,1035,33333,32298;
96,0,1035,2173,1273;
97,0,1035,100000,98965;
282,2,1035,1265,633;
283,2,1035,2040,1172;
98,0,1035,2631,1671;
284,2,1035,2439,1505;
285,2,1035,16666,15631;
1035,11111,10076;
99,0,1035,10000,8965;
286,2,1035,2631,1669;
287,2,1035,16666,15631;
288,2,1035,7142,6107;
289,2,1035,3703,2677;
290,2,1035,2439,1506;
291,2,1035,50000,48965;
1035,100000,98965;
292,2,1035,1923,1080;
293,2,1035,1818,994;
294,2,1035,25000,23965;
295,2,1035,1562,806;
296,2,1035,1923,1068;
297,2,1035,1818,1001;
298,2,1035,1149,578;
299,2,1035,3571,2549;
task took 56.920000 seconds
