RANDOM SEQUENCES
n,threadId,lengthS,lengthT,MinCost;
0,0,50,1,1190,1149,614;
1,0,3333,1298,2131;
2,0,1282,6250,4968;
51,1,1538,2040,1015;
3,0,4166,1052,3116;
4,0,3030,2857,1561;
52,1,1612,2127,1059;
5,0,1333,1030,672;
53,1,1219,1388,689;
54,1,1694,3571,2098;
55,1,1020,1219,596;
56,1,1562,6250,4689;
6,0,1470,1298,739;
57,1,12500,5555,7520;
58,1,12500,1694,10806;
59,1,3846,1136,2724;
60,1,2040,50000,47960;
7,0,12500,1388,11112;
61,1,1075,2380,1429;
62,1,1562,2564,1368;
63,1,2325,1724,1188;
64,1,4347,3448,2152;
65,1,1694,5555,3894;
66,1,1162,8333,7171;
67,1,2702,25000,22298;
8,0,3703,2000,2067;
9,0,1369,7692,6323;
10,0,2702,5000,2771;
11,0,1470,1075,740;
12,0,4000,1369,2682;
13,0,1315,1162,665;
14,0,3703,6666,3655;
15,0,1492,1639,824;
16,0,3846,11111,7408;
17,0,1960,1666,977;
18,0,1190,5263,4073;
19,0,33333,2325,31008;
20,0,1190,6250,5060;
21,0,4347,1086,3261;
22,0,2000,1754,999;
23,0,1449,4761,3342;
24,0,1123,1428,707;
25,0,1010,1176,581;
26,0,1111,1666,852;
27,0,4166,3448,2069;
28,0,1282,2941,1790;
29,0,33333,1851,31482;
30,0,5882,1333,4549;
31,0,1639,1612,847;
32,0,1190,1351,688;
33,0,2564,1265,1485;
34,0,3703,1020,2689;
35,0,1250,6250,5000;
36,0,1562,1219,774;
37,0,1063,1204,615;
38,0,10000,1204,8796;
39,0,3703,1315,2449;
40,0,4166,1351,2850;
41,0,1785,1063,961;
42,0,4000,1123,2888;
43,0,1492,1351,768;
44,0,1612,5555,3965;
45,0,1282,1886,976;
46,0,5263,1315,3950;
47,0,1010,100000,98990;
48,0,1388,11111,9723;
49,0,1428,1515,784;
100000,16666,83334;
68,1,25000,16666,12829;
69,1,1136,1041,575;
70,1,7142,1136,6006;
71,1,100000,1190,98810;
72,1,25000,2173,22827;
73,1,2702,25000,22298;
74,1,1098,3448,2381;
75,1,1041,5263,4222;
76,1,2857,1851,1475;
77,1,5000,1219,3782;
78,1,4347,14285,10008;
79,1,2173,5555,3538;
80,1,20000,11111,10981;
81,1,1515,3125,1820;
82,1,4545,1587,3017;
83,1,7142,1960,5187;
84,1,1818,1369,916;
85,1,1086,10000,8914;
86,1,1075,25000,23925;
87,1,3703,6250,3344;
88,1,2040,5555,3626;
89,1,2777,50000,47223;
90,1,4545,1562,3046;
91,1,1030,1298,639;
92,1,1086,1351,676;
93,1,1265,6250,4985;
94,1,1162,2702,1653;
95,1,3333,20000,16667;
96,1,1162,1818,951;
97,1,2941,1123,1892;
98,1,6666,3571,3719;
99,1,1020,1149,578;
task took 91.590000 seconds
----------------
COMPARE SET SEQUENCE WITH RANDOM SEQUENCES
n,threadId,lengthS,lengthT,MinCost;
0,0,50,1,1035,1492,767;
51,1,1035,1298,642;
52,1,1035,1785,974;
1,0,1035,1851,1026;
53,1,1035,1052,547;
2,0,1035,1162,592;
3,0,1035,2439,1505;
4,0,1035,16666,15631;
54,1,1035,3846,2814;
55,1,1035,1639,871;
56,1,1035,20000,18965;
5,0,1035,3225,2218;
6,0,1035,1086,551;
7,0,1035,5263,4228;
8,0,1035,1562,816;
9,0,1035,1086,551;
10,0,1035,5555,4520;
11,0,1035,1030,538;
12,0,1035,25000,23965;
57,1,1035,1351,684;
58,1,1035,3333,2319;
59,1,1035,6666,5631;
13,0,1035,2272,1356;
60,1,1035,2777,1797;
14,0,1035,1369,684;
61,1,1035,1250,628;
62,1,1035,1265,634;
63,1,1035,4166,3134;
15,0,1035,1562,808;
64,1,1035,1162,586;
65,1,1035,1315,653;
66,1,1035,1538,792;
67,1,1035,3703,2675;
68,1,1035,33333,32298;
16,0,1035,25000,23965;
69,1,1035,2500,1553;
17,0,1035,2631,1667;
18,0,1035,3225,2219;
70,1,1035,4166,3132;
19,0,1035,4166,3131;
71,1,1035,2040,1165;
20,0,1035,1818,984;
72,1,1035,1250,624;
21,0,1035,1333,661;
22,0,1035,1234,623;
23,0,1035,1041,548;
24,0,1035,2857,1876;
25,0,1035,1298,661;
26,0,1035,1265,633;
27,0,1035,10000,8965;
73,1,1035,3571,2541;
28,0,1035,4000,2966;
74,1,1035,1886,1049;
29,0,1035,1587,837;
75,1,1035,1190,606;
30,0,1035,1000,531;
76,1,1035,1694,907;
77,1,1035,1388,704;
78,1,1035,8333,7298;
31,0,1035,4347,3312;
79,1,1035,3225,2219;
32,0,1035,1176,594;
33,0,1035,12500,11465;
80,1,1035,1428,733;
81,1,1035,14285,13250;
34,0,1035,1587,820;
35,0,1035,2000,1132;
36,0,1035,1123,567;
37,0,1035,2564,1608;
38,0,1035,2173,1276;
39,0,1035,1923,1071;
40,0,1035,2857,1873;
41,0,1035,7142,6107;
42,0,1035,1886,1052;
43,0,1035,2127,1231;
44,0,1035,2173,1266;
45,0,1035,1111,558;
46,0,1035,33333,32298;
82,1,1035,1010,533;
47,0,1035,2222,1322;
83,1,1035,4761,3726;
84,1,1035,1086,558;
85,1,1035,2083,1196;
86,1,1035,5000,3965;
87,1,1035,2631,1673;
88,1,1035,1041,539;
89,1,1035,1086,554;
90,1,1035,2127,1241;
91,1,1035,3703,2677;
92,1,1035,1000,547;
93,1,1035,2941,1958;
94,1,1035,1639,859;
95,1,1035,2500,1548;
96,1,1035,3703,2673;
97,1,1035,8333,7298;
98,1,1035,1250,630;
99,1,1035,1010,542;
1035,100000,98965;
48,0,1035,3125,2121;
49,0,1035,3225,2218;
task took 12.430000 seconds
