RANDOM SEQUENCES
n,threadId,lengthS,lengthT,MinCost;
52,1,1035,1282,633;
153,3,1035,1351,678;
2,0,1035,2222,1322;
104,2,1035,1369,693;
53,1,1035,1923,1078;
154,3,1035,1785,968;
3,0,1035,2000,1135;
105,2,1035,1694,906;
54,1,1035,1333,673;
106,2,1035,1785,976;
155,3,1035,1960,1102;
107,2,1035,1351,675;
108,2,1035,3125,2126;
55,1,1035,3703,2678;
4,0,1035,1754,936;
156,3,1035,1538,791;
109,2,1035,1098,567;
5,0,1035,1960,1100;
110,2,1035,1265,628;
157,3,1035,1086,560;
158,3,1035,3448,2426;
111,2,1035,5263,4228;
56,1,1035,2380,1448;
159,3,1035,2777,1806;
112,2,1035,1388,698;
113,2,1035,1298,638;
114,2,1035,3448,2433;
160,3,1035,4000,2966;
115,2,1035,3225,2220;
116,2,1035,12500,11465;
57,1,1035,1000,533;
58,1,1035,5000,3965;
161,3,1035,2127,1238;
117,2,1035,2272,1366;
162,3,1035,5882,4847;
59,1,1035,2040,1168;
163,3,1035,6666,5631;
118,2,1035,1515,769;
164,3,1035,1111,569;
119,2,1035,3125,2130;
60,1,1035,1010,532;
61,1,1035,1428,725;
120,2,1035,1449,732;
121,2,1035,2222,1312;
62,1,1035,1785,979;
122,2,1035,4347,3312;
63,1,1035,2272,1361;
64,1,1035,7142,6107;
123,2,1035,2000,1134;
65,1,1035,1063,553;
124,2,1035,1428,713;
66,1,1035,1388,702;
67,1,1035,2500,1546;
125,2,1035,1351,679;
68,1,1035,1219,614;
126,2,1035,1785,978;
69,1,1035,4166,3131;
70,1,1035,50000,48965;
6,0,1035,1162,583;
7,0,1035,12500,11465;
127,2,1035,6250,5215;
8,0,1035,1923,1072;
128,2,1035,1333,659;
9,0,1035,11111,10076;
71,1,1035,2380,1446;
10,0,1035,1041,544;
72,1,1035,1333,671;
11,0,1035,1250,627;
73,1,1035,3846,2815;
129,2,1035,1492,770;
130,2,1035,1333,670;
131,2,1035,2083,1194;
132,2,1035,5555,4520;
12,0,1035,1408,718;
13,0,1035,1052,546;
14,0,1035,3333,2321;
133,2,1035,1136,571;
15,0,1035,10000,8965;
74,1,1035,1010,534;
16,0,1035,1666,892;
17,0,1035,3225,2213;
75,1,1035,50000,48965;
165,3,1035,2500,1562;
76,1,1035,2325,1403;
166,3,1035,1010,533;
77,1,1035,9090,8055;
134,2,1035,2439,1506;
78,1,1035,3703,2677;
135,2,1035,2941,1951;
136,2,1035,8333,7298;
167,3,1035,14285,13250;
18,0,1035,2631,1680;
137,2,1035,1639,856;
19,0,1035,1219,623;
20,0,1035,4347,3312;
138,2,1035,1030,531;
139,2,1035,5555,4520;
21,0,1035,1754,947;
140,2,1035,1369,691;
22,0,1035,1250,617;
141,2,1035,1111,557;
23,0,1035,2272,1354;
142,2,1035,1724,931;
24,0,1035,1190,593;
25,0,1035,1818,995;
143,2,1035,1587,823;
26,0,1035,1333,659;
144,2,1035,1265,640;
145,2,1035,1063,548;
146,2,1035,1515,791;
147,2,1035,4347,3312;
27,0,1035,1515,780;
148,2,1035,1470,760;
28,0,1035,1111,568;
149,2,1035,2941,1955;
29,0,1035,1369,685;
30,0,1035,2564,1605;
31,0,1035,1162,593;
32,0,1035,1041,547;
33,0,1035,33333,32298;
168,3,1035,1010,542;
169,3,1035,5555,4520;
34,0,1035,1960,1111;
170,3,1035,1449,734;
35,0,1035,1123,569;
36,0,1035,2127,1239;
171,3,1035,1587,827;
37,0,1035,1754,949;
172,3,1035,1428,723;
38,0,1035,50000,48965;
79,1,1035,20000,18965;
1035,2941,1948;
173,3,1035,1030,531;
174,3,1035,2040,1172;
175,3,1035,2857,1877;
176,3,1035,1470,748;
177,3,1035,10000,8965;
80,1,1035,1063,549;
81,1,1035,5882,4847;
82,1,1035,20000,18965;
39,0,1035,1010,545;
40,0,1035,1204,603;
41,0,1035,3571,2546;
42,0,1035,5555,4520;
43,0,1035,2702,1733;
44,0,1035,10000,8965;
83,1,1035,1111,576;
84,1,1035,2564,1610;
85,1,1035,11111,10076;
45,0,1035,3030,2032;
86,1,1035,1886,1055;
46,0,1035,1960,1098;
87,1,1035,1315,660;
88,1,1035,1369,692;
89,1,1035,5555,4520;
47,0,1035,2380,1457;
48,0,1035,1315,652;
49,0,1035,1408,708;
1035,7692,6657;
90,1,1035,1030,542;
91,1,1035,1162,585;
92,1,1035,2941,1952;
93,1,1035,1428,724;
94,1,1035,1063,558;
95,1,1035,100000,98965;
178,3,1035,2941,1955;
179,3,1035,1052,542;
180,3,1035,4545,3510;
181,3,1035,2040,1167;
182,3,1035,2857,1876;
183,3,1035,7692,6657;
184,3,1035,6250,5215;
185,3,1035,1020,533;
186,3,1035,1694,900;
187,3,1035,1063,535;
188,3,1035,1010,531;
189,3,1035,2000,1130;
190,3,1035,2439,1507;
191,3,1035,1470,736;
192,3,1035,100000,98965;
96,1,1035,20000,18965;
193,3,1035,1098,563;
194,3,1035,4545,3510;
97,1,1035,1470,748;
98,1,1035,2631,1672;
99,1,1035,2083,1205;
1035,16666,15631;
195,3,1035,9090,8055;
196,3,1035,6250,5215;
197,3,1035,3225,2217;
198,3,1035,11111,10076;
199,3,1035,2777,1808;
task took 25.110000 seconds
