RANDOM SEQUENCES
n,threadId,lengthS,lengthT,MinCost;
0,0,50,1,100,2,150,3,1190,1149,610;
1,0,1204,1162,625;
2,0,4347,1000,3347;
101,2,1538,1052,785;
3,0,4000,1204,2813;
51,1,1408,1020,723;
102,2,1639,1408,822;
103,2,4000,1000,3000;
4,0,2173,6666,4558;
151,3,1694,1724,892;
152,3,12500,1428,11072;
5,0,4166,1204,2976;
6,0,5555,5000,2778;
104,2,1265,5000,3736;
105,2,1234,9090,7856;
106,2,5263,7692,3908;
153,3,1562,4000,2554;
107,2,3333,1785,1862;
154,3,2173,1041,1280;
155,3,4166,16666,12502;
7,0,1190,1000,601;
8,0,33333,2173,31160;
156,3,1724,4545,2930;
157,3,1785,3125,1706;
158,3,1886,33333,31447;
9,0,1136,1234,636;
10,0,16666,1111,15555;
11,0,1075,2127,1213;
12,0,4761,1587,3231;
13,0,2564,2941,1472;
14,0,1470,1515,788;
15,0,5263,1111,4152;
16,0,25000,2127,22873;
159,3,1612,1639,833;
17,0,2000,1333,1029;
160,3,50000,3030,46970;
108,2,1369,1136,681;
109,2,1204,4166,2978;
110,2,1010,5000,3990;
111,2,5000,1149,3851;
112,2,7142,3125,4331;
18,0,1960,1098,1081;
19,0,1234,20000,18766;
161,3,2173,1298,1166;
162,3,2173,1010,1289;
163,3,2325,1515,1224;
164,3,1298,33333,32035;
20,0,1923,1785,970;
21,0,1886,5555,3730;
22,0,2127,1492,1096;
23,0,2325,1515,1209;
24,0,2272,3448,1787;
25,0,7692,2631,5165;
26,0,3030,1851,1614;
27,0,1492,2083,1054;
28,0,2439,1020,1517;
29,0,1351,2777,1615;
30,0,6666,4166,3515;
31,0,3125,1470,1842;
32,0,25000,14285,13536;
52,1,4761,3448,2400;
33,0,1234,8333,7099;
53,1,1086,1388,688;
54,1,1470,1562,785;
55,1,1408,1298,729;
56,1,1176,1612,808;
57,1,2702,3846,1948;
34,0,1408,1612,812;
35,0,5263,1063,4200;
36,0,2702,2857,1438;
37,0,2380,16666,14286;
58,1,10000,2222,7778;
38,0,3030,7692,4879;
59,1,2325,1818,1157;
60,1,2380,3448,1772;
61,1,25000,9090,16353;
165,3,1428,7692,6264;
166,3,1960,1190,1046;
167,3,20000,1694,18306;
62,1,1818,1515,900;
63,1,2500,3846,1996;
168,3,3333,2173,1730;
169,3,1666,1388,818;
170,3,6666,3030,3986;
64,1,1886,1538,935;
65,1,2222,1785,1097;
66,1,1265,2173,1175;
67,1,2000,2222,1101;
68,1,1492,2272,1180;
69,1,2272,1052,1356;
70,1,6250,2777,3779;
71,1,2127,1851,1061;
72,1,8333,2564,5812;
73,1,5882,1030,4852;
74,1,1612,1190,813;
75,1,3703,1785,2162;
76,1,1960,1000,1121;
77,1,50000,1886,48114;
171,3,2564,5263,3052;
78,1,1176,10000,8824;
172,3,7142,1492,5650;
79,1,1123,3225,2153;
80,1,1960,3125,1646;
81,1,2857,9090,6283;
173,3,1315,2702,1570;
174,3,1886,2380,1197;
175,3,5555,3333,2957;
82,1,1515,2564,1371;
83,1,1204,1351,682;
84,1,7142,33333,26191;
39,0,3125,3703,1834;
176,3,12500,2564,9936;
177,3,1063,2439,1480;
178,3,1538,2380,1251;
179,3,1075,14285,13210;
180,3,2325,1204,1322;
181,3,2702,25000,22298;
85,1,2040,1492,1020;
182,3,4761,1612,3210;
86,1,1041,7692,6651;
183,3,3448,1265,2248;
87,1,1587,2127,1070;
184,3,16666,4761,11939;
40,0,1041,5263,4222;
185,3,3703,2272,1958;
88,1,1176,1369,702;
89,1,4545,2439,2534;
41,0,8333,2500,5871;
186,3,1851,1052,1018;
187,3,1190,1098,608;
188,3,33333,1030,32303;
90,1,2222,1204,1228;
91,1,16666,1086,15580;
92,1,5882,100000,94118;
113,2,5263,4761,2626;
93,1,1408,20000,18592;
114,2,8333,10000,4952;
189,3,16666,1333,15333;
115,2,1010,6250,5240;
190,3,3125,5263,2797;
191,3,4166,33333,29167;
42,0,2272,1923,1139;
43,0,5263,2941,2880;
192,3,25000,1694,23306;
116,2,1408,2380,1279;
117,2,7692,2380,5364;
193,3,1176,2173,1215;
194,3,7692,14285,7938;
94,1,1219,3703,2518;
95,1,10000,1886,8114;
96,1,1612,4347,2818;
97,1,3571,5882,3126;
98,1,1515,1369,756;
99,1,1587,1204,797;
100000,1041,98959;
118,2,1388,1136,694;
119,2,1428,1408,741;
120,2,1492,1960,988;
121,2,100000,1000,99000;
195,3,2127,1298,1143;
196,3,1000,1298,646;
197,3,1098,9090,7992;
122,2,10000,2040,7960;
123,2,3448,6250,3449;
198,3,4000,3030,2005;
199,3,1190,1162,621;
4761,50000,45239;
44,0,1724,1052,923;
45,0,5000,1470,3544;
46,0,1250,2272,1258;
47,0,1149,3571,2452;
48,0,8333,11111,5538;
124,2,2000,1960,1037;
125,2,1030,5000,3970;
126,2,20000,10000,11443;
49,0,1219,25000,23781;
50000,4761,45239;
127,2,1063,6666,5603;
128,2,1010,1470,751;
129,2,1785,1562,900;
130,2,50000,1041,48959;
131,2,1086,3448,2388;
132,2,4545,1785,2894;
133,2,1886,1408,948;
134,2,1111,25000,23889;
135,2,1149,1086,592;
136,2,14285,1030,13255;
137,2,2000,6250,4301;
138,2,1562,50000,48438;
139,2,1818,7692,5874;
140,2,3448,1851,1933;
141,2,1282,1149,644;
142,2,4166,1515,2730;
143,2,33333,1785,31548;
144,2,8333,1694,6639;
145,2,1041,3571,2545;
146,2,1010,1086,554;
147,2,1282,1219,662;
148,2,7142,1351,5791;
149,2,1851,1086,1004;
task took 123.340000 seconds
----------------
COMPARE SET SEQUENCE WITH RANDOM SEQUENCES
n,threadId,lengthS,lengthT,MinCost;
150,3,50,1,0,0,100,2,1035,1639,860;
101,2,1035,1333,673;
151,3,1035,3333,2320;
51,1,1035,5263,4228;
102,2,1035,1010,547;
152,3,1035,3225,2218;
1,0,1035,1923,1074;
103,2,1035,1612,843;
