RANDOM SEQUENCES
n,threadId,lengthS,lengthT,MinCost
600,3,1190,1149200,1,400,2,1282,62501063,27770,0,1149,1075,580;
1,0,2439,16666,617;
601,3,1428,1075,723;
602,3,3125,3125,1784;
401,2,9090,2439,4968;
201,1,33333,1030,1633;
603,3,1470,1162,730;
604,3,50000,5000,6659;
402,2,3225,2272,1624;
403,2,2083,5000,3092;
404,2,1219,8333,14227;
2,0,2564,1176,32303;
202,1,1785,1250,903;
203,1,1818,50000,1529;
3,0,2272,1234,1259;
4,0,1538,3571,7114;
405,2,5263,9090,2183;
5,0,2222,1612,1117;
6,0,2439,2857,1416;
7,0,1587,4000,2528;
8,0,1612,1470,829;
9,0,3846,5263,2639;
10,0,12500,25000,4893;
406,2,6250,1515,4735;
407,2,1694,4166,2613;
408,2,2040,2380,1185;
409,2,9090,4545,48182;
204,1,2564,1666,1334;
205,1,20000,1960,5217;
410,2,14285,2325,18040;
206,1,1724,2272,1133;
207,1,1149,2173,1216;
208,1,1886,2702,11960;
411,2,100000,6250,1375;
209,1,1851,9090,7239;
210,1,1470,1470,763;
211,1,8333,7142,45000;
605,3,1063,4545,3482;
606,3,1098,1219,614;
607,3,2500,1449,1357;
608,3,2777,1851,4111;
212,1,1030,1960,1429;
609,3,3846,1724,1112;
213,1,1351,2127,1114;
214,1,1351,14285,2325;
610,3,1666,1315,825;
611,3,2631,1492,1435;
612,3,11111,1086,12934;
215,1,1282,1923,1004;
216,1,1190,8333,10025;
613,3,3448,3571,7143;
217,1,1010,16666,1832;
614,3,2941,2857,1519;
615,3,4545,100000,15656;
218,1,12500,33333,14312;
11,0,1449,8333,6884;
12,0,2857,33333,30476;
13,0,2500,1851,1264;
14,0,20000,1010,18990;
15,0,2941,1666,1601;
16,0,1369,1234,691;
17,0,9090,3333,5935;
18,0,11111,2040,9071;
19,0,4347,1694,2761;
20,0,1449,2083,1070;
21,0,1063,2083,1190;
22,0,5263,10000,5604;
23,0,1149,1219,620;
24,0,3846,4347,2173;
25,0,2173,1250,1184;
26,0,2777,1098,1765;
27,0,1204,2777,1691;
28,0,2380,50000,21532;
219,1,8333,9090,95455;
616,3,4545,1010,3535;
617,3,1282,1612,800;
618,3,6666,2272,4479;
619,3,2631,1298,1522;
620,3,6666,1851,4829;
621,3,1886,1724,948;
622,3,1694,1515,852;
623,3,12500,7142,93750;
412,2,2040,1666,1016;
