RANDOM SEQUENCES
n,threadId,lengthS,lengthT,MinCost;
0,0,76,6,88,7,39,3,26,2,64,5,13,1,52,4,1190,1149,615;
1,0,1923,1369,976;
14,1,1960,1176,1050;
2,0,1204,2857,1768;
89,7,1010,1388,705;
3,0,2380,1754,1191;
53,4,2173,1960,1094;
65,5,2272,1960,1126;
27,2,1492,1265,745;
15,1,1086,1351,668;
54,4,1000,1250,632;
55,4,2272,1666,1141;
4,0,1282,6250,4968;
77,6,2325,1923,1148;
28,2,4000,1515,2587;
66,5,1298,4166,2895;
5,0,1298,3846,2601;
56,4,1250,1754,894;
6,0,2941,2127,1473;
78,6,2857,1265,1731;
67,5,2173,6666,4555;
40,3,2564,4166,2209;
16,1,3448,1111,2369;
57,4,1000,2222,1324;
41,3,1369,5263,3896;
7,0,2500,1562,1314;
17,1,3225,1369,1985;
42,3,2777,2500,1397;
58,4,3846,1818,2266;
18,1,1666,2439,1258;
59,4,1030,1075,544;
60,4,3703,2222,1977;
43,3,1785,3030,1638;
61,4,16666,1923,14743;
90,7,1030,25000,23970;
68,5,1538,20000,18462;
29,2,4000,1754,2442;
62,4,7692,1785,5907;
44,3,1162,3333,2220;
30,2,2777,1063,1778;
63,4,1923,1428,978;
45,3,1694,1562,857;
31,2,1086,1162,591;
32,2,3030,3030,1569;
69,5,1075,1041,563;
33,2,1785,1694,910;
46,3,1818,3703,2142;
34,2,1250,1694,862;
35,2,2702,8333,5709;
91,7,1086,1149,598;
92,7,1351,8333,6982;
70,5,1282,3225,2040;
71,5,3846,10000,6389;
19,1,14285,1219,13066;
47,3,1162,1449,708;
20,1,7142,1162,5980;
36,2,2777,1470,1558;
72,5,1470,1408,766;
37,2,1010,2173,1290;
73,5,6250,1041,5209;
21,1,3448,1315,2216;
38,2,1388,6250,4862;
48,3,1666,10000,8334;
93,7,1351,1010,687;
94,7,7692,7142,3842;
8,0,5263,1075,4188;
1190,8333,7143;
22,1,11111,1298,9813;
74,5,2325,5000,2969;
49,3,1408,1063,708;
50,3,1041,11111,10070;
9,0,1219,1538,765;
51,3,5263,1219,4044;
75,5,1219,11111,9892;
95,7,2083,5000,3099;
23,1,1470,2777,1562;
10,0,1428,2631,1465;
96,7,3125,1694,1739;
2173,1538,1101;
24,1,1851,1111,992;
97,7,1515,7142,5627;
11111,2173,8938;
11,0,6250,3571,3393;
25,1,3125,2631,1553;
1136,14285,13149;
12,0,1000,1470,752;
5263,25000,19737;
79,6,1785,2040,1007;
80,6,1449,1428,757;
81,6,33333,3125,30208;
82,6,1428,4761,3351;
83,6,2040,100000,97960;
25000,1176,23824;
84,6,1351,5882,4531;
85,6,2564,5882,3590;
86,6,1515,1086,771;
87,6,2941,1030,1958;
50000,4545,45455;
98,7,1098,1785,951;
99,7,1587,1515,833;
task took 37.830000 seconds
----------------
COMPARE SET SEQUENCE WITH RANDOM SEQUENCES
n,threadId,lengthS,lengthT,MinCost;
