RANDOM SEQUENCES
n,threadId,lengthS,lengthT,MinCost;
0,0,100,1,1190,1149,611;
1,0,3333,1298,2131;
2,0,1282,6250,4968;
101,1,1538,2040,1015;
3,0,4166,1052,3116;
4,0,3030,2857,1561;
102,1,1612,2127,1059;
5,0,1333,1030,672;
103,1,1219,1388,689;
104,1,1694,3571,2098;
105,1,1562,6250,4689;
6,0,1020,1219,596;
106,1,1470,1298,739;
7,0,12500,5555,7520;
8,0,12500,1694,10806;
9,0,3846,1136,2724;
10,0,2040,50000,47960;
107,1,12500,1388,11112;
11,0,1075,2380,1429;
12,0,1562,2564,1368;
13,0,2325,1724,1188;
14,0,4347,3448,2152;
15,0,1694,5555,3894;
16,0,1162,8333,7171;
17,0,2702,25000,22298;
108,1,3703,2000,2067;
109,1,1369,7692,6323;
110,1,2702,5000,2771;
111,1,1470,1075,740;
112,1,4000,1369,2682;
113,1,1315,1162,665;
114,1,3703,6666,3655;
115,1,1492,1639,824;
116,1,3846,11111,7408;
117,1,1960,1666,977;
118,1,1190,5263,4073;
119,1,33333,2325,31008;
120,1,1190,6250,5060;
121,1,4347,1086,3261;
122,1,2000,1754,999;
123,1,1449,4761,3342;
124,1,1123,1428,707;
125,1,1010,1176,581;
126,1,1111,1666,852;
127,1,4166,3448,2069;
128,1,1282,2941,1790;
129,1,33333,1851,31482;
130,1,5882,1333,4549;
131,1,1639,1612,847;
132,1,1190,1351,688;
133,1,2564,1265,1485;
134,1,3703,1020,2689;
135,1,1250,6250,5000;
136,1,1562,1219,774;
137,1,1063,1204,615;
138,1,10000,1204,8796;
139,1,3703,1315,2449;
140,1,4166,1351,2850;
141,1,1785,1063,961;
142,1,4000,1123,2888;
143,1,1492,1351,768;
144,1,1612,5555,3965;
145,1,1282,1886,976;
146,1,5263,1315,3950;
147,1,1010,100000,98990;
148,1,1388,11111,9723;
149,1,1428,1515,784;
150,1,25000,16666,12829;
151,1,1136,1041,575;
152,1,7142,1136,6006;
153,1,100000,1190,98810;
154,1,25000,2173,22827;
155,1,2702,25000,22298;
156,1,1098,3448,2381;
157,1,1041,5263,4222;
158,1,2857,1851,1475;
159,1,5000,1219,3782;
160,1,4347,14285,10008;
161,1,2173,5555,3538;
162,1,20000,11111,10981;
