RANDOM SEQUENCES
n,threadId,lengthS,lengthT,MinCost;
100,4,350,14,125,5,150,6,325,13,375,15,250,10,300,12,75,3,200,8,25,1,275,11,50,2,175,7,225,9,0,0,1149,1075,587;
151,6,1190,1149,609;
101,4,1098,1666,859;
251,10,1063,2777,1781;
126,5,1369,2702,1553;
201,8,1204,3225,2092;
51,2,1470,2777,1558;
226,9,2083,1612,1056;
102,4,1470,3333,2025;
276,11,2500,1666,1278;
152,6,1587,3571,2152;
376,15,1562,3703,2286;
301,12,1315,1960,1019;
202,8,1492,1785,893;
52,2,1587,4166,2673;
176,7,1886,1075,1030;
103,4,1041,1369,696;
203,8,1282,6250,4968;
351,14,1333,2173,1157;
277,11,2000,4545,2765;
326,13,1098,1000,552;
352,14,2439,3703,1911;
76,3,1886,2222,1103;
302,12,2777,1612,1498;
153,6,1923,3448,1898;
227,9,1724,1754,913;
278,11,1515,2941,1671;
53,2,1960,4761,2970;
127,5,6250,1694,4564;
252,10,3125,1282,1953;
353,14,2631,1111,1627;
279,11,2857,1428,1654;
228,9,2777,1538,1532;
54,2,1282,2173,1167;
253,10,8333,1449,6884;
26,1,1063,3030,2017;
354,14,1098,1111,572;
55,2,2941,3703,1842;
377,15,3846,2325,2055;
204,8,1030,1851,1012;
254,10,2083,5263,3325;
177,7,6250,1724,4537;
104,4,1176,1204,627;
355,14,1315,2777,1637;
229,9,1785,1086,962;
356,14,1219,2941,1825;
378,15,1754,1754,911;
105,4,1315,1149,668;
357,14,2564,1666,1334;
178,7,1754,1219,894;
358,14,1176,4545,3370;
230,9,1754,1075,943;
179,7,3333,4545,2280;
77,3,1282,1470,744;
180,7,1388,1052,700;
78,3,7692,1694,5998;
280,11,2500,3225,1611;
379,15,10000,1234,8766;
255,10,3571,3333,1808;
205,8,2222,4545,2630;
106,4,2380,1020,1452;
380,15,3846,1282,2609;
281,11,1449,6666,5217;
359,14,1612,1098,834;
282,11,1388,5882,4494;
181,7,1020,5555,4535;
107,4,3225,6666,3879;
56,2,25000,1204,23796;
303,12,1408,1724,865;
108,4,1639,1000,881;
57,2,2083,3225,1680;
360,14,1538,4347,2871;
283,11,2941,4761,2515;
79,3,1063,1204,601;
361,14,1162,1098,596;
80,3,1428,1960,990;
109,4,2272,1388,1210;
304,12,7142,2564,4696;
231,9,1063,2325,1389;
284,11,1190,1449,738;
81,3,1086,1612,833;
285,11,1265,2000,1054;
232,9,1265,2941,1801;
110,4,1408,1960,995;
286,11,1000,16666,15666;
381,15,2173,1000,1291;
111,4,2000,1010,1151;
112,4,4000,10000,6297;
154,6,1351,2500,1402;
287,11,7692,1449,6243;
58,2,3225,1063,2195;
382,15,1333,1052,674;
113,4,6250,2777,3769;
182,7,1818,1785,939;
383,15,5263,2380,3162;
305,12,1086,1136,582;
384,15,1190,1250,659;
306,12,1098,1923,1059;
385,15,1282,5000,3718;
114,4,16666,1785,14881;
206,8,1030,2500,1556;
115,4,2941,1333,1765;
307,12,2325,4347,2419;
59,2,1075,1515,766;
60,2,3448,3846,1945;
155,6,4347,1030,3317;
308,12,10000,2127,7873;
233,9,3571,14285,10714;
27,1,1315,1162,671;
28,1,2083,6250,4237;
207,8,1265,7142,5877;
61,2,3225,3125,1650;
234,9,5555,2941,3116;
116,4,2702,5263,2989;
156,6,2564,2631,1344;
208,8,1041,1515,791;
117,4,3030,1086,1989;
235,9,1265,1724,868;
118,4,3125,4347,2188;
29,1,1176,4347,3178;
209,8,2500,1351,1406;
119,4,4347,7692,4180;
288,11,1111,1818,969;
120,4,3333,2439,1652;
157,6,2631,1851,1339;
30,1,1754,1136,912;
158,6,1020,2380,1453;
121,4,1149,1724,882;
31,1,2040,4000,2275;
210,8,4347,1020,3327;
32,1,1851,1886,984;
211,8,1250,1111,629;
212,8,7142,1282,5860;
159,6,3571,1515,2198;
33,1,9090,6250,4646;
362,14,1020,1315,669;
34,1,1010,12500,11490;
122,4,50000,1204,48796;
82,3,2564,1851,1303;
213,8,2272,1219,1270;
363,14,1020,2000,1151;
83,3,1052,2941,1941;
35,1,1219,1149,612;
84,3,1694,1851,936;
364,14,1098,3571,2495;
36,1,3448,2702,1688;
160,6,2040,50000,47960;
327,13,1052,1754,949;
365,14,3333,33333,30000;
1,0,1408,3333,2056;
37,1,1408,3333,2055;
2,0,6666,1250,5416;
85,3,1063,1010,540;
3,0,1408,5000,3601;
328,13,3225,2857,1618;
366,14,5000,1063,3937;
86,3,1639,2439,1243;
329,13,4545,3703,2251;
214,8,2040,6250,4274;
161,6,2083,1694,1028;
87,3,4545,1052,3493;
162,6,2777,25000,22223;
386,15,2631,4545,2452;
4,0,1041,1149,586;
387,15,1123,4166,3046;
88,3,1219,1219,642;
89,3,3030,1639,1694;
5,0,3846,1219,2656;
90,3,2040,3846,2158;
388,15,1250,1754,890;
91,3,1754,2000,993;
389,15,1923,7142,5227;
163,6,1724,1098,902;
164,6,1298,2564,1466;
390,15,1010,1666,891;
391,15,1428,2380,1270;
165,6,1000,1923,1094;
392,15,2173,2857,1421;
166,6,1612,10000,8388;
92,3,1724,1020,938;
93,3,2272,1204,1280;
94,3,2127,1666,1055;
95,3,4166,14285,10155;
123,4,1052,1075,566;
124,4,2439,9090,6658;
393,15,7142,4761,3677;
6,0,33333,3571,29762;
183,7,3448,2631,1718;
96,3,9090,2127,6963;
167,6,1204,1063,608;
97,3,1666,1075,869;
98,3,2272,1515,1181;
184,7,1538,1851,930;
99,3,50000,2272,47728;
309,12,1282,4000,2748;
185,7,1515,1886,951;
1298,1052,642;
186,7,12500,4761,8029;
367,14,3225,1694,1816;
310,12,1408,1754,881;
187,7,1369,1960,1004;
368,14,4545,14285,9848;
330,13,2272,1111,1318;
188,7,1098,1754,931;
369,14,16666,1388,15278;
1428,1298,719;
189,7,1149,1886,1010;
331,13,1724,10000,8276;
168,6,1000,2127,1248;
190,7,9090,2272,6820;
394,15,1030,1694,904;
191,7,4347,1428,2960;
370,14,2500,1086,1529;
371,14,1098,4000,2907;
192,7,1041,1250,623;
193,7,100000,1149,98851;
289,11,1204,12500,11296;
311,12,7692,1063,6629;
395,15,1098,1041,566;
396,15,2439,50000,47561;
236,9,1250,3225,2060;
312,12,1851,1204,980;
397,15,4000,1388,2665;
290,11,1388,2083,1069;
237,9,1886,1030,1052;
398,15,2857,5263,2935;
169,6,1111,1470,739;
238,9,1315,3571,2327;
313,12,9090,1162,7928;
194,7,2083,1219,1127;
239,9,3225,1020,2224;
170,6,1298,2325,1280;
314,12,1612,1234,805;
240,9,1075,1666,874;
171,6,3333,2222,1722;
399,15,1111,2127,1203;
241,9,1449,1724,861;
172,6,20000,1351,18649;
332,13,3846,25000,21154;
215,8,1369,1123,672;
333,13,2272,1923,1137;
242,9,1052,2380,1444;
334,13,3846,6250,3305;
372,14,1754,1098,930;
335,13,16666,1052,15614;
315,12,4166,3125,2070;
173,6,1587,5555,3983;
316,12,1351,16666,15315;
8333,1162,7171;
174,6,3448,5882,3177;
243,9,1694,100000,98306;
62,2,1470,2040,1021;
1063,1470,745;
63,2,1111,25000,23889;
373,14,5555,1923,3712;
64,2,33333,1724,31609;
291,11,7142,1162,5980;
65,2,20000,1724,18276;
317,12,1492,1111,759;
318,12,3846,2325,2050;
319,12,4347,10000,6083;
244,9,20000,3846,16154;
195,7,1562,2500,1322;
245,9,2702,4347,2298;
320,12,1923,3448,1889;
246,9,2439,50000,47561;
7,0,3333,1020,2328;
8,0,1333,1063,668;
9,0,1470,5000,3549;
247,9,3448,16666,13218;
374,14,1063,1030,547;
4166,4761,2360;
196,7,25000,1960,23040;
292,11,1250,6666,5416;
197,7,2941,6250,3689;
248,9,1234,4000,2787;
249,9,1250,12500,11250;
293,11,1724,2702,1409;
12500,1282,11218;
294,11,1190,1136,610;
295,11,1351,1470,741;
296,11,3333,9090,5934;
198,7,1162,1282,657;
199,7,2564,2173,1292;
297,11,1315,2272,1233;
298,11,6250,1470,4780;
1041,3125,2119;
299,11,3333,1149,2225;
50000,6666,43334;
256,10,1639,100000,98361;
336,13,5000,20000,15000;
10,0,11111,1639,9472;
337,13,3448,1098,2374;
11,0,1098,1111,569;
338,13,1020,4000,2982;
339,13,1587,1470,825;
340,13,1265,7142,5877;
12,0,1470,1123,742;
341,13,16666,6666,10480;
321,12,1333,1538,768;
342,13,1075,3030,2007;
13,0,1204,2380,1369;
14,0,2380,1136,1402;
15,0,1388,1923,967;
16,0,2222,3846,2084;
343,13,1333,1562,792;
344,13,1666,100000,98334;
66,2,1111,2564,1573;
67,2,2083,5555,3595;
17,0,1724,1408,860;
18,0,25000,12500,14294;
38,1,1010,1960,1115;
39,1,4761,50000,45239;
216,8,25000,16666,12821;
128,5,1136,1030,575;
217,8,1666,3703,2213;
218,8,20000,1162,18838;
19,0,1369,2272,1222;
20,0,2380,2500,1288;
219,8,2564,5000,2848;
129,5,1851,1562,926;
21,0,1538,1041,786;
22,0,1333,3333,2100;
130,5,1149,5882,4733;
220,8,2631,16666,14035;
345,13,2325,1449,1229;
23,0,1818,2173,1082;
131,5,1612,1265,796;
221,8,1538,2000,997;
24,0,2000,1851,1007;
346,13,1052,2439,1496;
222,8,2857,1098,1835;
132,5,1063,3846,2790;
347,13,3703,1000,2709;
133,5,1265,1052,645;
348,13,1470,1851,922;
349,13,5882,2083,3895;
1470,4545,3115;
25000,2564,22436;
68,2,3225,1075,2183;
69,2,9090,14285,7433;
257,10,7692,3125,4805;
134,5,2040,1111,1118;
135,5,1538,9090,7552;
258,10,2564,1063,1599;
259,10,1204,11111,9907;
260,10,2857,10000,7171;
136,5,1449,1111,742;
137,5,1449,1408,745;
138,5,1639,14285,12646;
139,5,2325,25000,22675;
261,10,33333,1515,31818;
140,5,5000,1020,3980;
141,5,2439,11111,8672;
262,10,1538,5000,3483;
142,5,1470,1538,782;
143,5,1282,100000,98718;
70,2,1190,1612,826;
71,2,4761,1694,3137;
72,2,1960,5000,3185;
73,2,5000,5555,2766;
144,5,1694,6666,4972;
74,2,2564,2380,1297;
145,5,1000,1234,631;
146,5,6250,33333,27083;
40,1,10000,25000,15730;
322,12,2222,1785,1099;
41,1,3846,1470,2463;
147,5,2173,1923,1093;
323,12,2500,1298,1419;
148,5,1020,1298,638;
149,5,5263,1010,4253;
42,1,1351,1818,911;
43,1,2857,1785,1511;
44,1,1149,2000,1088;
45,1,1470,1694,847;
46,1,1265,1176,645;
47,1,50000,1388,48612;
263,10,3225,6250,3533;
324,12,2439,8333,5921;
2439,1282,1371;
264,10,2631,1851,1339;
10000,1098,8902;
48,1,2702,4166,2151;
265,10,1923,1351,987;
266,10,1219,1282,665;
267,10,1694,10000,8306;
49,1,4761,1923,2989;
268,10,6666,1562,5104;
269,10,3846,20000,16154;
20000,1282,18718;
8333,11111,5546;
270,10,1282,1000,646;
271,10,1818,4000,2385;
272,10,50000,10000,40000;
223,8,1960,25000,23040;
224,8,2857,1250,1748;
50000,14285,35827;
273,10,8333,2173,6164;
274,10,100000,1265,98735;
task took 237.620000 seconds
----------------
COMPARE SET SEQUENCE WITH RANDOM SEQUENCES
n,threadId,lengthS,lengthT,MinCost;
200,8,0,0,150,6,175,7,100,4,50,2,350,14,300,12,75,3,125,5,275,11,250,10,25,1,225,9,325,13,375,15,1035,1030,535;
301,12,1035,1030,539;
176,7,1035,1052,548;
76,3,1035,1111,571;
126,5,1035,1176,588;
201,8,1035,1162,589;
376,15,1035,1190,597;
51,2,1035,1190,606;
276,11,1035,1333,661;
1,0,1035,1351,688;
326,13,1035,1136,574;
177,7,1035,1030,544;
202,8,1035,1190,608;
77,3,1035,1204,598;
52,2,1035,1428,723;
302,12,1035,2500,1549;
251,10,1035,1149,576;
327,13,1035,1369,689;
277,11,1035,2857,1868;
351,14,1035,3333,2325;
226,9,1035,1030,548;
252,10,1035,3571,2547;
101,4,1035,5263,4228;
26,1,1035,1666,880;
203,8,1035,3125,2134;
2,0,1035,2083,1203;
328,13,1035,2439,1501;
178,7,1035,4761,3726;
151,6,1035,2272,1360;
53,2,1035,1250,617;
253,10,1035,1923,1082;
227,9,1035,1408,714;
204,8,1035,3030,2033;
303,12,1035,2222,1319;
27,1,1035,2083,1197;
102,4,1035,4761,3726;
377,15,1035,1204,605;
179,7,1035,5000,3965;
127,5,1035,1666,882;
3,0,1035,1190,602;
205,8,1035,1754,947;
228,9,1035,2564,1605;
54,2,1035,5555,4520;
78,3,1035,1176,589;
206,8,1035,2500,1553;
378,15,1035,3703,2679;
254,10,1035,2702,1733;
180,7,1035,1538,784;
55,2,1035,2173,1288;
229,9,1035,3846,2814;
103,4,1035,2040,1168;
79,3,1035,1666,878;
255,10,1035,1162,577;
230,9,1035,1587,827;
56,2,1035,4761,3726;
128,5,1035,3030,2036;
207,8,1035,2380,1450;
181,7,1035,1136,565;
231,9,1035,2040,1177;
80,3,1035,2380,1456;
256,10,1035,1075,555;
232,9,1035,7692,6657;
304,12,1035,3225,2220;
57,2,1035,10000,8965;
329,13,1035,2702,1740;
233,9,1035,3125,2117;
257,10,1035,1265,626;
330,13,1035,2127,1236;
58,2,1035,7692,6657;
379,15,1035,1111,563;
234,9,1035,1190,604;
380,15,1035,6666,5631;
208,8,1035,5000,3965;
305,12,1035,1136,575;
381,15,1035,1960,1111;
235,9,1035,2857,1881;
331,13,1035,16666,15631;
352,14,1035,1470,746;
236,9,1035,1282,633;
332,13,1035,2380,1454;
306,12,1035,3030,2034;
209,8,1035,1111,567;
353,14,1035,5555,4520;
258,10,1035,1052,560;
333,13,1035,1298,653;
307,12,1035,11111,10076;
129,5,1035,3571,2552;
382,15,1035,1176,596;
259,10,1035,2272,1360;
237,9,1035,20000,18965;
278,11,1035,1470,744;
308,12,1035,12500,11465;
182,7,1035,1587,820;
383,15,1035,2083,1199;
130,5,1035,8333,7298;
59,2,1035,4545,3510;
354,14,1035,2631,1675;
238,9,1035,3030,2041;
279,11,1035,5263,4228;
210,8,1035,1351,672;
60,2,1035,1449,746;
355,14,1035,1333,679;
61,2,1035,2127,1238;
211,8,1035,4761,3726;
183,7,1035,3333,2322;
