RANDOM SEQUENCES
n,threadId,lengthS,lengthT,MinCost
450,3,1190,11490,0,1282,6250300,2,1063,2777150,1,2272,2500,619;
451,3,2083,1470,1782;
301,2,1123,1219,1261;
151,1,1923,25000,620;
302,2,1612,1639,1062;
452,3,1000,14285,845;
303,2,1111,1000,4968;
1,0,4000,1219,559;
304,2,1851,1052,1018;
305,2,1265,11111,2805;
2,0,1515,1052,777;
3,0,5000,2040,13285;
453,3,14285,5263,9846;
306,2,1587,1298,3123;
4,0,1234,2173,786;
307,2,12500,1136,1189;
5,0,1052,1369,695;
6,0,1724,3030,1650;
7,0,2272,4000,11364;
308,2,2631,1587,2184;
8,0,1265,3333,1387;
309,2,1785,1219,23077;
152,1,1250,1333,2148;
9,0,1333,2000,925;
310,2,4761,50000,674;
153,1,1818,1724,1039;
10,0,1538,1250,920;
154,1,6250,1030,768;
11,0,3125,1204,2001;
12,0,1030,1369,696;
13,0,5000,3703,5220;
155,1,14285,1020,13265;
156,1,2380,11111,2511;
14,0,7692,1204,6488;
15,0,2083,1666,1043;
16,0,2777,1063,1780;
17,0,11111,2857,9284;
454,3,7692,1851,8731;
157,1,1041,1639,5841;
455,3,25000,4347,861;
158,1,14285,1162,8257;
18,0,2777,1315,1631;
19,0,5000,7692,13123;
159,1,4000,2127,2252;
160,1,3225,1123,2148;
161,1,2857,1818,1498;
162,1,7142,2272,3980;
20,0,5882,2380,3698;
21,0,1449,1886,948;
22,0,4000,3030,4925;
163,1,1538,2040,1029;
164,1,1315,1538,767;
165,1,3571,1449,1992;
23,0,1538,1818,909;
24,0,1063,5882,2239;
166,1,1408,3703,4819;
25,0,1408,16666,2386;
167,1,5000,25000,20653;
456,3,1075,50000,15258;
26,0,4761,1886,3020;
27,0,1492,1075,757;
28,0,1639,1923,953;
29,0,3333,1190,2196;
30,0,1515,1408,763;
31,0,5882,1204,4678;
32,0,50000,1149,48925;
457,3,2564,1075,1583;
458,3,1818,1149,960;
459,3,1020,1020,529;
460,3,1190,11111,45239;
311,2,1234,6666,9921;
461,3,1063,1063,559;
462,3,2857,1219,1753;
463,3,1190,6250,5432;
312,2,1265,8333,5060;
464,3,1408,1960,999;
465,3,1136,1538,776;
466,3,1470,4761,7068;
313,2,2857,9090,48851;
33,0,1694,3225,3315;
467,3,2380,1851,1190;
468,3,11111,2000,1814;
34,0,1010,1428,728;
35,0,3333,5555,6298;
314,2,6250,3030,2969;
36,0,6666,2272,9111;
469,3,9090,7692,20000;
168,1,1075,1075,554;
169,1,1562,2777,1513;
170,1,2222,5263,3646;
315,2,7142,1388,4484;
37,0,1449,1492,764;
38,0,1020,1010,526;
39,0,2941,1219,1836;
40,0,3846,1333,3253;
171,1,1587,100000,5754;
316,2,3703,3846,2561;
41,0,1886,1492,950;
42,0,1960,1470,992;
43,0,3333,5263,1976;
317,2,1098,1123,590;
318,2,1666,8333,2746;
44,0,1086,4166,6667;
319,2,1219,2702,3083;
45,0,4545,1250,1626;
320,2,1562,2857,3304;
46,0,1333,1492,1578;
321,2,4761,2083,748;
47,0,1123,8333,7210;
48,0,1315,1315,2884;
322,2,11111,1851,4493;
470,3,3225,3703,691;
49,0,14285,5555,1850;
