RANDOM SEQUENCES
n,threadId,lengthS,lengthT,MinCost
471,3,12500,3846,9260;
323,2,1818,1298,925;
324,2,1369,1785,902;
325,2,11111,1428,9683;
326,2,1492,4166,2747;
327,2,2000,1063,1118;
328,2,1754,1923,986;
329,2,1694,1010,910;
330,2,3225,2127,8724;
472,3,1351,12500,1672;
331,2,1851,1538,916;
332,2,3448,4545,11149;
473,3,1204,7142,9082;
50,0,1265,1000,2261;
333,2,3703,7692,639;
51,0,33333,1724,5938;
474,3,1098,7142,6044;
475,3,1449,1724,856;
476,3,1562,1063,792;
477,3,1250,1063,634;
478,3,8333,2325,98413;
172,1,1492,2941,1677;
173,1,1282,1176,4472;
334,2,8333,7692,655;
174,1,2564,1492,1393;
175,1,3571,1612,6020;
479,3,1369,2500,1382;
480,3,1785,1149,2140;
176,1,1250,2380,924;
481,3,1219,2173,1332;
177,1,1010,2000,1186;
482,3,5263,1149,1153;
178,1,16666,2127,4114;
483,3,2380,3448,31609;
52,0,1515,2000,1760;
484,3,1351,4166,1005;
53,0,1886,2272,1136;
54,0,10000,3571,2853;
485,3,1020,1315,662;
486,3,5263,1388,3878;
487,3,10000,1408,14539;
179,1,2325,1408,1237;
180,1,1612,100000,8592;
488,3,3571,4545,4200;
335,2,6250,2173,6600;
55,0,1538,5263,2268;
489,3,1111,2857,1814;
490,3,1136,5882,3737;
56,0,1149,1369,682;
57,0,1063,5882,4164;
336,2,1562,4545,4746;
491,3,11111,1123,4819;
58,0,6250,1351,3052;
337,2,2500,1315,1413;
338,2,1724,5263,4899;
59,0,1030,1123,9988;
492,3,1587,1162,566;
60,0,1538,1428,797;
493,3,9090,6666,777;
61,0,1923,1265,1002;
62,0,1052,1587,814;
63,0,7692,3703,3589;
339,2,1098,6250,5152;
340,2,8333,2564,5820;
341,2,1587,1041,4477;
64,0,33333,2380,836;
342,2,1063,4166,3106;
343,2,7142,6666,4557;
494,3,1149,1351,670;
495,3,4000,7692,3597;
344,2,1515,3571,4340;
496,3,1086,1176,2185;
345,2,1666,2564,602;
497,3,1123,3125,2058;
498,3,5555,1923,1320;
346,2,1149,1204,619;
347,2,1086,1234,625;
348,2,3333,4166,30953;
65,0,1960,1063,3710;
499,3,4000,14285,1088;
66,0,1190,12500,98388;
181,1,4545,5555,2060;
349,2,50000,1190,11310;
67,0,1612,1000,851;
68,0,5882,1250,4632;
69,0,4000,1052,2949;
70,0,1818,1666,906;
71,0,50000,1851,2743;
182,1,100000,1612,10310;
500,3,1030,1886,1052;
501,3,3333,1923,1806;
502,3,1470,1886,48810;
350,2,2325,1694,939;
503,3,1428,1123,717;
504,3,1010,1562,812;
505,3,1123,1219,1173;
351,2,1785,2173,627;
506,3,1052,1298,636;
507,3,1041,2702,1096;
352,2,12500,2857,1738;
508,3,1176,2380,1380;
509,3,25000,5000,9643;
353,2,14285,2040,48149;
72,0,1298,1754,893;
73,0,25000,100000,12245;
354,2,1000,1449,748;
355,2,1282,1923,988;
356,2,2500,1298,1413;
357,2,2325,3125,1571;
358,2,1149,1111,599;
359,2,1010,1204,604;
360,2,1052,1219,609;
361,2,1538,4761,3270;
362,2,1030,1587,823;
363,2,5000,1136,3864;
364,2,2127,14285,98388;
183,1,1063,1923,1064;
184,1,3703,1960,20000;
510,3,33333,1960,2089;
185,1,1149,1694,868;
186,1,6666,5555,12158;
365,2,1612,3030,1710;
366,2,1351,2941,1752;
367,2,1030,1298,663;
368,2,1000,1162,576;
369,2,5555,1538,4025;
370,2,3571,1369,2300;
371,2,1612,1369,803;
372,2,1492,1612,817;
373,2,1204,1149,634;
374,2,9090,1136,3305;
187,1,2040,1219,1095;
188,1,1923,2777,7954;
375,2,1052,2702,1724;
376,2,1587,2173,1413;
189,1,1923,2173,1103;
377,2,1639,1063,863;
378,2,1204,1190,1078;
190,1,2173,5263,638;
379,2,1020,1111,559;
380,2,5555,1851,31373;
511,3,1020,1234,610;
512,3,2857,1538,3275;
191,1,3703,1298,3761;
381,2,25000,2857,1599;
513,3,2702,1219,1622;
514,3,1204,1010,2457;
192,1,3125,1694,596;
515,3,1923,5263,1735;
193,1,1123,33333,3433;
516,3,1176,2272,1284;
517,3,1030,3703,2681;
518,3,1041,25000,23959;
519,3,100000,100000,32210;
194,1,3225,1886,1721;
195,1,3448,1612,2042;
196,1,1010,1492,774;
197,1,3030,2564,1504;
198,1,5882,1010,22143;
382,2,1030,1136,582;
383,2,2173,1388,4872;
199,1,1851,8333,1141;
384,2,3333,2127,1739;
385,2,1098,2941,1906;
386,2,1538,1234,768;
387,2,1282,5882,6482;
200,1,2127,1123,1198;
201,1,4166,25000,4600;
388,2,1428,1149,719;
389,2,1492,6666,5174;
390,2,6250,2777,3789;
391,2,4545,25000,20834;
202,1,4166,12500,20455;
392,2,1020,1960,1114;
393,2,1886,1470,953;
394,2,2564,2127,8469;
203,1,4000,5555,1288;
395,2,1694,1470,855;
396,2,2857,1333,1694;
397,2,1098,1612,828;
398,2,1886,4545,2822;
399,2,1298,1315,688;
400,2,1562,1234,774;
401,2,5263,1886,2790;
204,1,3333,3125,3466;
402,2,8333,2702,1706;
205,1,2040,2040,1073;
206,1,1190,1219,633;
207,1,2173,1694,1095;
208,1,2857,2083,1420;
209,1,2173,2173,1119;
210,1,5000,2000,5706;
403,2,1176,2040,1106;
404,2,3448,1020,2441;
405,2,5882,1388,3150;
211,1,1176,1851,979;
212,1,1960,2325,4494;
406,2,1030,1886,1050;
407,2,2500,2777,1177;
213,1,16666,1351,1393;
408,2,1219,3125,1990;
409,2,2857,4347,15315;
214,1,7692,1851,2242;
410,2,1724,1282,874;
411,2,1538,2325,1196;
412,2,1639,1123,842;
413,2,1111,1587,803;
414,2,2631,1449,1448;
415,2,3703,3703,5841;
215,1,3448,1449,2133;
216,1,2631,2500,1335;
217,1,3125,3571,1930;
416,2,2702,1388,1540;
417,2,6666,1052,1786;
218,1,1204,4166,5614;
418,2,3571,5882,2973;
219,1,20000,14285,3130;
419,2,16666,1333,15333;
420,2,5263,1111,4152;
421,2,4000,1333,2708;
422,2,7692,1612,6080;
423,2,2500,11111,8611;
424,2,1204,1204,640;
425,2,1923,11111,9188;
426,2,1176,4347,3175;
427,2,2000,20000,18000;
428,2,1030,2439,1504;
429,2,1298,2000,1040;
430,2,1428,2325,1226;
431,2,1666,11111,9445;
432,2,1265,1111,644;
433,2,1785,2222,1111;
434,2,1818,1923,982;
435,2,1587,1111,812;
436,2,2272,1388,1213;
437,2,1587,1886,947;
438,2,1724,1162,878;
439,2,9090,4545,5211;
440,2,1204,1282,652;
441,2,2857,1639,1550;
442,2,3571,1333,2317;
443,2,1111,1724,901;
444,2,1333,1075,661;
445,2,1098,1408,702;
446,2,1408,2222,1178;
447,2,7142,7142,10068;
220,1,16666,3571,3698;
448,2,1041,50000,13095;
221,1,2222,16666,48959;
449,2,1886,1041,1052;
,14444;
222,1,1265,1886,979;
223,1,1428,1086,720;
224,1,1369,1204,679;
225,1,1086,1666,874;
226,1,2380,1369,1294;
227,1,1250,5263,4013;
228,1,2000,1428,1016;
229,1,1219,100000,98781;
230,1,5882
