RANDOM SEQUENCES
n,threadId,lengthS,lengthT,MinCost;
0,0,25,1,75,3,50,2,1190,1149,609;
1,0,1470,1754,870;
51,2,1492,1923,969;
2,0,2777,1694,1481;
26,1,2941,1204,1832;
52,2,2702,1923,1369;
27,1,2000,3225,1710;
3,0,1176,1176,610;
4,0,2702,1492,1490;
5,0,3448,3448,1781;
53,2,1886,1612,932;
6,0,4761,1063,3698;
54,2,2631,5882,3540;
55,2,4000,1298,2740;
56,2,1282,1234,661;
57,2,1351,1149,677;
58,2,1818,2173,1084;
59,2,1010,33333,32323;
28,1,1785,2083,1046;
29,1,2500,1492,1341;
30,1,2272,1587,1155;
31,1,10000,3030,7015;
7,0,1234,1612,804;
32,1,1388,1063,707;
33,1,4166,3703,2068;
8,0,3846,2439,2008;
9,0,1298,1388,711;
10,0,8333,3125,5385;
34,1,33333,1886,31447;
60,2,1086,2272,1334;
61,2,2857,2564,1431;
62,2,33333,1250,32083;
35,1,3333,3125,1682;
63,2,8333,1020,7313;
64,2,33333,4347,28986;
76,3,1010,1000,536;
65,2,1000,1785,973;
77,3,4166,3571,2078;
36,1,7692,1250,6442;
78,3,2500,1818,1269;
37,1,1754,2127,1064;
38,1,1204,20000,18796;
79,3,3448,2000,1868;
80,3,2941,16666,13725;
66,2,1886,10000,8114;
67,2,2380,2272,1214;
68,2,1063,3448,2405;
69,2,1086,1333,668;
70,2,3846,12500,8718;
81,3,3030,1851,1607;
82,3,20000,1075,18925;
71,2,1333,7692,6359;
72,2,3846,1315,2583;
73,2,2439,1960,1211;
74,2,7142,3225,4270;
4761,33333,28572;
39,1,1449,2702,1514;
40,1,20000,5263,14744;
83,3,1639,1724,877;
84,3,1063,12500,11437;
41,1,1219,1282,667;
42,1,4761,2439,2705;
85,3,1960,2173,1115;
43,1,1010,11111,10101;
44,1,1063,7692,6629;
45,1,1315,1010,651;
46,1,1010,25000,23990;
86,3,2127,2439,1227;
47,1,1111,6666,5555;
87,3,5555,2000,3652;
88,3,1204,2083,1131;
89,3,1149,1724,893;
90,3,2040,1818,1030;
91,3,3225,1612,1849;
92,3,2631,4000,2060;
93,3,10000,10000,5167;
94,3,1666,1639,845;
95,3,2857,1030,1879;
96,3,1960,3125,1642;
97,3,3571,1923,2005;
98,3,20000,12500,10492;
48,1,2325,1449,1237;
49,1,3846,2777,1954;
12500,100000,87500;
99,3,8333,1666,6667;
100000,20000,80000;
11,0,1250,1785,907;
12,0,11111,2325,8786;
13,0,10000,3333,6766;
14,0,2040,1851,1026;
15,0,50000,2222,47778;
16,0,1538,1219,774;
17,0,2500,1000,1571;
18,0,2857,1020,1890;
19,0,1923,1724,983;
20,0,1785,2941,1563;
21,0,7142,1639,5503;
22,0,3703,1250,2493;
23,0,3125,1666,1748;
24,0,14285,2702,11583;
task took 128.730000 seconds
----------------
COMPARE SET SEQUENCE WITH RANDOM SEQUENCES
n,threadId,lengthS,lengthT,MinCost;
0,0,75,3,50,2,25,1,1035,1724,927;
26,1,1035,3846,2821;
1,0,1035,1298,650;
2,0,1035,3030,2037;
76,3,1035,1162,592;
3,0,1035,2380,1459;
27,1,1035,1612,839;
4,0,1035,1587,827;
77,3,1035,1098,563;
28,1,1035,2380,1446;
5,0,1035,2272,1349;
78,3,1035,2083,1202;
6,0,1035,1111,560;
7,0,1035,1724,921;
79,3,1035,1086,552;
80,3,1035,1562,811;
81,3,1035,7142,6107;
29,1,1035,2777,1798;
30,1,1035,1098,569;
31,1,1035,20000,18965;
51,2,1035,10000,8965;
82,3,1035,16666,15631;
8,0,1035,1923,1079;
52,2,1035,1052,545;
53,2,1035,7692,6657;
32,1,1035,1923,1077;
54,2,1035,1333,672;
33,1,1035,1333,673;
55,2,1035,1515,783;
34,1,1035,1515,778;
56,2,1035,1351,679;
35,1,1035,7142,6107;
83,3,1035,1449,733;
57,2,1035,1492,762;
84,3,1035,1086,562;
58,2,1035,2173,1273;
36,1,1035,1010,538;
59,2,1035,1149,591;
37,1,1035,2000,1139;
85,3,1035,1265,613;
86,3,1035,4166,3131;
38,1,1035,1428,723;
39,1,1035,5555,4520;
87,3,1035,1204,603;
88,3,1035,1612,850;
89,3,1035,7142,6107;
40,1,1035,3703,2675;
90,3,1035,25000,23965;
9,0,1035,1612,850;
91,3,1035,16666,15631;
60,2,1035,1282,638;
10,0,1035,1694,894;
92,3,1035,1136,581;
93,3,1035,2173,1281;
61,2,1035,2702,1736;
94,3,1035,4347,3312;
11,0,1035,1000,522;
95,3,1035,2564,1614;
96,3,1035,1162,581;
97,3,1035,5000,3965;
12,0,1035,1086,554;
98,3,1035,14285,13250;
41,1,1035,1492,762;
99,3,1035,1666,894;
42,1,1035,1666,873;
