RANDOM SEQUENCES
n,threadId,lengthS,lengthT,MinCost
50,2,0,0,1190,11491282,625075,3,25,1,2857,14701265,50000,612;
1,0,2380,1315,1624;
76,3,5882,10000,1325;
2,0,1694,1851,944;
3,0,1538,5555,4968;
51,2,2777,1149,1727;
52,2,1408,4761,4024;
4,0,1886,3846,3370;
53,2,50000,16666,2226;
5,0,1470,1515,780;
6,0,50000,1176,5346;
77,3,1666,1818,905;
78,3,4545,1449,48735;
26,1,1000,1492,760;
27,1,16666,2500,3134;
79,3,11111,1098,48824;
7,0,7692,1754,10013;
80,3,1639,2439,1263;
81,3,1030,3030,2037;
82,3,1098,7142,5938;
8,0,2222,1149,1271;
9,0,4761,2439,6044;
83,3,9090,16666,14166;
28,1,1176,1960,2699;
10,0,1190,7692,1059;
29,1,1162,6250,6502;
11,0,1724,1562,5088;
30,1,1369,12500,869;
12,0,2325,1851,1156;
13,0,5882,3571,11131;
31,1,2631,4166,2169;
32,1,1063,5000,3113;
14,0,5555,1234,3937;
33,1,1149,2040,1123;
34,1,1030,3448,4321;
15,0,2083,1408,2433;
35,1,1639,2173,1091;
16,0,4347,1369,1095;
36,1,1041,100000,3021;
17,0,1923,5882,4010;
18,0,100000,2439,9203;
84,3,1234,1470,745;
85,3,1562,1052,814;
86,3,9090,1219,98959;
37,1,1886,1000,1068;
38,1,2702,1086,7871;
87,3,14285,1052,1714;
39,1,1052,1176,594;
40,1,25000,3333,13233;
88,3,1562,4761,3249;
89,3,1923,1298,1003;
90,3,20000,12500,21667;
41,1,20000,1851,18149;
42,1,1538,3846,2428;
43,1,1219,1333,675;
44,1,1587,3125,1783;
45,1,4761,1351,3422;
46,1,2439,1754,1243;
47,1,1538,1176,763;
48,1,11111,1111,97561;
19,0,1470,1219,738;
20,0,2380,1408,1291;
21,0,2631,3225,10000;
49,1,1851,6666,1597;
22,0,1886,5882,4827;
,4045;
23,0,1030,11111,10081;
24,0,7142,1639,5503;
,10461;
91,3,1388,8333,6945;
92,3,3125,5555,3043;
93,3,5263,1960,3413;
94,3,1204,1265,644;
95,3,4000,2500,2114;
96,3,33333,2222,31111;
97,3,1020,25000,23980;
98,3,4166,1030,3136;
99,3,7692,4347,4199;
,33830;
54,2,3030,9090,6150;
55,2,5263,3125,2829;
56,2,2173,1234,1174;
57,2,1492,1075,755;
58,2,1063,1449,745;
59,2,3030,2941,1552;
60,2,1190,1960,1053;
61,2,7142,1388,5754;
62,2,2272,1190,1293;
63,2,2083,10000,7917;
64,2,1010,2857,1889;
65,2,1785,1030,980;
66,2,33333,1785,31548;
67,2,1086,1449,731;
68,2,2439,2439,1280;
69,2,1204,1123,617;
70,2,1851,2325,1160;
71,2,3703,7142,4040;
72,2,2272,1204,1279;
73,2,1886,1470,963;
74,2,1587,1250,807;
task took 65.020000 seconds
----------------
COMPARE SET SEQUENCE WITH RANDOM SEQUENCES
n,threadId,lengthS,lengthT,MinCost
25,1,75,3,1035,11230,0,50,2,1035,16661035,16391035,4000,880;
51,2,1035,1063,533;
52,2,1035,2083,857;
76,3,1035,1515,570;
26,1,1035,2941,1204;
53,2,1035,1351,794;
77,3,1035,1587,684;
54,2,1035,3030,827;
78,3,1035,1265,2967;
1,0,1035,1234,2042;
55,2,1035,3225,1958;
27,1,1035,1136,629;
79,3,1035,5882,618;
2,0,1035,1123,574;
28,1,1035,4166,571;
3,0,1035,2857,2217;
56,2,1035,1428,732;
57,2,1035,9090,1882;
4,0,1035,1176,3132;
29,1,1035,12500,599;
5,0,1035,14285,4847;
80,3,1035,9090,8055;
58,2,1035,1098,566;
59,2,1035,4000,2966;
60,2,1035,2777,8055;
81,3,1035,2500,1810;
61,2,1035,2222,1562;
82,3,1035,1204,594;
83,3,1035,1408,1316;
62,2,1035,1020,13250;
6,0,1035,2857,542;
63,2,1035,2500,719;
84,3,1035,1098,560;
85,3,1035,1041,1558;
64,2,1035,1298,549;
86,3,1035,1369,1878;
7,0,1035,4545,11465;
30,1,1035,2500,649;
65,2,1035,1176,700;
87,3,1035,1369,593;
66,2,1035,1136,690;
88,3,1035,1020,566;
67,2,1035,1111,545;
89,3,1035,1754,1560;
31,1,1035,7142,3510;
8,0,1035,1086,564;
68,2,1035,1785,951;
90,3,1035,9090,547;
9,0,1035,6250,967;
69,2,1035,1333,669;
70,2,1035,2439,1503;
71,2,1035,3703,6107;
32,1,1035,5882,5215;
10,0,1035,100000,2674;
72,2,1035,1851,8055;
91,3,1035,1562,1015;
73,2,1035,1694,804;
92,3,1035,1219,4847;
33,1,1035,4000,614;
93,3,1035,1190,902;
74,2,1035,1250,599;
94,3,1035,6250,634;
,2967;
34,1,1035,2777,1805;
35,1,1035,10000,5215;
95,3,1035,1010,539;
96,3,1035,1086,560;
97,3,1035,6250,5215;
98,3,1035,1851,8965;
36,1,1035,1851,1026;
99,3,1035,2325,1015;
37,1,1035,2702,1409;
,1736;
38,1,1035,5000,3965;
39,1,1035,1562,816;
40,1,1035,1282,636;
41,1,1035,1219,609;
42,1,1035,2439,1507;
43,1,1035,1162,583;
44,1,1035,2325,1407;
45,1,1035,2380,1446;
46,1,1035,5555,4520;
47,1,1035,6250,5215;
48,1,1035,1351,678;
49,1,1035,1020,537;
,98965;
11,0,1035,1754,956;
12,0,1035,12500,11465;
13,0,1035,3030,2036;
14,0,1035,1470,742;
15,0,1035,2272,1366;
16,0,1035,1351,683;
17,0,1035,1041,535;
18,0,1035,1754,943;
19,0,1035,2083,1210;
20,0,1035,1754,940;
21,0,1035,6250,5215;
22,0,1035,1298,645;
23,0,1035,5000,3965;
24,0,1035,1265,632;
task took 10.360000 seconds
