RANDOM SEQUENCES
n,threadId,lengthS,lengthT,MinCost;
332,2,3448,14285,10837;
176,1,3571,2631,1812;
333,2,1234,4347,3127;
177,1,1063,2564,1593;
334,2,1176,1612,815;
335,2,2272,4347,2454;
336,2,1666,5000,3386;
337,2,1428,20000,18572;
178,1,1149,6666,5517;
338,2,2272,1369,1221;
339,2,1587,1298,796;
340,2,4545,1639,2985;
179,1,2040,1587,1018;
180,1,1562,1470,797;
181,1,1960,3125,1654;
341,2,2380,1086,1425;
182,1,1694,1369,841;
183,1,4000,1298,2737;
342,2,3125,1234,1977;
343,2,1408,1851,921;
344,2,9090,25000,16358;
15,0,1111,12500,11389;
184,1,3846,1851,2245;
185,1,2702,1086,1697;
186,1,1020,20000,18980;
345,2,1818,1190,948;
346,2,4545,1724,2921;
347,2,1020,2777,1815;
348,2,3125,7142,4331;
187,1,1265,1587,793;
188,1,14285,2702,11583;
16,0,3125,2777,1566;
349,2,2702,1408,1529;
189,1,1136,4347,3213;
17,0,1282,4545,3272;
190,1,3333,2000,1786;
350,2,2941,2777,1487;
18,0,4000,1190,2825;
191,1,1075,1333,672;
192,1,2325,1136,1349;
19,0,1063,1086,575;
193,1,1785,1428,889;
20,0,1960,6250,4340;
351,2,1351,6250,4899;
194,1,1204,1639,825;
195,1,1960,1052,1098;
196,1,4000,2272,2188;
352,2,1785,2380,1188;
197,1,1020,2040,1187;
198,1,3225,1724,1807;
353,2,2325,10000,7675;
21,0,2857,1282,1719;
354,2,1369,16666,15297;
22,0,2777,2777,1448;
23,0,2222,10000,7778;
24,0,2564,20000,17436;
355,2,4761,12500,8024;
199,1,1190,2941,1854;
356,2,3225,1515,1895;
200,1,5882,2564,3570;
25,0,1190,1098,607;
26,0,2564,1123,1552;
27,0,1041,14285,13244;
201,1,33333,1149,32184;
28,0,33333,1724,31609;
357,2,2857,2173,1435;
29,0,1234,2439,1395;
358,2,7142,1136,6006;
30,0,1851,9090,7239;
31,0,6250,1136,5114;
32,0,4761,1052,3709;
33,0,5000,1923,3194;
34,0,14285,3125,11160;
359,2,1030,1315,659;
360,2,1923,50000,48077;
202,1,1694,2083,1049;
361,2,2500,1538,1335;
203,1,2439,5882,3648;
362,2,50000,1428,48572;
35,0,1020,1298,659;
36,0,33333,1492,31841;
363,2,2083,5263,3338;
364,2,10000,1886,8114;
365,2,11111,3571,7627;
37,0,1408,11111,9703;
366,2,3703,2222,1976;
38,0,1123,1694,871;
367,2,1136,1234,617;
39,0,1000,1562,823;
368,2,1176,1123,615;
369,2,2439,1315,1363;
40,0,1086,1612,827;
41,0,1492,7692,6200;
370,2,1250,1449,729;
371,2,10000,1315,8685;
42,0,1282,1020,635;
43,0,1515,3030,1751;
44,0,6666,1123,5543;
45,0,1234,1219,637;
46,0,1136,4000,2873;
47,0,1030,1123,574;
48,0,6250,33333,27083;
204,1,1020,1149,578;
205,1,1408,1515,776;
206,1,20000,1136,18864;
207,1,1063,100000,98937;
372,2,1315,2564,1461;
208,1,1123,2325,1367;
209,1,1492,1219,744;
210,1,1265,1086,639;
211,1,1923,2000,1032;
212,1,1639,7692,6053;
213,1,1000,1818,1014;
214,1,2325,1298,1280;
215,1,4347,6250,3160;
373,2,16666,6666,10484;
49,0,1851,1123,1001;
374,2,1960,1234,1030;
375,2,1162,5882,4720;
216,1,2439,1449,1323;
217,1,8333,1030,7303;
50,0,6250,1020,5230;
218,1,6666,1587,5079;
51,0,10000,2222,7778;
376,2,3703,2272,1966;
52,0,1724,1098,899;
53,0,16666,1785,14881;
219,1,1086,2127,1214;
220,1,4347,5263,2614;
377,2,1234,3571,2395;
378,2,1333,6666,5333;
379,2,1886,1785,967;
380,2,1408,2439,1309;
381,2,1111,1724,904;
382,2,1204,3333,2196;
383,2,12500,4761,8023;
54,0,1960,9090,7130;
384,2,4761,1000,3761;
55,0,1250,1020,633;
56,0,14285,3703,10586;
221,1,2000,1176,1075;
57,0,1538,2941,1671;
385,2,1063,2500,1541;
386,2,1369,1190,684;
387,2,1030,6666,5636;
58,0,7142,1123,6019;
59,0,4761,8333,4528;
60,0,2000,1587,993;
61,0,1020,1428,724;
62,0,3846,1052,2800;
63,0,100000,1111,98889;
222,1,1219,5882,4663;
223,1,3571,1282,2348;
224,1,1785,1369,894;
225,1,1204,1754,897;
226,1,1052,1010,531;
227,1,4166,1923,2470;
228,1,1030,5000,3970;
229,1,50000,3448,46552;
388,2,2564,7142,4704;
389,2,4545,16666,12140;
230,1,2941,1408,1723;
231,1,1000,1470,764;
232,1,2040,100000,97960;
64,0,4000,1470,2611;
65,0,1204,1190,619;
66,0,1030,14285,13255;
67,0,1612,1176,803;
68,0,2325,1123,1364;
69,0,1369,1724,857;
70,0,2325,1041,1396;
71,0,1428,9090,7662;
72,0,2325,1818,1161;
73,0,2500,1492,1339;
74,0,1369,1190,681;
75,0,4545,2777,2428;
76,0,6666,2272,4483;
77,0,100000,1754,98246;
390,2,8333,20000,12373;
233,1,1388,1886,962;
234,1,1612,33333,31721;
78,0,14285,1639,12646;
235,1,2941,1204,1843;
236,1,1176,20000,18824;
79,0,3571,3571,1858;
237,1,1063,100000,98937;
391,2,1587,4545,3025;
392,2,50000,1587,48413;
80,0,1449,3125,1852;
81,0,1282,1250,657;
82,0,14285,1020,13265;
393,2,2631,1010,1693;
83,0,4000,1086,2918;
394,2,1063,3703,2654;
84,0,1639,3225,1842;
395,2,2173,1785,1070;
396,2,1562,12500,10938;
85,0,5000,2083,3102;
397,2,16666,6250,10747;
238,1,1785,3846,2288;
398,2,3030,1250,1881;
399,2,2000,1369,1018;
400,2,1351,2631,1495;
401,2,14285,1282,13003;
86,0,1111,1886,1016;
87,0,1408,1190,697;
88,0,4761,1388,3391;
402,2,1960,5000,3179;
403,2,3125,1724,1733;
404,2,1176,2083,1143;
405,2,1098,50000,48902;
239,1,1724,25000,23276;
89,0,1052,2000,1120;
90,0,1123,20000,18877;
240,1,1562,1265,779;
241,1,1724,1515,854;
242,1,14285,3125,11160;
406,2,2702,4347,2290;
243,1,1666,9090,7424;
407,2,3703,4000,2012;
244,1,1612,2702,1448;
245,1,33333,3125,30208;
246,1,4545,25000,20455;
408,2,1010,3333,2338;
247,1,1219,2000,1058;
248,1,2439,1612,1276;
249,1,5263,1020,4243;
250,1,2000,7142,5154;
409,2,1724,1098,908;
251,1,1298,1960,1009;
410,2,1204,1020,591;
411,2,1754,1639,892;
252,1,2000,1020,1142;
412,2,1492,2222,1141;
413,2,3703,1639,2236;
253,1,1538,1086,784;
414,2,1639,2000,996;
254,1,2083,1428,1070;
415,2,1250,1960,1024;
255,1,1063,2777,1781;
256,1,3703,1562,2272;
416,2,1428,1923,971;
417,2,1123,1851,986;
418,2,12500,1960,10540;
419,2,1020,1063,542;
420,2,2439,1470,1306;
421,2,2857,3703,1853;
422,2,1694,1428,845;
423,2,10000,5000,5718;
257,1,1351,1587,793;
424,2,4545,5000,2490;
425,2,1063,100000,98937;
258,1,2000,2272,1138;
259,1,1111,6666,5555;
260,1,1020,5263,4243;
261,1,2083,5555,3601;
262,1,1538,3448,2081;
263,1,2222,1204,1238;
264,1,1960,2439,1213;
265,1,50000,2631,47369;
426,2,2500,1639,1310;
427,2,20000,1204,18796;
266,1,1515,33333,31818;
428,2,4761,100000,95239;
91,0,1428,11111,9683;
429,2,1694,14285,12591;
92,0,2127,1923,1080;
93,0,4000,7692,4321;
430,2,3333,1000,2348;
431,2,5000,2631,2809;
94,0,1470,5555,4087;
95,0,1369,1369,709;
96,0,10000,11111,5505;
267,1,16666,1315,15351;
432,2,1123,2380,1410;
433,2,1562,20000,18438;
97,0,1086,1086,569;
98,0,1123,1333,666;
99,0,3225,1315,2012;
100,0,1449,1219,710;
101,0,1724,
