RANDOM SEQUENCES
n,threadId,lengthS,lengthT,MinCost;
0,0,300,2,150,1,450,3,1190,1149,613;
1,0,1538,1041,783;
151,1,1315,1000,655;
152,1,1408,2857,1644;
451,3,1265,2380,1349;
452,3,8333,1123,7210;
153,1,1612,1818,911;
154,1,6666,2857,4084;
301,2,3571,1234,2384;
155,1,1886,8333,6447;
302,2,1851,1086,988;
303,2,1136,1086,588;
304,2,1388,4166,2823;
305,2,1388,1515,755;
306,2,5263,7692,3930;
453,3,1818,1538,908;
454,3,50000,1428,48572;
2,0,2000,11111,9111;
455,3,7142,3846,3989;
307,2,1086,1136,585;
308,2,5000,2000,3149;
3,0,1204,1111,609;
4,0,5263,2380,3154;
456,3,2777,5263,2951;
309,2,4545,2702,2421;
5,0,4000,3125,1986;
457,3,1298,1190,673;
458,3,1298,10000,8702;
310,2,1960,1030,1106;
311,2,1075,1666,869;
312,2,1010,1818,1004;
313,2,9090,1086,8004;
459,3,1886,1351,963;
314,2,3703,1149,2578;
315,2,2040,1265,1079;
316,2,1063,1886,1025;
317,2,100000,1020,98980;
156,1,3703,7142,4034;
157,1,1075,1041,540;
158,1,1538,1020,797;
159,1,1041,1098,559;
160,1,1369,50000,48631;
6,0,3225,1470,1919;
7,0,10000,1020,8980;
161,1,1020,1754,954;
162,1,11111,4545,6923;
460,3,1960,1851,1008;
461,3,2222,2325,1183;
462,3,7142,1639,5503;
163,1,5882,2500,3622;
8,0,10000,5263,5617;
318,2,1010,2272,1375;
9,0,2631,3030,1503;
463,3,1428,2083,1062;
10,0,2083,2272,1155;
319,2,1098,1428,707;
464,3,1428,6250,4822;
164,1,2083,1351,1078;
11,0,2000,1234,1052;
320,2,1851,1204,957;
465,3,1492,1818,899;
321,2,5882,1030,4852;
12,0,1204,5555,4351;
466,3,1492,1886,935;
13,0,1666,1666,876;
14,0,14285,2040,12245;
165,1,4545,5263,2640;
166,1,20000,1724,18276;
167,1,3125,25000,21875;
467,3,3333,1562,1966;
168,1,2040,1724,1013;
169,1,1190,1190,629;
170,1,1428,1639,814;
171,1,3846,2777,1942;
172,1,4761,1562,3248;
173,1,6666,16666,10491;
322,2,2040,1052,1158;
323,2,1492,2941,1685;
174,1,7142,4761,3677;
468,3,1851,2083,1037;
324,2,1086,5555,4469;
175,1,3125,1960,1634;
325,2,1538,5555,4032;
469,3,2325,1136,1350;
326,2,1428,1639,819;
470,3,4545,1388,3183;
327,2,2222,1960,1113;
328,2,9090,1052,8038;
329,2,4166,1470,2762;
330,2,1010,4347,3337;
331,2,1063,3030,2014;
