RANDOM SEQUENCES
n,lengthS,lengthT,MinCost;
42,1035,9090,8055;
43,1035,6250,5215;
44,1035,20000,18965;
45,1035,1960,1105;
46,1035,1515,776;
47,1035,5555,4520;
48,1035,1587,824;
49,1035,2000,1134;
50,1035,1587,834;
51,1035,3225,2217;
52,1035,2083,1218;
53,1035,2777,1802;
54,1035,1515,778;
55,1035,1369,699;
56,1035,4347,3312;
57,1035,1204,611;
58,1035,1428,731;
59,1035,4545,3510;
60,1035,25000,23965;
61,1035,33333,32298;
62,1035,1020,545;
63,1035,1162,583;
64,1035,3448,2431;
65,1035,11111,10076;
66,1035,1612,843;
67,1035,1515,784;
68,1035,1639,875;
69,1035,1010,541;
70,1035,1333,663;
71,1035,1111,573;
72,1035,1886,1041;
73,1035,5882,4847;
74,1035,3703,2675;
75,1035,1369,694;
76,1035,1123,572;
77,1035,1234,619;
78,1035,2380,1453;
79,1035,1219,609;
80,1035,5263,4228;
81,1035,1492,760;
82,1035,1923,1063;
83,1035,1052,554;
84,1035,1639,864;
85,1035,1162,580;
86,1035,1724,916;
87,1035,1176,595;
88,1035,3448,2431;
89,1035,1176,602;
90,1035,1923,1071;
91,1035,1639,865;
92,1035,1449,732;
93,1035,1136,573;
94,1035,1666,882;
95,1035,1020,539;
96,1035,3225,2220;
97,1035,3030,2031;
98,1035,1250,635;
99,1035,6250,5215;
100,1035,2564,1607;
101,1035,3125,2129;
102,1035,1086,553;
103,1035,2564,1618;
104,1035,1388,704;
105,1035,2000,1136;
106,1035,25000,23965;
107,1035,1204,605;
108,1035,4347,3312;
109,1035,1515,786;
110,1035,1250,631;
111,1035,2702,1738;
112,1035,3571,2545;
113,1035,2083,1197;
114,1035,7692,6657;
115,1035,25000,23965;
116,1035,3703,2673;
117,1035,2380,1451;
118,1035,5000,3965;
119,1035,1234,611;
120,1035,1724,922;
121,1035,8333,7298;
122,1035,25000,23965;
123,1035,1149,587;
124,1035,1219,613;
125,1035,1041,550;
126,1035,2272,1363;
127,1035,1538,785;
128,1035,1562,809;
129,1035,1075,555;
130,1035,33333,32298;
131,1035,1098,576;
132,1035,33333,32298;
133,1035,1428,714;
134,1035,33333,32298;
135,1035,1176,597;
136,1035,1086,561;
137,1035,7142,6107;
138,1035,2702,1741;
139,1035,1886,1064;
140,1035,1694,903;
141,1035,10000,8965;
142,1035,1010,536;
143,1035,1694,889;
144,1035,1123,565;
145,1035,2857,1881;
146,1035,1388,687;
147,1035,4166,3131;
148,1035,1010,533;
149,1035,1063,556;
150,1035,1785,966;
151,1035,7142,6107;
152,1035,1923,1073;
153,1035,1470,738;
154,1035,2222,1328;
155,1035,2127,1241;
156,1035,5000,3965;
157,1035,1470,747;
158,1035,1219,603;
159,1035,1538,795;
160,1035,1428,714;
161,1035,1204,604;
162,1035,1020,547;
163,1035,1176,592;
164,1035,1333,677;
165,1035,3703,2676;
166,1035,3030,2034;
167,1035,2380,1454;
168,1035,2631,1671;
169,1035,100000,98965;
170,1035,7692,6657;
171,1035,25000,23965;
172,1035,1666,888;
173,1035,1063,552;
174,1035,2040,1172;
175,1035,2127,1230;
176,1035,1351,677;
177,1035,3225,2220;
178,1035,5263,4228;
179,1035,1162,588;
180,1035,14285,13250;
181,1035,1388,715;
182,1035,1030,548;
183,1035,14285,13250;
184,1035,1562,805;
185,1035,1000,530;
186,1035,1149,582;
187,1035,2083,1202;
188,1035,2380,1461;
189,1035,1612,843;
190,1035,1785,966;
191,1035,3030,2033;
192,1035,1123,572;
193,1035,1123,574;
194,1035,1176,582;
195,1035,1298,652;
196,1035,100000,98965;
197,1035,5000,3965;
198,1035,1333,667;
199,1035,1265,627;
task took 26.940000 seconds
