RANDOM SEQUENCES
n,lengthS,lengthT,MinCost
269,1030,5555,4525;
270,2040,1282,1080;
271,1587,2127,1072;
272,33333,1204,32129;
273,1470,1315,735;
274,5000,1369,3639;
275,1020,2439,1513;
276,2941,3448,1722;
277,1030,1612,836;
278,1265,1724,873;
279,6250,1818,4453;
280,9090,1075,8015;
281,1282,1538,758;
282,1470,1052,745;
283,1052,4347,3295;
284,2857,1086,1840;
285,3571,1851,2018;
286,1190,100000,98810;
287,2040,1250,1098;
288,1315,1886,958;
289,1136,1204,622;
290,1298,1265,665;
291,16666,1123,15543;
292,3030,1587,1711;
293,1204,1369,692;
294,1388,3333,2074;
295,1098,1351,679;
296,1111,6250,5139;
297,1204,3333,2197;
298,7142,3125,4335;
299,7142,1408,5734;
300,12500,1724,10776;
301,1282,7692,6410;
302,3703,1333,2432;
303,2222,7142,4966;
304,1086,1234,613;
305,1886,1162,1018;
306,1538,1428,787;
307,4347,8333,4684;
308,1785,1388,896;
309,1086,2631,1656;
310,2702,14285,11583;
311,1724,3030,1650;
312,1123,1123,598;
313,3125,3125,1615;
314,1098,1369,689;
315,14285,1818,12467;
316,2500,1639,1307;
317,1492,16666,15174;
318,8333,1470,6863;
319,14285,1538,12747;
320,2272,12500,10228;
321,1851,3125,1688;
322,3225,4166,2088;
323,2380,8333,5975;
324,2380,5882,3699;
325,3225,9090,6012;
326,2222,1587,1133;
327,1149,5000,3851;
328,2173,1333,1160;
329,1351,1052,671;
330,2040,1063,1164;
331,1333,7692,6359;
332,1724,1515,873;
333,2941,2222,1491;
334,1315,2777,1640;
335,1063,3225,2192;
336,1111,50000,48889;
337,1923,1351,977;
338,2564,50000,47436;
339,20000,1538,18462;
340,2777,1639,1491;
341,1052,1020,533;
342,1020,1612,836;
343,2040,1470,1015;
344,2325,2000,1167;
345,3703,1136,2588;
346,1086,6250,5164;
347,100000,1052,98948;
348,2439,7692,5319;
349,1754,2857,1510;
350,3030,33333,30303;
351,1587,1190,807;
352,1923,1123,1040;
353,16666,2127,14539;
354,3125,2380,1556;
355,2500,3448,1724;
356,9090,7142,4496;
357,2777,1923,1422;
358,1538,1000,812;
359,2173,1408,1135;
360,3703,5000,2522;
361,1333,1754,882;
362,1075,1754,932;
363,1000,20000,19000;
364,2083,1041,1188;
365,1694,1960,999;
366,1470,1063,740;
367,1960,1063,1094;
368,1562,1282,793;
369,1282,1492,748;
370,1851,1351,929;
371,1098,2000,1098;
372,12500,4545,8185;
373,1639,1923,960;
374,1587,1694,847;
375,1388,1369,716;
376,5882,3125,3285;
377,2083,1000,1223;
378,1388,1470,751;
379,1000,1886,1059;
380,1000,1960,1113;
381,1754,3846,2293;
382,25000,2222,22778;
383,1428,2857,1628;
384,5882,6250,3160;
385,3125,1149,2039;
386,1818,1515,910;
387,4347,2173,2491;
388,4347,20000,15653;
389,5263,2222,3234;
390,1020,3225,2229;
391,3225,1785,1776;
392,3225,1250,2057;
393,1315,1052,666;
394,1612,3703,2254;
395,2702,1315,1567;
396,1612,2272,1145;
397,1041,2272,1357;
398,5263,33333,28070;
399,6250,1136,5114;
400,5000,1020,3980;
401,4347,1694,2769;
402,1020,6250,5230;
403,2439,1010,1523;
404,2500,1030,1543;
405,1587,2857,1568;
406,2857,2941,1524;
407,4545,4545,2367;
408,1265,4761,3502;
409,1666,1123,867;
410,1190,5000,3810;
411,1333,4347,3036;
412,3030,1020,2055;
413,1538,2040,1024;
414,2127,2857,1425;
415,1587,2325,1202;
416,1470,11111,9641;
417,1123,1515,766;
418,4000,3703,2009;
419,1408,1754,870;
420,14285,1886,12399;
421,2857,3703,1849;
422,1020,9090,8070;
423,1298,2702,1590;
424,2857,1098,1830;
425,3846,4166,2098;
426,25000,3703,21297;
427,1333,1063,658;
428,1408,50000,48592;
429,1176,1250,633;
430,9090,1960,7130;
431,10000,4166,6179;
432,1388,1315,722;
433,1298,3333,2128;
434,1538,2857,1586;
435,2777,33333,30556;
436,1176,1818,951;
437,1562,6666,5104;
438,4545,1098,3447;
439,2083,3125,1606;
440,1219,1408,709;
441,1612,5263,3682;
442,3703,1000,2709;
443,33333,2439,30894;
444,4761,2040,2907;
445,1470,1111,744;
446,2083,1388,1081;
447,2631,7142,4651;
448,1063,1470,739;
449,14285,1041,13244;
450,2272,2380,1211;
451,1041,1136,572;
452,3846,1063,2788;
453,1265,7142,5877;
454,1282,1818,931;
455,7692,3030,4868;
456,4347,1449,2940;
457,1449,3846,2483;
458,3125,7692,4816;
459,2083,2040,1068;
460,1136,1960,1063;
461,1886,7142,5263;
462,1694,1000,908;
463,4000,2083,2264;
464,50000,14285,35825;
465,2439,1612,1270;
466,1851,1162,979;
467,50000,4761,45239;
468,1063,10000,8937;
469,1333,1388,723;
470,1960,2439,1234;
471,4761,1333,3441;
472,1315,1538,763;
473,14285,5000,9503;
474,7692,2173,5532;
475,1587,3333,1955;
476,2000,1515,1004;
477,1408,2857,1660;
478,3030,1538,1731;
479,1282,33333,32051;
480,1030,1162,585;
481,1086,3703,2630;
482,1219,1851,961;
483,1075,1960,1078;
