RANDOM SEQUENCES
n,lengthS,lengthT,MinCost
581,1035,7692,6657;
582,1035,1960,1110;
583,1035,6666,5631;
584,1035,1923,1078;
585,1035,1538,793;
586,1035,4545,3510;
587,1035,1587,835;
588,1035,1298,648;
589,1035,2564,1601;
590,1035,2439,1503;
591,1035,4347,3312;
592,1035,4000,2966;
593,1035,1136,582;
594,1035,4000,2965;
595,1035,1098,564;
596,1035,1020,543;
597,1035,7142,6107;
598,1035,11111,10076;
599,1035,1123,574;
task took 86.930000 seconds
